distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2583,2002,1,1,Paul,Thome,488,1,0,0,0,1,1,1,
2583,2002,1,2,Robert,VanDenElzen,504,1,1,1,0,1,1,1,
2583,2002,1,NA,Scatter,,6,0,0,0,1,1,1,1,
2583,2003,1,8,Willard,Griesbach,1750,1,1,1,0,2a,2,0,
2583,2003,1,9,Bill,Murphy,1063,1,0,0,0,2b,3,0,
2583,2003,1,7,Jim,Kampa,724,1,0,0,0,2c,4,0,
2583,2004,1,10,Richard,Lautenschlager,470,1,1,1,0,3d,5,0,
2583,2004,1,11,Farris,Saifkani,238,0,0,1,0,3d,5,0,
2583,2004,1,12,Walmer,Hoewisch,272,0,1,1,0,3e,6,0,
2583,2004,1,13,Janet,Kudick,441,1,0,1,0,3e,6,0,
2583,2004,1,14,Sebastian,Pugliese,608,1,1,1,0,3f,7,0,
2583,2005,1,1,Paul,Thome,1430,1,1,1,0,4g,8,0,
2583,2005,1,2,Robert,VanDenElzen,1418,1,1,1,0,4b,9,0,
2583,2006,1,8,Willard,Griesbach,1973,0,1,1,0,5a,10,0,
2583,2006,1,15,Linda,McLernon,2009,1,0,0,0,5a,10,0,
2583,2006,1,9,Bill,Murphy,2908,1,1,1,0,5c,11,0,
2583,2006,1,16,Jan,Behnke,501,0,0,0,0,5c,11,0,
2583,2007,1,17,Marv,Obry,2622,1,0,0,0,6a,12,0,
2583,2007,1,11,Farris,Saifkani,1040,0,0,1,0,6a,13,0,
2583,2007,1,10,Rick,Lautenschlager,1748,1,1,1,0,6a,13,0,
2583,2007,1,18,Al,Handrich,1187,0,0,0,0,6b,14,0,
2583,2007,1,19,Craig,Dreier,1488,1,0,0,0,6b,14,0,
2583,2008,1,20,Steve,Nikolai,1161,0,0,0,0,7g,15,0,
2583,2008,1,1,Paul,Thome,1493,1,1,1,0,7g,15,0,
2583,2008,1,21,Gary,Tobin,1271,0,0,0,0,7b,16,0,
2583,2008,1,2,Bob,VanDenElzen,1486,1,1,1,0,7b,16,0,
2583,2009,1,8,Willard,Griesbach,1423,1,1,1,0,8a,17,0,
2583,2009,1,9,Bill,Murphy,1489,1,1,1,0,8a,17,0,
2583,2010,1,22,D,LeMahieu,496,0,1,0,0,9d,18,0,?
2583,2010,1,23,J,Richards,500,1,0,0,0,9d,18,0,
2583,2010,1,14,Sebastian,Pugliese,342,0,1,1,0,9f,19,0,
2583,2010,1,17,Marv,Obry,746,1,1,1,0,9f,19,0,
2583,2010,1,19,Craig,Dreier,938,1,0,1,0,9e,20,0,
2583,2011,1,1,Paul,Thome,3731,1,1,1,0, 10g,21,0,
2583,2011,1,2,Bob,VanDenElzen,3898,1,1,1,0,10b,22,0,
2583,2012,2,9,Bill,Murphy,123,0,1,1,0,11c,23,0,
2583,2012,2,24,David,Schlichting,229,1,0,0,0,11c,23,0,
2583,2012,2,25,Kristal,Delbecchi,130,1,0,0,0,11c,23,0,
2583,2012,1,25,Kristal,Delbecchi,1350,0,0,0,0,11c,23,0,
2583,2012,1,24,David,Schlichting,1813,1,0,0,0,11c,23,0,
2583,2012,1,8,Willard,Griesbach,2762,1,1,1,0,11c,23,0,
