distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2604,2002,1,1,Christine,Gray,1461,1,1,1,0,1a,1,0,
2604,2002,1,2,Joann,Turensky,32,0,0,0,1,1b,2,0,
2604,2002,1,3,Clyde,Schuette,33,0,0,0,1,1b,2,0,
2604,2002,1,4,Katherine,Williquette,32,0,0,0,1,1b,2,0,
2604,2002,1,5,Rachelle,Paulsen,62,1,0,0,1,1b,2,0,
2604,2002,1,6,Pat,Belongia,20,0,0,0,1,1b,2,0,
2604,2002,1,NA,Scatter,,5,0,0,0,1,1b,2,0,
2604,2003,1,7,Debra,Prokop,2063,1,1,1,0,2a,3,0,
2604,2003,1,8,Brian,Gronski,1917,1,1,1,0,2b,4,0,
2604,2004,1,9,David,Thode,467,1,1,1,0,3a,5,0,
2604,2004,1,10,Kelli,Rose,528,1,1,1,0,3a,5,0,
2604,2004,1,11,Tracy,Ruh,369,0,1,1,0,3b,6,0,
2604,2004,1,12,David,Haugen,373,1,0,0,0,3b,6,0,
2604,2004,1,NA,Scatter,,4,0,0,0,1,3,6,0,
2604,2005,1,13,Teresa,Ford,1521,1,0,0,0,4a,7,0,
2604,2005,1,14,Douglas,Martzke,1376,0,0,0,0,4a,7,0,
2604,2005,1,15,Jeffrey,Anderson,1489,1,0,0,0,4a,7,0,
2604,2005,1,NA,Scatter,,28,0,0,0,1,4,7,0,
2604,2006,1,16,Mike,Milligan,1719,1,0,0,0,5a,8,0,
2604,2006,1,17,Christine,Zepnick,1014,0,0,0,0,5a,8,0,
2604,2006,1,7,Debra,Prokop,1129,0,1,1,0,5a,8,0,
2604,2006,1,13,Teresa,Ford,1273,1,1,1,0,5a,8,0,
2604,2006,1,18,Lisa,Botsford,1686,1,0,0,0,5b,9,0,
2604,2006,1,8,Brian,Gronski,1033,0,1,1,0,5b,9,0,
2604,2006,1,NA,Scatter,,47,0,0,0,1,5,9,0,
2604,2007,1,9,David,Thode,1496,0,1,1,0,6a,10,0,
2604,2007,1,13,Teresa,Ford,2046,1,1,1,0,6a,10,0,
2604,2007,1,19,Jim,Goetsch,1802,1,0,0,0,6a,10,0,
2604,2007,1,20,Connie,Stempfl,2722,1,0,0,0,6b,11,0,
2604,2007,1,NA,Scatter,,20,0,0,0,1,6,11,0,
2604,2008,1,15,Jeffrey,Anderson,2105,1,1,1,0,7a,12,0,
2604,2008,1,21,Dan,Muhlenbeck,1119,0,0,0,0,7a,12,0,
2604,2008,1,9,David,Thode,1953,1,0,1,0,7a,12,0,
2604,2008,1,5,Rachelle,Paulsen,2822,1,0,1,0,7b,13,0,
2604,2008,1,NA,Scatter,,28,0,0,0,1,7,13,0,
2604,2009,1,22,Douglas,Thompson,1433,1,0,0,0,8a,14,0,
2604,2009,1,18,Lisa,Botsford,1373,1,1,1,0,8b,15,0,
2604,2009,1,NA,Scatter,,20,0,0,0,1,8,15,0,
2604,2010,1,13,Teresa,Ford,1157,1,0,1,0,9a,16,0,
2604,2010,1,19,Jim,Goetsch,1142,1,1,1,0,9a,16,0,
2604,2010,1,20,Connie,Stempfl,1507,1,1,1,0,9b,17,0,
2604,2010,1,NA,Scatter,,27,0,0,0,1,9,17,0,
2604,2011,1,15,Jeffrey,Anderson,4009,1,1,1,0,10a,18,0,
2604,2011,1,21,Peter,App,3376,1,0,0,0,10a,18,0,
2604,2011,1,22,Mark,Ashley,3847,1,0,0,0,10a,18,0,2 year term
2604,2011,1,5,Rachelle,Paulsen,5029,1,1,1,0,10b,19,0,
2604,2011,1,NA,Scatter,,95,0,0,0,1,10,19,0,
2604,2012,1,23,Jeff,Eilers,2342,1,0,0,0,11a,20,0,
2604,2012,1,21,Peter,App,1762,0,0,1,0,11a,20,0,
2604,2012,1,18,Lisa,Botsford,3720,1,1,1,0,11b,21,0,
2604,2012,1,NA,Scatter,,54,0,0,0,1,11,21,0,
