distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2632,2007,1,1,Eva,Olson,245,0,0,0,0,1,1,1,
2632,2007,1,2,Leah,Matchy,393,1,0,0,0,1,1,1,
2632,2007,1,3,Ed,Sonsalla,431,1,1,1,0,1,1,1,
2632,2007,1,NA,Scatter,,12,0,0,0,1,1,1,1,
2632,2008,1,4,Lori,Glaunert,174,1,0,0,0,2,2,1,
2632,2008,1,5,Naomi,Wiersgalla,208,1,0,0,0,2,2,1,
2632,2008,1,NA,Scatter,,20,0,0,0,1,2,2,1,
2632,2009,1,6,Tanya,Bautch,160,1,1,1,0,3,3,1,
2632,2009,1,NA,Scatter,,2,0,0,0,1,3,3,1,
2632,2010,1,3,Ed,Sonsalla,212,1,1,1,0,4,4,1,
2632,2010,1,2,Leah,Matchy,210,1,1,1,0,4,4,1,
2632,2010,1,NA,Scatter,,16,0,0,0,1,4,4,1,
2632,2011,1,7,James,Woychik,250,0,0,0,0,5,5,1,
2632,2011,1,8,Charles,Walek,430,1,1,0,0,5,5,1,
2632,2011,1,4,Lori,Glaunert,240,0,1,1,0,5,5,1,
2632,2011,1,5,Naomi,Wiersgalla,229,0,1,1,0,5,5,1,
2632,2011,1,9,Joe,Bragger,396,1,0,0,0,5,5,1,2 year term
2632,2011,1,10,Bob,Guza,397,1,0,0,0,5,5,1,
2632,2011,1,11,Jeff,Bautch,327,1,0,0,0,5,5,1,1 year term
2632,2011,1,NA,Scatter,,83,0,0,0,1,5,5,1,
2632,2012,1,12,Paul,Tobiason,157,0,0,0,0,6,6,1,
2632,2012,1,11,Jeff,Bautch,292,1,1,1,0,6,6,1,
2632,2012,1,NA,Scatter,,8,0,0,0,1,6,6,1,
