distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2639,2002,1,1,Mark,Forseth,344,1,1,1,0,1a,1,0,
2639,2002,1,2,Dorothy,Youngblood,322,1,1,1,0,1b,2,0,
2639,2002,1,3,Randy,Frye,338,1,1,1,0,1c,3,0,
2639,2002,1,NA,Scatter,,6,0,0,0,1,1,3,0,
2639,2003,1,4,James,Mead,379,0,0,0,0,2c,4,0,
2639,2003,1,5,Colleen,Sykes,420,1,1,1,0,2c,4,0,
2639,2003,1,6,Chris,Thompson,686,1,0,0,0,2a,5,0,
2639,2003,1,7,Charles,Wasrud,727,1,0,0,0,2d,6,0,
2639,2003,1,NA,Scatter,,2,0,0,0,1,2,6,0,
2639,2004,1,8,William,Peterson,314,1,1,1,0,3b,7,0,
2639,2004,1,9,Tom,Opperman,289,1,1,1,0,3e,8,0,
2639,2004,1,NA,Scatter,,3,0,0,0,1,3,8,0,
2639,2005,1,2,Dorothy,Youngblood,395,1,1,1,0,,9,0,
2639,2005,1,3,Randy,Frye,405,1,1,1,0,,10,0,
2639,2005,1,10,Dan,Loken,346,1,0,0,0,,11,0,
2639,2005,1,6,Chris,Thompson,197,0,1,1,0,,11,0,
2639,2005,1,NA,Scatter,,4,0,0,0,1,4,11,0,
2639,2006,1,7,Charles,Wasrud,338,1,1,1,0,,12,0,
2639,2006,1,5,Colleen,Sykes,304,1,1,1,0,,12,0,
2639,2007,1,9,Tom,Opperman,416,1,1,1,0,,13,0,
2639,2007,1,8,William,Peterson,408,1,1,1,0,,14,0,
2639,2007,1,NA,Scatter,,1,0,0,0,1,5,14,0,
2639,2008,1,11,Kelton,Wilhite,339,1,0,0,0,,15,0,
2639,2008,1,10,Dan,Loken,353,1,1,1,0,,15,0,
2639,2008,1,3,Randy,Frye,340,1,1,1,0,,16,0,
2639,2008,1,NA,Scatter,,2,0,0,0,1,6,16,0,
2639,2009,1,7,Charles,Wasrud,378,1,1,1,0,,17,0,
2639,2009,1,5,Colleen,Sykes,372,1,1,1,0,,18,0,
2639,2009,1,NA,Scatter,,1,0,0,0,1,7,18,0,
2639,2010,1,9,Tom,Opperman,173,1,1,1,0,,19,0,
2639,2010,1,8,William,Peterson,175,1,1,1,0,,19,0,
2639,2010,1,NA,Scatter,,7,0,0,0,1,8,19,0,
2639,2011,1,11,Kelton,Wilhite,919,1,1,1,0,,20,0,
2639,2011,1,12,Sue,Olson,33,0,0,0,1,,20,0,
2639,2011,1,13,Sally,Olsen,178,0,0,0,0,,20,0,
2639,2011,1,14,Jeffrey,Oppor,730,1,0,0,0,,20,0,
2639,2011,1,3,Randy,Frye,542,0,1,1,0,,20,0,
2639,2011,1,10,Dan,Loken,577,0,1,1,0,,20,0,
2639,2011,1,15,Bruce,Beyersdorf,702,1,0,0,0,,20,0,
2639,2011,1,NA,Scatter,,12,0,0,0,1,,20,0,
2639,2012,1,16,Colleen,Smith,450,0,0,0,0,,21,0,
2639,2012,1,17,Kristen,Hoyord,666,1,0,0,0,,21,0,
2639,2012,1,18,Steve,Madson,546,0,0,0,0,,22,0,
2639,2012,1,7,Charles,Wasrud,570,1,1,1,0,,22,0,
2639,2012,1,NA,Scatter,,2,0,0,0,1,,22,0,
