distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2758,2004,1,1,Chris,Bouressa,966,1,0,0,0,1,1,1,
2758,2004,1,2,Jim,Meyers,1106,1,0,0,0,1,1,1,
2758,2004,1,3,Sara,Dietzen,913,0,0,0,0,1,1,1,
2758,2004,1,4,William,Farrow,842,0,1,1,0,1,1,1,
2758,2004,1,5,Todd,Arnoldussen,1065,1,1,1,0,1,1,1,
2758,2004,1,6,David,Adamovich,614,0,0,0,0,1,1,1,
2758,2004,1,NA,Scatter,,3,0,0,0,1,1,1,1,
2758,2005,1,7,Glen,Hinkens,1809,1,1,1,0,2,2,1,
2758,2005,1,8,Cindy,Fallona,1590,1,0,0,0,2,2,1,1 year term
2758,2005,1,9,Jeff,McCabe,1619,1,1,1,0,2,2,1,
2758,2005,1,10,Kim,Arts,1571,0,0,0,0,2,2,1,
2758,2005,1,NA,Scatter,,9,0,0,0,1,2,2,1,
2758,2006,1,11,Giovanna,Feller,2556,1,0,0,0,3,3,1,
2758,2006,1,8,Cindy,Fallona,2270,1,1,1,0,3,3,1,
2758,2006,1,13,Terence,Regan,1095,0,0,0,0,3,3,1,
2758,2006,1,NA,Scatter,,6,0,0,0,1,3,3,1,
2758,2007,1,5,Todd,Arnoldussen,1999,1,1,1,0,4,4,1,
2758,2007,1,2,Jim,Meyers,1944,1,1,1,0,4,4,1,
2758,2007,1,1,Chris,Bouressa,2053,1,1,1,0,4,4,1,
2758,2007,1,NA,Scatter,,28,0,0,0,1,4,4,1,
2758,2008,1,14,Philip,Kohne,1528,1,0,0,0,5,5,1,
2758,2008,1,9,Jeff,McCabe,1546,1,1,1,0,5,5,1,
2758,2008,1,15,Sue,Gertz,1803,1,0,0,0,5,5,1,
2758,2008,1,NA,Scatter,,178,0,0,0,1,5,5,1,
2758,2009,2,8,Cindy,Fallona,461,1,1,1,0,6,6,1,
2758,2009,2,16,Richie,Magnuson,227,0,0,0,0,6,6,1,
2758,2009,2,14,Philip,Kohne,429,1,1,1,0,6,6,1,
2758,2009,2,11,Giovanna,Feller,648,1,1,1,0,6,6,1,
2758,2009,2,17,William,Hastie,246,1,0,0,0,6,6,1,
2758,2009,2,NA,Scatter,,7,0,0,0,1,6,6,1,
2758,2009,1,14,Philip,Kohne,1082,1,1,1,0,7,7,1,
2758,2009,1,11,Giovanna,Feller,1390,1,1,1,0,7,7,1,
2758,2009,1,8,Cindy,Fallona,970,0,1,1,0,7,7,1,
2758,2009,1,17,William,Hastie,726,0,0,0,0,7,7,1,
2758,2009,1,NA,Scatter,,7,0,0,0,1,7,7,1,
2758,2010,1,18,John,Moore,1796,0,0,0,0,8,8,1,
2758,2010,1,2,Jim,Meyers,1907,1,1,1,0,8,8,1,
2758,2010,1,5,Todd,Arnoldussen,1990,1,1,1,0,8,8,1,
2758,2010,1,1,Chris,Bouressa,1995,1,1,1,0,8,8,1,
2758,2010,1,NA,Scatter,,32,0,0,0,1,8,8,1,
2758,2011,1,15,Sue,Gertz,4123,1,1,1,0,9,9,1,
2758,2011,1,18,John,Moore,3818,1,0,1,0,9,9,1,
2758,2011,1,NA,Scatter,,72,0,0,0,1,9,9,1,
2758,2012,1,17,William,Hastie,1244,0,1,1,0,10,10,1,
2758,2012,1,19,Sally,Feistel,1964,1,0,0,0,10,10,1,
2758,2012,1,14,Philip,Kohne,1954,0,1,1,0,10,10,1,
2758,2012,1,11,Giovanna,Feller,2346,1,1,1,0,10,10,1,
2758,2012,1,NA,Scatter,,22,0,0,0,1,10,10,1,
