distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2793,2002,1,1,Gilbert,Ostman,6807,1,1,1,0,1,1,1,
2793,2002,1,2,Polly,Munn,5248,1,1,1,0,1,1,1,
2793,2002,1,NA,Scatter,,103,0,0,0,1,1,1,1,
2793,2003,2,3,Marc,Hujik,4117,1,0,0,0,2,2,1,
2793,2003,2,4,Bill,Todd,2164,1,0,0,0,2,2,1,
2793,2003,2,5,Kenneth,Holm Jr.,685,0,0,0,0,2,2,1,
2793,2003,2,6,Eric,Olson,2508,1,0,0,0,2,2,1,
2793,2003,2,7,G. Robert,Goss,457,0,0,0,0,2,2,1,
2793,2003,2,8,Yolanda,Santos Adams,1145,1,0,0,0,2,2,1,
2793,2003,2,8,Allison,Dillingham,392,0,0,0,0,2,2,1,
2793,2003,2,10,Lawrence,Green,799,0,0,0,0,2,2,1,
2793,2003,2,11,Jeff,Cassity,813,1,0,0,0,2,2,1,
2793,2003,2,12,Pam,Stevens,1916,1,0,0,0,2,2,1,
2793,2003,2,NA,Scatter,,8,0,0,0,1,2,2,1,
2793,2003,1,12,Pam,Stevens,5570,1,0,0,0,3,3,1,
2793,2003,1,3,Marc,Hujik,7420,1,0,0,0,3,3,1,
2793,2003,1,8,Yolanda,Santos Adams,2201,0,1,1,0,3,3,1,
2793,2003,1,6,Eric,Olson,6182,1,1,1,0,3,3,1,
2793,2003,1,4,Bill,Todd,4161,0,0,0,0,3,3,1,
2793,2003,1,11,Jeff,Cassity,1518,0,0,0,0,3,3,1,
2793,2003,1,NA,Scatter,,11,0,0,0,1,3,3,1,
2793,2004,2,12,Krist,Pottorf,1455,0,0,0,0,4,4,1,
2793,2004,2,13,Ray,Rivera,3533,0,0,0,0,4,4,1,
2793,2004,2,14,JoAnn,Medley,5101,1,0,0,0,4,4,1,
2793,2004,2,15,Bernard,Englund,4932,1,0,0,0,4,4,1,
2793,2004,2,16,Mark,Stalker,3711,1,0,0,0,4,4,1,
2793,2004,2,17,David,Fountain Jr.,4141,1,1,0,0,4,4,1,
2793,2004,2,11,Jeff,Cassity,2916,0,0,1,0,4,4,1,
2793,2004,2,NA,Scatter,,27,0,0,0,1,4,4,1,
2793,2004,1,17,David,Fountain Jr.,7530,1,1,0,0,5,5,1,
2793,2004,1,16,Mark,Stalker,6563,1,0,0,0,5,5,1,
2793,2004,1,15,Bernard,Englund,6493,0,0,0,0,5,5,1,
2793,2004,1,14,JoAnn,Medley,5652,0,0,0,0,5,5,1,
2793,2004,1,NA,Scatter,,25,0,0,0,1,5,5,1,
2793,2005,1,1,Gilbert,Ostman,4683,1,1,1,0,6,6,1,
2793,2005,1,13,Ray,Rivera,4073,0,0,1,0,6,6,1,
2793,2005,1,15,Bernard,Englund,6517,1,0,1,0,6,6,1,
2793,2005,1,18,Sally,Simpson,3106,0,0,0,0,6,6,1,
2793,2005,1,NA,Scatter,,19,0,0,0,1,6,6,1,
2793,2006,1,3,Marc,Hujik,6578,1,1,1,0,7,7,1,
2793,2006,1,6,Eric,Olson,6284,1,1,1,0,7,7,1,
2793,2006,1,12,Pam,Stevens,6066,1,1,1,0,7,7,1,
2793,2006,1,18,Sally,Simpson,5306,0,0,1,0,7,7,1,
2793,2006,1,NA,Scatter,,53,0,0,0,1,7,7,1,
2793,2007,2,18,Sally,Simpson,1339,1,0,1,0,8,8,1,
2793,2007,2,19,Rebecca,Stevens,2263,1,0,0,0,8,8,1,
2793,2007,2,17,David,Fountain Jr.,2419,1,1,1,0,8,8,1,
2793,2007,2,20,Elizabeth,Daghfal,1283,1,0,0,0,8,8,1,
2793,2007,2,21,Amy,Grimley,804,0,0,0,0,8,8,1,
2793,2007,2,11,Jeff,Cassity,1060,0,0,0,0,8,8,1,
2793,2007,2,NA,Scatter,,22,0,0,1,1,8,8,1,
2793,2007,1,19,Rebecca,Stevens,6866,1,0,0,0,9,9,1,
2793,2007,1,20,Elizabeth,Daghfal,3114,0,0,0,0,9,9,1,
2793,2007,1,18,Sally,Simpson,4328,0,0,1,0,9,9,1,
2793,2007,1,17,David,Fountain Jr.,5392,1,1,1,0,9,9,1,
2793,2008,1,1,Gilbert,Ostman,9109,1,1,1,0,10,10,1,
2793,2008,1,22,Carl,Bryan,8048,0,0,0,0,10,10,1,
2793,2008,1,23,Jo Ann,Taube,9626,1,0,0,0,10,10,1,
2793,2008,1,NA,Scatter,,85,0,0,0,1,10,10,1,
2793,2009,2,12,Pam,Stevens,3220,1,1,1,0,11,11,1,
2793,2009,2,6,Eric,Olson,2859,1,1,1,0,11,11,1,
2793,2009,2,24,James,Twomey,2354,1,0,0,0,11,11,1,
2793,2009,2,25,Carl,Bryan,3444,1,0,0,0,11,11,1,
2793,2009,2,26,Tina,Rene Angeli,1549,0,0,0,0,11,11,1,
2793,2009,2,3,Marc,Hujik,2613,1,1,1,0,11,11,1,
2793,2009,2,27,Mary,Snyder,2884,1,0,0,0,11,11,1,
2793,2009,2,NA,Scatter,,91,0,0,0,1,11,11,1,
2793,2009,1,25,Carl,Bryan,7261,1,0,0,0,12,12,1,
2793,2009,1,3,Marc,Hujik,3321,0,1,1,0,12,12,1,
2793,2009,1,6,Eric,Olson,4561,0,1,1,0,12,12,1,
2793,2009,1,27,Mary,Snyder,6069,1,0,0,0,12,12,1,
2793,2009,1,12,Pam,Stevens,5432,1,1,1,0,12,12,1,
2793,2009,1,24,James,Twomey,4464,0,0,0,0,12,12,1,
2793,2009,1,NA,Scatter,,84,0,0,0,1,12,12,1,
2793,2010,2,28,Robert,Nuzzo,838,1,0,0,0,13,13,1,
2793,2010,2,29,Rebecca,Stevens,1626,1,0,0,0,13,13,1,
2793,2010,2,30,David,Gallo,1260,1,0,0,0,13,13,1,
2793,2010,2,31,Herman,Singleton,270,0,0,0,0,13,13,1,
2793,2010,2,17,David,Fountain Jr.,1216,1,1,1,0,13,13,1,
2793,2010,2,NA,Scatter,,37,0,0,0,1,13,13,1,
2793,2010,1,30,David,Gallo,3862,1,0,0,0,14,14,1,
2793,2010,1,17,David,Fountain Jr.,2848,0,1,1,0,14,14,1,
2793,2010,1,29,Rebecca,Stevens,4926,1,0,0,0,14,14,1,
2793,2010,1,28,Robert,Nuzzo,3375,0,0,0,0,14,14,1,
2793,2010,1,NA,Scatter,,47,0,0,0,1,14,14,1,
2793,2011,2,31,Tamarra,Coleman,1328,1,0,0,0,15,15,1,
2793,2011,2,32,Shari,Kordecki-Ralph,614,0,0,0,0,15,15,1,
2793,2011,2,28,Robert,Nuzzo,2132,1,0,1,0,15,15,1,
2793,2011,2,23,Jo Ann,Taube,2026,1,1,1,0,15,15,1,
