distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2800,2004,1,1,Tammy,Weyer,1550,1,1,1,0,1,1,1,
2800,2004,1,2,Neal,Weare,1564,1,0,0,0,1,1,1,
2800,2004,1,3,Joyce,Weishan,191,0,0,0,0,1,1,1,
2800,2004,1,NA,Scatter,,193,0,0,0,1,1,1,1,
2800,2005,1,4,Bette,Pouros,491,0,0,0,0,2,2,1,
2800,2005,1,5,Jean,Goeden,1547,1,1,1,0,2,2,1,
2800,2005,1,6,John,Kenworthy,1575,1,0,0,0,2,2,1,
2800,2005,1,7,Stephen,Jensen,1051,0,0,0,0,2,2,1,
2800,2005,1,8,Bob,Loehr,1339,0,0,0,0,2,2,1,
2800,2005,1,NA,Scatter,,25,0,0,0,1,2,2,1,
2800,2006,1,9,Lisa,Parker,613,0,0,0,0,3,3,1,
2800,2006,1,7,Stephen,Jensen,776,1,0,1,0,3,3,1,
2800,2006,1,2,Neal,Weare,388,0,1,1,0,3,3,1,
2800,2006,1,10,Bruce,Braidigan,831,1,0,0,0,3,3,1,
2800,2006,1,NA,Scatter,,10,0,0,0,1,3,3,1,
2800,2008,1,11,Sally,Cochran,1181,1,0,0,0,4,4,1,
2800,2008,1,12,James,Leister,1088,1,0,0,0,4,4,1,
2800,2008,1,6,John,Kenworthy,1145,1,1,1,0,4,4,1,
2800,2008,1,NA,Scatter,,37,0,0,0,1,4,4,1,
2800,2009,1,10,Bruce,Braidigan,1300,1,1,1,0,5,5,1,
2800,2009,1,7,Stephen,Jensen,1425,1,1,1,0,5,5,1,
2800,2009,1,NA,Scatter,,68,0,0,0,1,5,5,1,
2800,2010,1,13,William,Kesting,576,1,0,0,0,6,6,1,
2800,2010,1,14,Mary,Miller,591,1,0,0,0,6,6,1,
2800,2010,1,NA,Scatter,,27,0,0,0,1,6,6,1,
2800,2011,1,15,Troy,Hanson,1584,1,0,0,0,7,7,1,
2800,2011,1,16,Timothy,Ramthun,2380,1,0,0,0,7,7,1,
2800,2011,1,17,Jessica,Baker,931,0,0,0,0,7,7,1,
2800,2011,1,18,Sue,Miller,1515,1,0,0,0,7,7,1,
2800,2011,1,12,James,Leister,1513,0,0,0,0,7,7,1,
2800,2011,1,19,Andrew,Kuehl,1315,0,0,0,0,7,7,1,
2800,2011,1,NA,Scatter,,318,0,0,0,1,7,7,1,
2800,2012,2,12,James,Leister,749,1,0,1,0,8,8,1,
2800,2012,2,10,Bruce,Braidigan,225,1,1,1,0,8,8,1,
2800,2012,2,7,Stephen,Jensen,213,0,1,1,0,8,8,1,
2800,2012,2,20,Grace,Mueller,512,1,0,0,0,8,8,1,
2800,2012,2,21,Harry,Roecker,282,1,0,0,0,8,8,1,
2800,2012,2,NA,Scatter,,4,0,0,0,1,8,8,1,
2800,2012,1,10,Bruce,Braidigan,718,0,1,1,0,9,9,1,
2800,2012,1,21,Harry,Roecker,738,0,0,0,0,9,9,1,
2800,2012,1,20,Grace,Mueller,1763,1,0,0,0,9,9,1,
2800,2012,1,12,James,Leister,2115,1,0,1,0,9,9,1,
2800,2012,1,NA,Scatter,,31,0,0,0,1,9,9,1,
