distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
2814,2002,1,1,Joe,Viau,666,0,1,1,0,1,1,0,
2814,2002,1,2,Mary,Federwitz,833,1,0,0,0,1,1,0,
2814,2002,1,3,Lee,Ledvina,838,1,1,1,0,2,2,0,
2814,2002,1,4,Pat,Pichotta,694,0,0,0,0,2,2,0,
2814,2003,2,5,Anita,Schuller,239,1,1,1,0,3,3,0,
2814,2003,2,4,Pat,Pichotta,207,1,0,1,0,3,3,0,
2814,2003,2,7,Jill,Bussiere,90,0,0,0,1,3,3,0,
2814,2003,2,NA,Scatter,,1,0,0,0,1,3,3,0,
2814,2003,1,5,Anita,Schuller,665,1,1,1,0,4,4,0,
2814,2003,1,4,Pat,Pichotta,596,0,0,0,0,4,4,0,
2814,2003,1,8,Sarah,Schiller,570,0,0,0,0,5,5,0,
2814,2003,1,9,Jackson,Main Jr.,422,0,0,0,0,5,5,0,
2814,2003,1,1,Joe,Viau,193,0,1,1,0,5,5,0,
2814,2003,1,10,Jeffrey,Kleiman,888,1,0,0,0,5,5,0,
2814,2004,1,8,Sarah,Schiller,1038,1,1,1,0,6,6,0,
2814,2004,1,11,John,Tess,1039,1,1,1,0,7,7,0,
2814,2004,1,12,Peter,Fiala,1029,1,1,1,0,8,8,1,
2814,2004,1,NA,Scatter,,28,0,0,0,1,8,8,1,
2814,2005,1,3,Lee,Ledvina,530,0,1,1,0,9,9,0,
2814,2005,1,4,Pat,Pichotta,969,1,1,1,0,9,9,0,
2814,2005,1,2,Mary,Federwitz,401,0,1,1,0,10,10,0,
2814,2005,1,13,Brian,Vogeltanz,1048,1,0,0,0,10,10,0,
2814,2005,1,NA,Scatter,,119,0,0,0,1,10,10,0,
2814,2006,1,14,Laura,Gallenberger,894,1,0,0,0,11,11,0,
2814,2006,1,15,Tom,Stangel,705,1,0,0,0,11,11,0,
2814,2006,1,16,Jeffrey,Kohnle,983,1,0,0,0,12,12,0,
2814,2006,1,NA,Scatter,,29,0,0,0,1,12,12,0,
2814,2007,1,14,Laura,Gallenberger,912,1,1,1,0,13,13,0,
2814,2007,1,17,Dan,Kassner,782,1,0,0,0,14,14,1,
2814,2007,1,8,Sarah,Schiller,1164,1,1,1,0,15,15,0,
2814,2007,1,NA,Scatter,,559,0,0,0,1,15,15,0,
2814,2008,1,18,John,Pagel,623,1,0,0,0,16,16,0,
2814,2008,1,19,Paul,Kultgen,600,1,0,0,0,16,16,0,2 year term
2814,2008,1,13,Brian,Vogeltanz,777,1,1,1,0,17,17,0,
2814,2008,1,20,Janita,Zimmerman,103,0,0,0,0,17,17,0,
2814,2008,1,NA,Scatter,,23,0,0,0,1,17,17,0,
2814,2009,1,15,Tom,Stangel,744,1,0,1,0,18,18,0,
2814,2009,1,16,Jeffrey,Kohnle,750,1,1,1,0,19,19,0,
2814,2009,1,NA,Scatter,,17,0,0,0,1,19,19,0,
2814,2010,1,19,Paul,Kultgen,378,1,1,1,0,20,20,0,
2814,2010,1,8,Sarah,Schiller,528,1,1,1,0,21,21,0,
2814,2010,1,17,Dan,Kassner,511,1,1,1,0,22,22,1,
2814,2010,1,21,Ron,Heuer,220,0,0,0,0,22,22,1,
2814,2010,1,NA,Scatter,,8,0,0,0,1,22,22,1,
2814,2011,1,18,John,Pagel,1213,1,1,1,0,23,23,0,
2814,2011,1,13,Brian,Vogeltanz,1272,1,1,1,0,24,24,0,
2814,2011,1,NA,Scatter,,48,0,0,0,1,24,24,0,
2814,2012,1,15,Tom,Stangel,1021,1,1,1,0,25,25,0,
2814,2012,1,16,Jeffrey,Kohnle,34,1,1,1,1,26,26,0,
2814,2012,1,NA,Scatter,,58,0,0,0,1,26,26,0,
