distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
5960,2002,1,1,Beth,Unger,200,1,0,0,0,1,1,0,
5960,2002,1,2,David,Wright,213,1,1,1,0,2,2,0,
5960,2002,1,3,Jeffrey,Joseph,185,1,0,0,0,3,3,0,
5960,2002,1,NA,Scatter,,15,0,0,0,1,3,3,0,
5960,2003,1,4,Earl,Wallace,448,1,1,1,0,4,4,0,
5960,2003,1,5,Danny,Deckert,457,1,1,1,0,5,5,0,
5960,2003,1,6,Barry,Peterson,373,1,0,0,0,6,6,0,
5960,2003,1,7,Michael,Rynes,128,0,0,0,0,6,6,0,
5960,2003,1,NA,Scatter,,7,0,0,0,1,6,6,0,
5960,2004,1,8,Mitch,Williams,22,1,0,0,1,7,7,0,
5960,2004,1,9,Ellen,Miller,300,1,1,1,0,8,8,0,
5960,2004,1,10,Janet,Matthes,229,1,1,1,0,9,9,0,
5960,2004,1,11,John,Young,63,0,0,0,1,9,9,0,
5960,2004,1,NA,Scatter,,24,0,0,0,1,9,9,0,
5960,2005,1,1,Beth,Unger,510,1,1,1,0,10,10,0,
5960,2005,1,12,Janet,Kellum,199,0,0,0,0,10,10,0,
5960,2005,1,2,David,Wright,692,1,1,1,0,11,11,0,
5960,2005,1,3,Jeffrey,Joseph,653,1,1,1,0,12,12,0,
5960,2006,1,4,Earl,Wallace,458,1,1,1,0,13,13,0,
5960,2006,1,5,Danny,Deckert,463,1,1,1,0,14,14,0,
5960,2006,1,7,Michael,Rynes,84,0,0,0,0,15,15,0,
5960,2006,1,13,Kelly,Everhart,424,1,0,0,0,15,15,0,
5960,2007,1,8,Mitch,Williams,333,1,1,1,0,16,16,0,
5960,2007,1,9,Ellen,Miller,341,1,1,1,0,17,17,0,
5960,2007,1,10,Janet,Matthes,324,1,1,1,0,18,18,0,
5960,2008,1,3,Jeffrey,Joseph,301,1,1,1,0,19,19,0,
5960,2008,1,NA,Scatter,,28,0,0,0,1,19,19,0,
5960,2009,1,5,Danny,Deckert,514,1,1,1,0,20,20,0,
5960,2009,1,14,Daniel,Chroninger,499,1,0,0,0,21,21,0,2 year term
5960,2009,1,6,Barry,Peterson,520,1,0,1,0,22,22,0,2 year term
5960,2009,1,4,Earl,Wallace,509,1,1,1,0,23,23,0,
5960,2010,1,10,Janet,Matthes,403,1,1,1,0,24,24,0,
5960,2010,1,8,Mitch,Williams,399,1,1,1,0,25,25,0,2 year term
5960,2010,1,NA,Scatter,,1,0,0,0,1,25,25,0,
5960,2011,1,14,Daniel,Chroninger,680,1,1,1,0,26,26,0,
5960,2011,1,15,Tricia,Clements,50,0,0,0,1,26,26,0,
5960,2011,1,6,Barry,Peterson,559,1,1,1,0,27,27,0,
5960,2011,1,7,Michael,Rynes,179,0,0,1,0,27,27,0,
5960,2011,1,3,Jeffrey,Joseph,660,1,1,1,0,28,28,0,
5960,2011,1,NA,Scatter,,2,0,0,0,1,28,28,0,
5960,2012,1,5,Danny,Deckert,223,0,1,1,0,29,29,0,
5960,2012,1,15,Tricia,Clements,334,1,0,1,0,29,29,0,
5960,2012,1,4,Earl,Wallace,444,1,1,1,0,30,30,0,
