distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2835,2002,1,1,Larry,Wurdinger,715,1,1,1,0,1,1,1,
2835,2002,1,2,Dan,Lenz,847,1,1,1,0,1,1,1,
2835,2003,1,3,Judy,Reider,1647,1,1,1,0,2,2,1,
2835,2003,1,4,Brad,Siebers,1781,1,1,1,0,2,2,1,
2835,2003,1,5,Lynn,Verhagen,1690,1,1,1,0,2,2,1,
2835,2003,1,NA,Scatter,,11,0,0,0,1,2,2,1,
2835,2004,1,6,Debbie,Roberts,1048,1,1,1,0,3,3,1,
2835,2004,1,7,Penny,Hoh,1123,1,0,0,0,3,3,1,
2835,2004,1,8,Charles,Rundquist,923,0,0,0,0,3,3,1,
2835,2004,1,9,Michael,Verstegen,1045,1,0,0,0,3,3,1,
2835,2004,1,10,Raymond,Schommer,468,0,0,0,0,3,3,1,
2835,2005,1,2,Dan,Lenz,1270,1,1,1,0,4,4,1,
2835,2005,1,1,Larry,Wurdinger,845,1,1,1,0,4,4,1,
2835,2005,1,10,Raymond,Schommer,770,0,0,1,0,4,4,1,
2835,2006,1,9,Michael,Verstegen,1365,1,0,1,0,5,5,1,
2835,2006,1,4,Brad,Siebers,1322,1,1,1,0,5,5,1,
2835,2006,1,8,Charles,Rundquist,1214,1,0,1,0,5,5,1,
2835,2006,1,3,Judy,Reider,1101,0,1,1,0,5,5,1,
2835,2006,1,11,Darryn,Davidson,564,0,0,0,0,5,5,1,
2835,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
2835,2007,1,7,Penny,Hoh,1406,1,1,1,0,6,6,1,
2835,2007,1,6,Debbie,Roberts,1463,1,1,1,0,6,6,1,
2835,2008,1,12,Montgomery,Elmer,2476,1,0,0,0,7,7,1,
2835,2008,1,13,Ammie,Ebben,1631,1,0,0,0,7,7,1,
2835,2008,1,2,Dan,Lenz,1198,0,1,1,0,7,7,1,
2835,2008,1,1,Larry,Wurdinger,769,0,1,1,0,7,7,1,
2835,2009,1,8,Charles,Rundquist,1212,1,1,1,0,8,8,1,
2835,2009,1,4,Brad,Siebers,1196,1,1,1,0,8,8,1,
2835,2009,1,14,Mary,Pribbenow,1191,1,0,0,0,8,8,1,
2835,2009,1,NA,Scatter,,14,0,0,0,1,8,8,1,
2835,2010,1,6,Debbie,Roberts,786,1,1,1,0,9,9,1,
2835,2010,1,15,James,Manderle,618,0,0,0,0,9,9,1,
2835,2010,1,7,Penny,Hoh,756,1,1,1,0,9,9,1,
2835,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
2835,2011,1,2,Dan,Lenz,2459,0,0,1,0,10,10,1,
2835,2011,1,12,Montgomery,Elmer,2899,1,1,1,0,10,10,1,
2835,2011,1,13,Ammie,Ebben,2843,1,1,1,0,10,10,1,
2835,2011,1,NA,Scatter,,27,0,0,0,1,10,10,1,
2835,2012,1,8,Charles,Rundquist,2515,1,1,1,0,11,11,1,
2835,2012,1,4,Brad,Siebers,2501,1,1,1,0,11,11,1,
2835,2012,1,14,Mary,Pribbenow,2579,1,1,1,0,11,11,1,
2835,2012,1,NA,Scatter,,42,0,0,0,1,11,11,1,
