distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1848,2002,1,1,Melvin,Buckholtz,128,1,1,1,0,1,1,1,
1848,2002,1,2,Betty Jo,Graveen,166,1,1,1,0,1,1,1,
1848,2002,1,3,Fred,Maulson,51,0,0,0,1,1,1,1,
1848,2002,1,4,Mike,Christensen,109,0,0,0,0,1,1,1,
1848,2003,1,5,Terry,Hoyt,253,1,0,0,0,2,2,1,
1848,2003,1,6,Michael,Zimmerman,254,1,1,1,0,2,2,1,
1848,2004,1,7,Gary,Smith,271,1,1,1,0,3,3,1,
1848,2004,1,8,Michael,Zimmerman Jr.,228,1,1,1,0,3,3,1,
1848,2004,2,7,Gary,Smith,236,1,1,1,0,4,4,1,
1848,2004,2,6,Michael,Zimmerman Jr.,213,1,1,1,0,4,4,1,
1848,2004,2,9,John,Holton,99,0,0,0,1,4,4,1,
1848,2005,2,10,Myron,Doud,27,0,0,0,1,5,5,1,
1848,2005,2,2,Betty Jo,Graveen,128,1,1,1,0,5,5,1,
1848,2005,2,11,Ruth,Werling,116,1,0,0,0,5,5,1,
1848,2005,2,12,Carl,Edwards,127,1,0,0,0,5,5,1,
1848,2005,2,13,Ed,Schnabl,59,0,0,0,1,5,5,1,
1848,2005,2,14,Mark,Stone,16,0,0,0,1,5,5,1,
1848,2005,2,6,Michael,Zimmerman,126,1,1,1,0,6,6,1,
1848,2005,1,12,Carl,Edwards,376,1,0,0,0,6,6,1,
1848,2005,1,8,Michael,Zimmerman,375,1,1,1,0,6,6,1,
1848,2005,1,2,Betty Jo,Graveen,296,0,1,1,0,6,6,1,
1848,2005,1,11,Ruth,Werling,226,0,0,0,0,6,6,1,
1848,2006,1,15,Tricia,Mann,191,1,0,0,0,7,7,1,
1848,2006,1,16,Joe,Boyle,98,0,0,0,1,7,7,1,
1848,2006,1,6,Michael,Zimmerman,188,1,1,1,0,7,7,1,
1848,2006,1,5,Terry,Hoyt,157,0,1,1,0,7,7,1,
1848,2007,1,5,Terry,Hoyt,191,0,0,1,0,8,8,1,
1848,2007,1,7,Gary,Smith,251,1,1,1,0,8,8,1,
1848,2007,1,NA,Scatter,,1,0,0,0,1,8,8,1,
1848,2007,2,5,Terry,Hoyt,122,1,0,1,0,9,9,1,
1848,2007,2,7,Gary,Smith,65,1,1,1,1,9,9,1,
1848,2007,2,17,Louis,Germaine,39,0,0,0,1,9,9,1,
1848,2008,1,12,Carl,Edwards,225,1,1,1,0,10,10,1,
1848,2008,1,18,Jerome,Brooks,127,0,0,0,0,10,10,1,
1848,2008,1,8,Michael,Zimmerman,269,1,1,1,0,10,10,1,
1848,2009,1,19,William,Graveen,134,0,0,0,0,11,11,1,
1848,2009,1,6,Michael,Zimmerman,234,1,1,1,0,11,11,1,
1848,2009,1,15,Tricia,Mann,222,1,1,1,0,11,11,1,
1848,2009,1,16,Juanita,Thompson,130,0,0,0,0,11,11,1,
1848,2010,1,7,Gary,Smith,101,1,1,1,0,12,12,1,
1848,2011,1,8,Michael,Zimmerman,336,1,1,1,0,13,13,1,
1848,2011,1,12,Carl,Edwards,309,1,1,1,0,13,13,1,
1848,2011,1,NA,Scatter,,7,0,0,0,1,13,13,1,
1848,2012,1,6,Michael,Zimmerman,252,1,1,1,0,14,14,1,
1848,2012,1,20,Brian,Jackson,176,0,0,0,0,14,14,1,
1848,2012,1,21,Patricia,Mann,189,1,0,0,0,14,14,1,
1848,2012,1,NA,Scatter,,26,0,0,0,1,14,14,1,
