distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2891,2002,1,1,William,Grinder,442,1,0,0,0,1,1,1,
2891,2002,1,2,Bruce,Anderson,111,0,0,0,0,1,1,1,
2891,2002,1,3,John,Bell,114,0,0,0,0,1,1,1,
2891,2002,1,4,Ruth,Sommers,126,0,0,0,0,1,1,1,
2891,2002,1,5,Joseph,Stansbury,206,1,0,0,0,1,1,1,
2891,2003,2,4,Ruth,Sommers,20,0,0,1,1,2,2,1,
2891,2003,2,6,Betty,Sitler,65,1,0,0,1,2,2,1,
2891,2003,2,7,Jeffrey,Anders,109,1,1,1,0,2,2,1,
2891,2003,1,6,Betty,Sitler,200,0,0,0,0,3,3,1,
2891,2003,1,7,Jeffrey,Anders,365,1,1,1,0,3,3,1,
2891,2004,1,4,Ruth,Sommers,102,0,0,1,0,4,4,1,
2891,2004,1,8,Albert,Dixon,183,1,1,1,0,4,4,1,
2891,2004,1,9,Sara,Kaiser,139,1,1,1,0,4,4,1,
2891,2004,1,NA,Scatter,,1,0,0,0,1,4,4,1,
2891,2005,1,1,William,Grinder,256,1,1,1,0,5,5,1,
2891,2005,1,5,Joseph,Stansbury,274,1,1,1,0,5,5,1,
2891,2005,1,NA,Scatter,,6,0,0,0,1,5,5,1,
2891,2006,1,7,Jeffrey,Anders,225,1,1,1,0,6,6,1,
2891,2006,1,10,Sally,Meyer,180,1,0,0,0,6,6,1,
2891,2006,1,11,Jesellen,Andres,174,0,0,0,0,6,6,1,
2891,2006,1,NA,Scatter,,1,0,0,0,1,6,6,1,
2891,2007,1,11,Jesellen,Andres,337,0,0,1,0,7,7,1,
2891,2007,1,10,Sally,Meyer,429,1,0,1,0,7,7,1,
2891,2007,1,12,Frank,Lompa,337,0,0,0,0,7,7,1,
2891,2007,1,8,Albert,Dixon,344,1,1,1,0,7,7,1,
2891,2007,1,NA,Scatter,,4,0,0,0,1,7,7,1,
2891,2008,1,1,William,Grinder,147,0,0,1,0,8,8,1,
2891,2008,1,5,Joseph,Stansbury,265,1,1,1,0,8,8,1,
2891,2008,1,13,David,Wymore,132,0,0,0,0,8,8,1,
2891,2008,1,14,Corey,Grape,295,1,0,0,0,8,8,1,
2891,2008,1,NA,Scatter,,2,0,0,0,1,8,8,1,
2891,2009,1,7,Jeffrey,Anders,290,1,1,1,0,9,9,1,
2891,2009,1,15,George,Ronnestrand,167,0,0,0,0,9,9,1,
2891,2010,1,10,Sally,Meyer,136,1,1,1,0,10,10,1,
2891,2010,1,8,Albert,Dixon,134,1,1,1,0,10,10,1,
2891,2010,1,NA,Scatter,,4,0,0,0,1,10,10,1,
2891,2011,1,14,Corey,Grape,618,1,1,1,0,11,11,1,
2891,2011,1,16,Kathy,Minot,147,1,0,0,0,11,11,1,
2891,2011,1,1,William,Grinder,34,0,0,1,0,11,11,1,
2891,2011,1,NA,Scatter,,25,0,0,0,1,11,11,1,
2891,2012,1,7,Jeffrey,Anders,395,1,1,1,0,12,12,1,
2891,2012,1,NA,Scatter,,4,0,0,0,1,12,12,1,
