distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2898,2002,1,1,Robert,Runte,467,1,1,1,0,1,1,1,
2898,2002,1,2,Richard,Janosik,487,1,1,1,0,1,1,1,
2898,2002,1,NA,Scatter,,21,0,0,0,1,1,1,1,
2898,2003,1,3,Sandra,Szafranski,552,0,1,1,0,2,2,1,
2898,2003,1,4,Donna,Thomas,814,1,0,0,0,2,2,1,
2898,2003,1,5,Kenneth,Stetson,807,1,0,0,0,2,2,1,
2898,2004,1,6,Michael,Johnson,381,1,0,0,0,3,3,1,
2898,2004,1,7,Robert,Dimperio,397,1,0,0,0,3,3,1,
2898,2004,1,8,Jay,Wiedenfeld,314,0,1,1,0,3,3,1,
2898,2005,1,9,George,Clokey,316,0,0,0,0,4,4,1,
2898,2005,1,2,Richard,Janosik,420,1,1,1,0,4,4,1,
2898,2005,1,NA,Scatter,,2,0,0,0,1,4,4,1,
2898,2006,1,4,Donna,Thomas,452,1,1,1,0,5,5,1,
2898,2006,1,5,Kenneth,Stetson,427,1,1,1,0,5,5,1,
2898,2006,1,NA,Scatter,,9,0,0,0,1,5,5,1,
2898,2007,1,6,Michael,Johnson,1427,1,1,1,0,6,6,1,
2898,2007,1,7,Robert,Dimperio,1267,1,1,1,0,6,6,1,
2898,2007,1,NA,Scatter,,18,0,0,0,1,6,6,1,
2898,2008,1,10,Richard,Mason,920,1,0,0,0,7,7,1,
2898,2008,1,11,Laura,Libal,630,0,0,0,0,7,7,1,
2898,2008,1,NA,Scatter,,4,0,0,0,1,7,7,1,
2898,2009,1,12,Steve,Topel,933,1,0,0,0,8,8,1,
2898,2009,1,4,Donna,Thomas,894,1,1,1,0,8,8,1,
2898,2009,1,13,Peggy,Ranney,770,0,0,0,0,8,8,1,
2898,2009,1,NA,Scatter,,11,0,0,0,1,8,8,1,
2898,2010,1,5,Kenneth,Stetson,765,1,0,1,0,9,9,1,
2898,2010,1,7,Robert,Dimperio,734,1,1,1,0,9,9,1,
2898,2010,1,NA,Scatter,,18,0,0,0,1,9,9,1,
2898,2011,1,10,Richard,Mason,2109,1,1,1,0,10,10,1,
2898,2011,1,NA,Scatter,,35,0,0,0,1,10,10,1,
2898,2012,1,4,Donna,Thomas,1117,1,1,1,0,11,11,1,
2898,2012,1,12,Steve,Topel,1282,1,1,1,0,11,11,1,
2898,2012,1,NA,Scatter,,28,0,0,0,1,11,11,1,
