distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3094,2002,1,1,Ann,Zubow,127,1,1,1,0,1,1,1,
3094,2002,1,2,Tammy,Grams,111,1,1,1,0,1,1,1,
3094,2002,1,3,Leo,Kazanimskj,100,1,1,1,0,1,1,1,
3094,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
3094,2003,1,4,Deborah,Allen,105,1,1,1,0,2,2,1,
3094,2003,1,3,Leo,Kazanimskj,71,1,1,1,1,2,2,1,
3094,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
3094,2004,1,5,Bonnie,Curnue,16,1,1,1,1,3,3,1,
3094,2005,1,1,Ann,Zubow,115,1,1,1,0,4,4,1,
3094,2005,1,6,Brooke,Grunow,121,1,0,0,0,4,4,1,
3094,2006,1,3,Leo,Kazanimskj,38,0,1,1,1,5,5,1,
3094,2006,1,7,Peter,Borgo,75,1,0,0,1,5,5,1,
3094,2006,1,8,Jeff,Doubek,51,1,0,0,1,5,5,1,
3094,2006,1,NA,Scatter,,11,0,0,0,1,5,5,1,
3094,2007,1,5,Bonnie,Curnue,212,1,1,1,0,6,6,1,
3094,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
3094,2008,1,6,Brooke,Grunow,148,1,1,1,0,7,7,1,
3094,2008,1,9,Alex,Palmer,140,1,0,0,0,7,7,1,
3094,2008,1,10,John,Palmer,136,1,0,0,0,7,7,1,
3094,2009,1,7,Peter,Borgo,111,1,1,1,0,8,8,1,
3094,2009,1,10,John,Palmer,145,1,1,1,0,8,8,1,
3094,2010,1,5,Bonnie,Curnue,93,1,1,1,1,9,9,1,
3094,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
3094,2011,1,9,Alex,Palmer,287,1,1,1,0,10,10,1,
3094,2011,1,11,Ryan,Southwick,176,1,0,0,0,10,10,1,
3094,2011,1,NA,Scatter,,3,0,0,0,1,10,10,1,
3094,2012,1,7,Peter,Borgo,206,1,1,1,0,11,11,1,
3094,2012,1,12,Doris,Roan,23,0,0,0,1,11,11,1,
3094,2012,1,NA,Scatter,,21,0,0,0,1,11,11,1,
