distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3150,2002,1,1,John,Kalinoski,104,0,0,0,0,1,1,1,
3150,2002,1,2,David,Otto,572,1,1,1,0,1,1,1,
3150,2002,1,3,Ron,Johnson,367,0,0,0,0,1,1,1,
3150,2002,1,4,Sue,Miller,573,1,0,0,0,1,1,1,
3150,2002,1,NA,Scatter,,5,0,0,0,1,1,1,1,
3150,2003,1,5,Joan,Kutz,995,1,0,0,0,2,2,1,
3150,2003,1,6,Bill,Wipperfurth,940,1,1,1,0,2,2,1,
3150,2003,1,7,Ken,Treinen,849,1,0,0,0,2,2,1,
3150,2003,1,8,Bob,Daehling,582,0,0,0,0,2,2,1,
3150,2003,1,9,Owen,Gwynne,392,0,1,1,0,2,2,1,
3150,2003,1,10,Marty,Miskulin,331,0,0,0,0,2,2,1,
3150,2003,1,NA,Scatter,,4,0,0,0,1,2,2,1,
3150,2004,1,8,Bob,Daehling,444,0,0,1,0,3,3,1,
3150,2004,1,11,Kenneth,Paul,496,1,0,0,0,3,3,1,
3150,2004,1,12,Amy,Mendel-Clemens,551,1,0,0,0,3,3,1,
3150,2004,1,NA,Scatter,,15,0,0,0,1,3,3,1,
3150,2005,1,2,David,Otto,681,1,1,1,0,4,4,1,
3150,2005,1,4,Sue,Miller,646,1,1,1,0,4,4,1,
3150,2005,1,8,Bob,Daehling,467,0,0,1,0,4,4,1,
3150,2005,1,13,Bruce,Peckham,274,0,0,0,0,4,4,1,
3150,2005,1,NA,Scatter,,4,0,0,0,1,4,4,1,
3150,2006,2,14,Sheila,Landsverk,174,1,0,0,0,5,5,1,
3150,2006,2,15,Charles,Brown,172,1,0,0,0,5,5,1,
3150,2006,2,6,Bill,Wipperfurth,165,1,1,1,0,5,5,1,
3150,2006,2,8,Bob,Daehling,158,1,0,1,0,5,5,1,
3150,2006,2,16,Bud,Styer,126,1,0,0,0,5,5,1,
3150,2006,2,17,Kim,Brown,114,1,0,0,0,5,5,1,
3150,2006,2,18,Margaret,Vaughan,105,0,0,0,0,5,5,1,
3150,2006,2,NA,Scatter,,18,0,0,0,1,5,5,1,
3150,2006,1,15,Charles,Brown,499,1,0,0,0,6,6,1,
3150,2006,1,14,Sheila,Landsverk,537,1,0,0,0,6,6,1,
3150,2006,1,8,Bob,Daehling,464,0,0,1,0,6,6,1,
3150,2006,1,6,Bill,Wipperfurth,552,1,1,1,0,6,6,1,
3150,2006,1,17,Kim,Brown,425,0,0,0,0,6,6,1,
3150,2006,1,16,Bud,Styer,293,0,0,0,0,6,6,1,
3150,2006,1,NA,Scatter,,9,0,0,0,1,6,6,1,
3150,2007,1,11,Kenneth,Paul,1187,1,1,1,0,7,7,1,
3150,2007,1,7,Ken,Treinen,111,1,0,1,0,7,7,1,
3150,2007,1,8,Bob,Daehling,22,0,0,1,0,7,7,1,
3150,2007,1,NA,Scatter,,89,0,0,0,1,7,7,1,
3150,2008,1,2,David,Otto,837,1,1,1,0,8,8,1,
3150,2008,1,18,Derald,Stronach,488,0,0,0,0,8,8,1,
3150,2008,1,4,Sue,Miller,940,1,1,1,0,8,8,1,
3150,2008,1,NA,Scatter,,9,0,0,0,1,8,8,1,
3150,2009,1,19,John,Zeimet,1169,0,0,0,0,9,9,1,
3150,2009,1,4,Sue,Miller,1224,1,1,1,0,9,9,1,
3150,2009,1,20,Mark,Seidler,1494,1,0,0,0,9,9,1,
3150,2009,1,21,Michael,Martin,1143,0,0,0,0,9,9,1,
3150,2009,1,NA,Scatter,,16,0,0,0,1,9,9,1,
3150,2010,2,15,Charles,Brown,245,1,0,1,0,10,10,1,
3150,2010,2,11,Kenneth,Paul,225,1,1,1,0,10,10,1,
3150,2010,2,22,Beth,Pollow,152,0,0,0,0,10,10,1,
3150,2010,2,23,Karl,Westphal,205,1,0,0,0,10,10,1,
3150,2010,2,24,Bob,Hunt,271,1,0,0,0,10,10,1,
3150,2010,2,NA,Scatter,,6,0,0,0,1,10,10,1,
3150,2010,1,11,Kenneth,Paul,402,0,1,1,0,11,11,1,
3150,2010,1,23,Karl,Westphal,666,1,0,0,0,11,11,1,
3150,2010,1,15,Charles,Brown,457,0,0,1,0,11,11,1,
3150,2010,1,24,Bob,Hunt,686,1,0,0,0,11,11,1,
3150,2010,1,NA,Scatter,,14,0,0,0,1,11,11,1,
3150,2012,1,16,Bud,Styer,972,0,0,1,0,12,12,1,
3150,2012,1,6,Bill,Wipperfurth,1086,1,0,1,0,12,12,1,
3150,2012,1,25,Bill,Beers,1134,1,0,0,0,12,12,1,
3150,2012,1,26,Clifford,Arthur,980,1,0,0,0,12,12,1,
3150,2012,1,NA,Scatter,,46,0,0,0,1,12,12,1,
