distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3171,2007,1,1,Tony,Ponte,596,1,1,1,0,1,1,0,
3171,2007,1,2,Ricky,Welak,598,1,1,1,0,1,2,0,
3171,2007,1,3,Tom,Jaster,592,1,1,1,0,1,3,0,
3171,2008,1,4,Roger,Schwanz,593,1,1,1,0,2,4,0,
3171,2008,1,5,Steve,Luedtke,644,1,1,1,0,2,5,0,
3171,2008,1,6,Lee,Bleuel,606,1,1,1,0,2,6,0,
3171,2009,1,7,Ric,Bloohm,612,1,0,0,0,3,7,0,
3171,2009,1,8,Stephen,Jones,353,1,0,0,0,3,8,0,
3171,2009,1,9,Robert,Wondra,556,1,0,0,0,3,8,0,
3171,2010,1,1,Tony,Ponte,322,1,1,1,0,4,9,0,
3171,2010,1,2,Rick,Welak,317,1,1,1,0,4,10,0,
3171,2010,1,3,Thomas,Jaster,331,1,1,1,0,4,11,0,
3171,2011,1,10,Edward,Feucht,981,1,0,0,0,5,12,0,
3171,2011,1,11,Gary,LangBrutting,395,0,0,0,0,5,12,0,
3171,2011,1,5,Steve,Luedtke,1419,1,1,1,0,5,13,0,
3171,2011,1,6,Lee,Bleuel,1317,1,1,1,0,5,14,0,
3171,2012,1,7,Ric,Bloohm,969,1,1,1,0,6,15,0,
3171,2012,1,8,Stephen,Jones,589,1,1,1,0,6,16,0,
3171,2012,1,9,Bob,Wondra,929,1,1,1,0,6,16,0,
