distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3269,2002,1,1,Scott,Fromader,8785,0,0,0,0,1,1,1,
3269,2002,1,2,Bill,Clingan,17667,1,0,0,0,1,1,1,
3269,2002,1,NA,Scatter,,254,0,0,0,1,1,1,1,
3269,2002,1,3,Carol,Carstensen,14695,1,1,1,0,2,2,1,
3269,2002,1,4,Roger,Allen,12532,0,1,1,0,2,2,1,
3269,2003,1,5,Bill,Keys,37065,1,1,1,0,3,3,1,
3269,2003,1,6,Juan,Jose Lopez,37778,1,1,1,0,4,4,1,
3269,2003,1,NA,Scatter,,2539,0,0,0,1,4,4,1,
3269,2004,2,7,Greg,Mulry,11035,0,0,0,0,5,5,1,
3269,2004,2,8,Melania,Alverez,24791,1,0,0,0,5,5,1,
3269,2004,2,9,Johnny,Winston Jr.,12657,1,0,0,0,5,5,1,
3269,2004,2,NA,Scatter,,923,0,0,0,1,5,5,1,
3269,2004,1,12,Shwaw,Vang,19989,1,1,1,0,7,7,1,
3269,2004,1,13,Sam,Johnson,8220,0,0,0,0,7,7,1,
3269,2004,1,8,Melania,Alverez,12569,0,0,0,0,8,8,1,
3269,2004,1,9,Johnny,Winston Jr.,15682,1,0,0,0,8,8,1,
3269,2004,1,14,Ruth,Robarts,18217,1,1,1,0,9,9,1,
3269,2004,1,15,Alix,Olson,10376,0,0,0,0,9,9,1,
3269,2004,1,NA,Scatter,,228,0,0,0,1,9,9,1,
3269,2005,1,16,Lawrie,Kobza,16072,1,0,0,0,10,10,1,
3269,2005,1,2,Bill,Clingan,14354,0,1,1,0,10,10,1,
3269,2005,1,17,Lawrence,Winkler,11623,0,0,0,0,11,11,1,
3269,2005,1,3,Carol,Carstensen,18841,1,1,1,0,11,11,1,
3269,2005,1,NA,Scatter,,168,0,0,0,1,11,11,1,
3269,2006,2,18,Michael,Kelly,996,0,0,0,0,12,12,1,
3269,2006,2,19,Arlene,Silveira,3191,1,0,0,0,12,12,1,
3269,2006,2,20,Maya,Cole,2338,1,0,0,0,12,12,1,
3269,2006,2,NA,Scatter,,93,0,0,0,1,12,12,1,
3269,2006,1,20,Maya,Cole,17847,1,0,0,0,13,13,1,
3269,2006,1,19,Arlene,Silveira,17933,1,0,0,0,13,13,1,
3269,2006,1,6,Juan,Jose Lopez,15551,0,1,1,0,14,14,1,
3269,2006,1,21,Lucy,Mathiak,20721,1,0,0,0,14,14,1,
3269,2006,1,NA,Scatter,,171,0,0,0,1,14,14,1,
3269,2007,2,22,Pam,Cross-Leone,5031,0,0,0,0,15,15,1,
3269,2007,2,23,Beth,Moss,11240,1,0,0,0,15,15,1,
3269,2007,2,24,Rick,Thomas,5919,1,0,0,0,15,15,1,
3269,2007,2,NA,Scatter,,283,0,0,0,1,15,15,1,
3269,2007,1,24,Rick,Thomas,15499,0,0,0,0,18,18,1,
3269,2007,1,23,Beth,Moss,28678,1,0,0,0,18,18,1,
3269,2007,1,29,Tom,Brew,14166,0,0,0,0,20,20,1,
3269,2007,1,9,Johnny,Winston Jr.,28688,1,1,1,0,20,20,1,
3269,2007,1,20,Maya,Cole,23428,1,0,1,0,21,21,1,
3269,2007,1,30,Marjorie,Passman,20419,0,0,0,0,21,21,1,
3269,2007,1,NA,Scatter,,175,0,0,0,1,21,21,1,
3269,2008,1,30,Marjorie,Passman,24164,1,0,1,0,22,22,1,
3269,2008,1,31,Ed,Hughes,22519,1,0,0,0,23,23,1,
3269,2008,1,NA,Scatter,,663,0,0,0,1,23,23,1,
3269,2009,1,32,Donald,Gors Jr.,8199,0,0,0,0,24,24,1,
3269,2009,1,19,Arlene,Silveira,27860,1,1,1,0,24,24,1,
3269,2009,1,21,Lucy,Mathiak,5601,1,1,1,0,25,25,1,
3269,2009,1,NA,Scatter,,791,0,0,0,1,25,25,1,
3269,2010,1,36,Tom,Farley,7543,0,0,0,0,27,27,1,
3269,2010,1,37,James,Howard,13267,1,0,0,0,27,27,1,
3269,2010,1,NA,Scatter,,125,0,0,0,1,28,28,1,
3269,2011,1,30,Marjorie,Passman,62730,1,1,1,0,30,30,1,
3269,2011,1,31,Ed,Hughes,60925,1,1,1,0,31,31,1,
3269,2011,1,NA,Scatter,,1702,0,0,0,1,31,31,1,
3269,2012,1,43,Nichelle,Nichols,14810,0,0,0,0,32,32,1,
3269,2012,1,19,Arlene,Silveira,27966,1,1,1,0,32,32,1,
3269,2012,1,44,Michael,Flores,17417,0,0,0,0,33,33,1,
3269,2012,1,45,Mary,Burke,26725,1,0,0,0,33,33,1,
3269,2012,1,NA,Scatter,,265,0,0,0,1,33,33,1,
