distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3276,2002,1,1,Kimberly,Roberts-Van Cuick,199,1,1,1,0,1,1,0,
3276,2002,1,2,Stephen,Bauer,247,1,1,1,0,2,2,0,
3276,2002,1,NA,Scatter,,5,0,0,0,1,2,2,0,
3276,2003,1,3,Mark,Schockley,443,1,1,1,0,3,3,0,
3276,2003,1,4,Carol,Diehl,411,1,1,1,0,4,4,0,
3276,2003,1,NA,Scatter,,2,0,0,0,1,4,4,0,
3276,2004,1,6,Kimberly,Roberts,271,1,0,0,0,5,5,0,
3276,2004,1,7,Helene,Pohl,285,1,0,0,0,6,6,0,
3276,2004,1,8,Dennis,Smith,291,1,1,1,0,7,7,0,
3276,2004,1,9,Randy,Steingraber,146,0,0,0,0,8,8,0,
3276,2004,1,10,Sara,Thomack,189,1,0,0,0,8,8,0,
3276,2004,1,11,Daniel,Nolan,108,0,1,1,0,9,9,1,
3276,2004,1,12,Peter,Griffin,231,1,0,0,0,9,9,1,
3276,2004,1,NA,Scatter,,1,0,0,0,1,9,9,1,
3276,2005,1,13,Paul,Kons,356,1,0,0,0,10,10,0,
3276,2005,1,7,Helene,Pohl,338,0,0,1,0,10,10,0,
3276,2005,1,14,Terry,Dean,359,1,0,0,0,11,11,0,
3276,2005,1,15,Amy,Anaya,325,0,0,0,0,11,11,0,
3276,2006,1,6,Kimberly,Roberts,185,1,1,1,0,12,12,0,
3276,2006,1,3,Mark,Schockley,204,1,1,1,0,13,13,0,
3276,2007,1,16,Todd,Welch,551,1,0,0,0,14,14,0,1 year term
3276,2007,1,17,Rick,Lowney,187,0,0,0,0,15,15,0,
3276,2007,1,8,Dennis,Smith,416,1,1,1,0,15,15,0,
3276,2007,1,10,Sara,Thomack,559,1,1,1,0,16,16,0,
3276,2007,1,12,Peter,Griffin,559,1,1,1,0,17,17,1,
3276,2007,1,NA,Scatter,,6,0,0,0,1,17,17,1,
3276,2008,2,14,Terry,Dean,239,0,1,1,0,18,18,0,
3276,2008,2,17,Rick,Lowney,240,1,0,1,0,18,18,0,
3276,2008,2,16,Todd,Welch,412,1,1,1,0,18,18,0,
3276,2008,2,NA,Scatter,,1,0,0,0,1,18,18,0,
3276,2008,1,16,Todd,Welch,686,1,1,1,0,19,19,0,
3276,2008,1,17,Rick,Lowney,367,0,0,1,0,19,19,0,
3276,2008,1,13,Paul,Kons,836,1,1,1,0,20,20,0,
3276,2008,1,NA,Scatter,,2,0,0,0,1,20,20,0,
3276,2009,1,11,Daniel,Nolan,808,1,0,1,0,21,21,0,
3276,2009,1,17,Rick,Lowney,594,0,0,1,0,21,21,0,
3276,2009,1,18,Kurt,Kreklow,1218,1,0,0,0,22,22,0,
3276,2009,1,NA,Scatter,,17,0,0,0,1,22,22,0,
3276,2010,1,19,Carl,Artz,197,1,0,0,0,23,23,0,
3276,2010,1,20,Corinne,Zielke,193,1,0,0,0,23,23,0,
3276,2010,1,21,Paul,Sturm,199,1,0,0,0,24,24,1,
3276,2010,1,NA,Scatter,,4,0,0,0,1,24,24,1,
3276,2011,1,22,David,Strebe,78,1,0,0,1,25,25,0,
3276,2011,1,17,Rick,Lowney,47,0,0,1,1,25,25,0,
3276,2011,1,23,Robert,Karski,493,1,0,0,0,26,26,0,
3276,2011,1,13,Paul,Kons,312,0,1,1,0,26,26,0,
3276,2011,1,NA,Scatter,,32,0,0,0,1,26,26,0,
3276,2012,1,24,Stephanie,Flynn,600,1,0,0,0,27,27,0,
3276,2012,1,18,Kurt,Kreklow,600,1,1,1,0,28,28,0,
3276,2012,1,NA,Scatter,,7,0,0,0,1,28,28,0,
