distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3290,2003,1,1,Michael,Herrity,2642,1,0,0,0,1,1,1,
3290,2003,1,2,Ronald,Kossik,2606,1,0,0,0,1,1,1,
3290,2003,1,3,David,Diedrich,2351,0,1,1,0,1,1,1,
3290,2003,1,4,Nan,Jagemann,2125,0,1,1,0,1,1,1,
3290,2003,1,NA,Scatter,,2,0,0,0,1,1,1,1,
3290,2004,1,5,Jim,Protsman,1987,1,1,1,0,2,2,1,
3290,2004,1,6,Janet,Galien,1980,1,0,0,0,2,2,1,
3290,2004,1,7,Chrystal,Bradley-Myer,1527,0,0,0,0,2,2,1,
3290,2004,1,8,Myles,Nelson,1325,0,1,1,0,2,2,1,
3290,2004,1,9,Jeanette,Miller,1052,0,1,1,0,2,2,1,
3290,2004,1,NA,Scatter,,13,0,0,0,0,2,2,1,
3290,2005,1,10,Judy,Carey,5059,1,1,1,0,3,3,1,
3290,2005,1,11,Lee,Braunel,4980,1,1,1,0,3,3,1,
3290,2005,1,12,Douglass,Jones,4502,0,0,0,0,3,3,1,
3290,2005,1,NA,Scatter,,15,0,0,0,1,3,3,1,
3290,2006,1,2,Ronald,Kossik,3783,1,1,1,0,4,4,1,
3290,2006,1,1,Michael,Herrity,4396,1,1,1,0,4,4,1,
3290,2006,1,NA,Scatter,,34,0,0,0,1,4,4,1,
3290,2007,1,5,Jim,Protsman,3032,1,1,1,0,5,5,1,
3290,2007,1,7,Chrystal,Myer,2923,1,1,1,0,5,5,1,
3290,2007,1,13,Bob,Jome,2907,1,0,0,0,5,5,1,
3290,2007,1,NA,Scatter,,30,0,0,0,1,5,5,1,
3290,2008,1,11,Lee,Braunel,3060,1,1,1,0,6,6,1,
3290,2008,1,10,Judy,Carey,2620,1,1,1,0,6,6,1,
3290,2008,1,14,Michael,Retzinger,2286,0,0,0,0,6,6,1,
3290,2008,1,NA,Scatter,,30,0,0,0,1,6,6,1,
3290,2009,1,1,Michael,Herrity,5325,1,1,1,0,7,7,1,
3290,2009,1,15,Tim,Neberg,5015,1,0,0,0,7,7,1,
3290,2009,1,2,Ronald,Kossik,4169,0,1,1,0,7,7,1,
3290,2009,1,NA,Scatter,,49,0,0,0,1,7,7,1,
3290,2010,1,16,JJ,Ploederl,4275,1,0,0,0,8,8,1,
3290,2010,1,5,Jim,Protsman,4035,1,1,1,0,8,8,1,
3290,2010,1,7,Chrystal,Myer,3970,1,1,1,0,8,8,1,
3290,2010,1,2,Ronald,Kossik,3267,0,0,1,0,8,8,1,
3290,2010,1,NA,Scatter,,35,0,0,0,1,8,8,1,
3290,2011,1,17,Karen,Rohrer,4249,1,0,0,0,9,9,1,
3290,2011,1,11,Lee,Braunel,3585,1,1,1,0,9,9,1,
3290,2011,1,10,Judy,Carey,3583,0,1,1,0,9,9,1,
3290,2011,1,18,Tom,Lalko,3325,0,0,0,0,9,9,1,
3290,2011,1,NA,Scatter,,51,0,0,0,1,9,9,1,
3290,2012,1,19,Linda,Gratz,3413,1,0,0,0,10,10,1,
3290,2012,1,20,Catherine,Shallue,2963,1,0,0,0,10,10,1,
3290,2012,1,1,Michael,Herrity,2712,0,1,1,0,10,10,1,
3290,2012,1,21,Brad,Miller,2473,0,0,0,0,10,10,1,
3290,2012,1,NA,Scatter,,45,0,0,0,1,10,10,1,
