distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3297,2002,1,1,Timothy,Follis,677,1,0,0,0,1,1,1,
3297,2002,1,2,Gail,Saari,589,1,1,1,0,1,1,1,
3297,2002,1,3,Richard,Lind,468,1,1,1,0,1,1,1,
3297,2002,1,4,Mary,Hallstein,262,0,0,0,0,1,1,1,
3297,2002,1,5,James,Anderson,445,0,0,0,0,1,1,1,
3297,2003,1,6,Nathan,Ziegel,487,0,0,0,0,2,2,1,
3297,2003,1,4,Mary,Hallstein,470,0,0,1,0,2,2,1,
3297,2003,1,7,James,Streveler,856,1,0,0,0,2,2,1,
3297,2003,1,8,Kathy,Taipale,1017,1,1,1,0,2,2,1,
3297,2004,1,9,Rick,Forsythe,544,1,0,0,0,3,3,1,
3297,2004,1,10,Gary,Kauther,315,0,0,0,0,3,3,1,
3297,2004,1,11,Evonne,Zosel,611,1,1,1,0,3,3,1,
3297,2004,1,12,Tom,Thom,614,1,0,0,0,3,3,1,
3297,2004,1,13,Jessie,Burhans,494,0,1,1,0,3,3,1,
3297,2005,1,2,Gail,Saari,823,1,1,1,0,4,4,1,
3297,2005,1,10,Gary,Kauther,293,0,0,1,0,4,4,1,
3297,2005,1,9,Rick,Forsythe,711,1,1,1,0,4,4,1,
3297,2005,1,13,Jessie,Burhans,567,0,0,1,0,4,4,1,
3297,2005,1,1,Timothy,Follis,905,1,1,1,0,4,4,1,
3297,2006,1,7,James,Streveler,545,1,1,1,0,5,5,1,
3297,2006,1,14,Kim,Pearson,437,0,0,0,0,5,5,1,
3297,2006,1,13,Jessie,Burhans,487,1,0,1,0,5,5,1,
3297,2007,1,15,Janis,Lepasti,561,0,0,0,0,6,6,1,
3297,2007,1,16,Ralph,Rounsville,519,0,0,0,0,6,6,1,
3297,2007,1,12,Tom,Thom,653,1,1,1,0,6,6,1,
3297,2007,1,11,Evonne,Zosel,598,1,1,1,0,6,6,1,
3297,2008,1,14,Kim,Pearson,604,0,0,1,0,7,7,1,
3297,2008,1,1,Timothy,Follis,767,1,1,1,0,7,7,1,
3297,2008,1,15,Brian,Lind,611,1,0,0,0,7,7,1,
3297,2008,1,2,Gail,Saari,743,1,1,1,0,7,7,1,
3297,2009,2,17,Leo,Naumann,171,0,0,0,0,8,8,1,
3297,2009,2,13,Jessie,Burhans,229,1,1,1,0,8,8,1,
3297,2009,2,14,Kim,Pearson,316,1,0,1,0,8,8,1,
3297,2009,2,18,David,Paulus,282,1,0,0,0,8,8,1,
3297,2009,2,7,James,Streveler,295,1,1,1,0,8,8,1,
3297,2009,1,14,Kim,Pearson,1010,1,0,1,0,9,9,1,
3297,2009,1,7,James,Streveler,858,0,1,1,0,9,9,1,
3297,2009,1,18,David,Paulus,893,1,0,0,0,9,9,1,
3297,2009,1,13,Jessie,Burhans,683,0,1,1,0,9,9,1,
3297,2010,1,9,Rick,Forsythe,454,1,0,1,0,10,10,1,
3297,2010,1,11,Evonne,Zosel,381,0,1,1,0,10,10,1,
3297,2010,1,19,Mike,Granlund,657,1,0,0,0,10,10,1,
3297,2011,1,7,James,Streveler,1088,1,0,1,0,11,11,1,
3297,2011,1,20,Joyce,Hood-Orlowski,722,0,0,0,0,11,11,1,
3297,2011,1,11,Evonne,Zosel,959,0,0,1,0,11,11,1,
3297,2011,1,2,Gail,Saari,1500,1,1,1,0,11,11,1,
3297,2011,1,15,Brian,Lind,1095,1,1,1,0,11,11,1,
3297,2012,1,20,Joyce,Hood-Orlowski,621,0,0,1,0,12,12,1,
3297,2012,1,18,David,Paulus,921,1,1,1,0,12,12,1,
3297,2012,1,14,Kim,Pearson,838,1,1,1,0,12,12,1,
