distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3332,2005,2,1,Eugene,Henning,149,1,1,1,0,1,1,1,
3332,2005,2,2,Annette,Kornell,198,1,1,1,0,1,1,1,
3332,2005,2,3,David,Traut,197,1,0,0,0,1,1,1,
3332,2005,2,4,Christine,Haefner,132,0,0,0,0,1,1,1,
3332,2005,2,5,Jeffrey,Ziegler,139,0,0,0,0,1,1,1,
3332,2005,2,6,Tim,Breuning,123,0,0,0,0,1,1,1,
3332,2005,2,7,Tammy,Eggers,121,0,0,0,0,1,1,1,
3332,2006,1,5,Jeffrey,Ziegler,571,1,0,1,0,2,2,1,
3332,2006,1,8,Lee,Weinstock,627,1,1,1,0,2,2,1,
3332,2006,1,NA,Scatter,Scatter,57,0,0,0,1,2,2,1,
3332,2007,1,9,Mary,Munson,567,1,1,1,0,3,3,1,
3332,2007,1,10,Steven,Madaus,227,0,0,0,0,3,3,1,
3332,2007,1,11,Chad,Lay,414,1,0,0,0,3,3,1,
3332,2007,1,NA,Scatter,Scatter,11,0,0,0,1,3,3,1,
3332,2008,1,12,Diana,Skalitzky,638,1,0,0,0,4,4,1,
3332,2008,1,1,Eugene,Henning,538,1,1,1,0,4,4,1,
3332,2008,1,13,Tammy,Grant,531,1,0,0,0,4,4,1,
3332,2008,1,10,Steven,Madaus,302,0,0,0,0,4,4,1,
3332,2008,1,NA,Scatter,Scatter,15,0,0,0,1,4,4,1,
3332,2009,1,14,Jennifer,Frank,617,1,0,0,0,5,5,1,
3332,2009,1,15,Greg,Peterson,472,0,0,0,0,5,5,1,
3332,2009,1,16,Amy,Kelsey,488,0,0,0,0,5,5,1,
3332,2009,1,17,Traci,Dutter,509,0,0,0,0,5,5,1,
3332,2009,1,8,Lee,Weinstock,621,1,1,1,0,5,5,1,
3332,2009,1,5,Jeff,Ziegler,693,1,1,1,0,5,5,1,
3332,2009,1,NA,Scatter,Scatter,5,0,0,0,1,5,5,1,
3332,2010,1,11,Chad,Lay,220,1,1,1,0,6,6,1,
3332,2010,1,9,Mary,Munson,280,1,1,1,0,6,6,1,
3332,2010,1,NA,Scatter,Scatter,10,0,0,0,1,6,6,1,
3332,2011,1,1,Eugene,Henning,517,0,1,1,0,7,7,1,
3332,2011,1,18,Bonnie,Clayton,732,1,0,0,0,7,7,1,
3332,2011,1,19,John,Lutz,838,1,0,0,0,7,7,1,
3332,2011,1,12,Diana,Skalitzky,680,0,1,1,0,7,7,1,
3332,2012,1,1,Eugene,Henning,461,0,1,1,0,8,8,1,
3332,2012,1,14,Jennifer,Frank,535,1,1,1,0,8,8,1,
3332,2012,1,5,Jeff,Ziegler,517,1,1,1,0,8,8,1,
3332,2012,1,NA,Scatter,Scatter,20,0,0,0,1,8,8,1,
