distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3339,2002,1,1,Frances,Bohon,4863,1,1,1,0,1,1,1,
3339,2002,1,2,Stephen,Schulte,5648,1,1,1,0,1,1,1,
3339,2002,1,NA,Scatter,,63,0,0,0,1,1,1,1,
3339,2003,1,3,Carol,Phillips,5878,1,1,1,0,2,2,1,
3339,2003,1,4,David,Meissner,5919,1,1,1,0,2,2,1,
3339,2003,1,5,Christine,Miller,1434,0,0,0,0,2,2,1,
3339,2003,1,6,John,Kruse,5761,1,0,0,0,2,2,1,
3339,2004,1,7,Sandra,Burr,2797,0,0,0,0,3,3,1,
3339,2004,1,8,Timothy,Deets,4661,1,0,0,0,3,3,1,
3339,2004,1,9,Harold,Dolan,3312,1,0,0,0,3,3,1,
3339,2004,1,5,Christine,Miller,780,0,0,1,0,3,3,1,
3339,2004,1,10,Graham,Olson,5317,1,0,0,0,3,3,1,
3339,2004,1,11,Amber,Kiggens-Leifheit,3250,0,0,0,0,3,3,1,
3339,2005,2,2,Stephen,Schulte,1034,1,1,1,0,4,4,1,
3339,2005,2,12,Dennis,Wessel,680,1,0,0,0,4,4,1,
3339,2005,2,13,Barbara,Martens,506,1,0,0,0,4,4,1,
3339,2005,2,1,Frances,Bohon,803,1,1,1,0,4,4,1,
3339,2005,2,5,Christine,Miller,133,0,0,1,0,4,4,1,
3339,2005,2,NA,Scatter,,8,0,0,0,1,4,4,1,
3339,2005,1,13,Barbara,Martens,3468,0,0,0,0,5,5,1,
3339,2005,1,1,Frances,Bohon,3846,1,0,0,0,5,5,1,
3339,2005,1,2,Stephen,Schulte,4922,1,1,1,0,5,5,1,
3339,2005,1,12,Dennis,Wessel,2837,0,0,0,0,5,5,1,
3339,2005,1,NA,Scatter,,43,0,0,0,1,5,5,1,
3339,2006,1,5,Christine,Miller,842,0,0,1,0,6,6,1,
3339,2006,1,9,Harold,Dolan,4266,1,1,1,0,6,6,1,
3339,2006,1,4,David,Meissner,4550,1,1,1,0,6,6,1,
3339,2006,1,3,Carol,Phillips,4582,1,1,1,0,6,6,1,
3339,2006,1,NA,Scatter,,37,0,0,0,1,6,6,1,
3339,2007,1,10,Graham,Olson,3629,1,1,1,0,7,7,1,
3339,2007,1,8,Timothy,Deets,3452,1,1,1,0,7,7,1,
3339,2007,1,5,Christine,Miller,542,0,0,1,0,7,7,1,
3339,2007,1,NA,Scatter,,23,0,0,0,1,7,7,1,
3339,2008,1,11,Amber,Kiggens-Leifheit,5828,1,0,1,0,8,8,1,
3339,2008,1,1,Frances,Bohon,5899,1,1,1,0,8,8,1,
3339,2008,1,5,Christine,Miller,1562,0,0,1,0,8,8,1,
3339,2008,1,NA,Scatter,,314,0,0,0,1,8,8,1,
3339,2009,2,14,Mark,Critelli,683,1,0,0,0,9,9,1,
3339,2009,2,15,Kevin,Kummer,592,0,0,0,0,9,9,1,
3339,2009,2,16,Randell,Kruger,597,1,0,0,0,9,9,1,
3339,2009,2,17,Barry,Wolfgram,792,1,0,0,0,9,9,1,
3339,2009,2,18,Brynne,Wahlstrom,236,0,0,0,0,9,9,1,
3339,2009,2,5,Christine,Miller,219,0,0,1,0,9,9,1,
3339,2009,2,19,Marlene,Stueland,1418,1,0,0,0,9,9,1,
3339,2009,2,20,Todd,Lieberman,420,0,0,0,0,9,9,1,
3339,2009,2,21,Chris,Jockheck,1086,1,0,0,0,9,9,1,
3339,2009,2,22,R Lyman,Smith,674,1,0,0,0,9,9,1,
3339,2009,2,NA,Scatter,,16,0,0,0,1,9,9,1,
3339,2009,1,17,Barry,Wolfgram,2252,0,0,0,0,10,10,1,
3339,2009,1,14,Mark,Critelli,2309,1,0,0,0,10,10,1,
3339,2009,1,22,R Lyman,Smith,1769,0,0,0,0,10,10,1,
3339,2009,1,19,Marlene,Stueland,3136,1,0,0,0,10,10,1,
3339,2009,1,21,Chris,Jockheck,1023,0,0,0,0,10,10,1,
3339,2009,1,16,Randell,Kruger,2382,1,0,0,0,10,10,1,
3339,2009,1,NA,Scatter,,73,0,0,0,1,10,10,1,
