distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3381,2002,1,1,,Hutchinson,309,1,1,1,0,1,1,1,
3381,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
3381,2003,1,2,Donald,Schutt,677,1,0,0,0,2,2,1,
3381,2003,1,3,,Morton,514,0,0,0,0,2,2,1,
3381,2003,1,4,Kathy,Siegmann,558,1,1,1,0,2,2,1,
3381,2003,1,5,,Pazak,343,0,0,0,0,2,2,1,
3381,2003,1,NA,Scatter,,9,0,0,0,1,2,2,1,
3381,2004,1,6,Arlyn,Halvorson,781,1,1,1,0,3,3,1,
3381,2004,1,7,James,Moesser,748,1,1,1,0,3,3,1,
3381,2004,1,NA,Scatter,,12,0,0,0,1,3,3,1,
3381,2005,1,8,,Allen,1155,1,0,0,0,4,4,1,
3381,2005,1,NA,Scatter,,10,0,0,0,1,4,4,1,
3381,2006,1,2,Donald,Schutt,918,1,1,1,0,5,5,1,
3381,2006,1,4,Kathy,Siegmann,953,1,1,1,0,5,5,1,
3381,2006,1,NA,Scatter,,14,0,0,0,1,5,5,1,
3381,2007,1,6,Arlyn,Halvorson,1306,1,1,1,0,6,6,1,
3381,2007,1,7,James,Moesser,1190,1,1,1,0,6,6,1,
3381,2007,1,NA,Scatter,,19,0,0,0,1,6,6,1,
3381,2008,1,8,,Allen,1117,1,1,1,0,7,7,1,
3381,2008,1,NA,Scatter,,14,0,0,0,1,7,7,1,
3381,2009,1,2,Donald,Schutt,1251,1,1,1,0,8,8,1,
3381,2009,1,4,Kathy,Siegmann,1278,1,1,1,0,8,8,1,
3381,2009,1,NA,Scatter,,12,0,0,0,1,8,8,1,
3381,2010,1,6,Arlyn,Halvorson,1128,1,1,1,0,9,9,1,
3381,2010,1,9,,Howery,559,1,0,0,0,9,9,1,
3381,2010,1,10,,Connor,232,0,0,0,0,9,9,1,
3381,2010,1,11,,Utter,38,0,0,0,1,9,9,1,
3381,2010,1,NA,Scatter,,42,0,0,0,1,9,9,1,
3381,2011,1,8,,Allen,2772,1,1,1,0,10,10,1,
3381,2011,1,NA,Scatter,,21,0,0,0,1,10,10,1,
3381,2012,1,12,,Perfetti,1683,1,0,0,0,11,11,1,
3381,2012,1,13,,Tierney,219,0,0,0,0,11,11,1,
3381,2012,1,1,,Hutchinson,249,0,0,1,0,11,11,1,
3381,2012,1,14,,Cheramy,324,1,0,0,0,11,11,1,
3381,2012,1,NA,Scatter,,52,0,0,0,1,11,11,1,
