distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3437,2002,1,1,Marie,Leekley,1006,1,1,1,0,1,1,1,
3437,2002,1,2,Brian,Blank,973,1,0,0,0,1,1,1,
3437,2003,1,3,David,Phillips,2446,0,0,0,0,2,2,1,
3437,2003,1,4,Kathleen,Shurilla,4101,1,1,1,0,2,2,1,
3437,2003,1,5,Anthony,Cherney,3932,1,1,1,0,2,2,1,
3437,2003,1,NA,Scatter,,4,0,0,0,1,2,2,1,
3437,2004,1,6,Linda,Kons,4109,1,1,1,0,3,3,1,
3437,2004,1,7,Jim,Newman,4092,1,1,1,0,3,3,1,
3437,2004,1,8,Anne,Weiland,4145,1,0,0,0,3,3,1,
3437,2004,1,9,Don,Eisenhauer,3656,0,0,0,0,3,3,1,
3437,2004,1,10,Don,McNamara,1557,0,0,0,0,3,3,1,
3437,2005,1,9,Don,Eisenhauer,3755,1,0,1,0,4,4,1,
3437,2005,1,11,Ted,Klumb,3367,1,0,0,0,4,4,1,
3437,2005,1,2,Brian,Blank,3024,0,1,1,0,4,4,1,
3437,2006,1,5,Anthony,Cherney,779,1,1,1,0,5,5,1,
3437,2006,1,4,Kathleen,Shurilla,785,1,1,1,0,5,5,1,
3437,2007,1,12,Faith,VanderHorst,3898,1,0,0,0,6,6,1,
3437,2007,1,13,Eliot,Cherney,3125,0,0,0,0,6,6,1,
3437,2007,1,7,Jim,Newman,4362,1,1,1,0,6,6,1,
3437,2007,1,8,Anne,Weiland,4366,1,1,1,0,6,6,1,
3437,2008,1,14,Mike,Dillhyon,2225,0,0,0,0,7,7,1,
3437,2008,1,15,Ronald,Bertieri,2447,1,0,0,0,7,7,1,
3437,2008,1,16,Gina,Palazzari,3344,1,0,0,0,7,7,1,
3437,2008,1,17,Blaise,Paul,2255,0,0,0,0,7,7,1,
3437,2009,1,4,Kathleen,Shurilla,3787,1,1,1,0,8,8,1,
3437,2009,1,18,David,Noshay,2602,1,0,0,0,8,8,1,
3437,2009,1,19,Anthony,Poth,1991,0,0,0,0,8,8,1,
3437,2010,1,12,Faith,VanderHorst,2448,1,1,1,0,9,9,1,
3437,2010,1,20,Lori,Blodorn,2436,1,0,0,0,9,9,1,
3437,2010,1,21,Scott,Ternes,1950,1,0,0,0,9,9,1,
3437,2010,1,22,Robert,Schneider,1947,0,0,0,0,9,9,1,
3437,2010,1,14,Mike,Dillhyon,1761,0,0,1,0,9,9,1,
3437,2011,1,16,Gina,Palazzari,4652,1,1,1,0,10,10,1,
3437,2011,1,15,Ronald,Bertieri,4865,1,1,1,0,10,10,1,
3437,2011,1,NA,Scatter,,100,0,0,0,1,10,10,1,
3437,2012,1,18,David,Noshay,2808,1,1,1,0,11,11,1,
3437,2012,1,26,Paul,Tadda,4040,1,0,0,0,11,11,1,
3437,2012,1,27,Michele,Divelbiss,2667,0,0,0,0,11,11,1,
3437,2012,1,28,R.L.,Houdek,2391,0,0,0,0,11,11,1,
3437,2012,1,NA,Scatter,,34,0,0,0,1,11,11,1,
