distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3444,2002,1,1,Chris,Smith,1158,1,1,1,0,1,1,1,
3444,2002,1,2,Margaret,Breisch,1148,1,1,1,0,1,1,1,
3444,2002,1,3,Bill,Rieger,888,1,0,0,0,1,1,1,
3444,2002,1,4,Ron,Mikesell,844,0,0,0,0,1,1,1,
3444,2003,1,5,Joseph,Valley,897,0,0,0,0,2,2,1,
3444,2003,1,6,Earl,Wildenberg,1495,1,1,1,0,2,2,1,
3444,2003,1,7,Dick,Best,1227,1,1,1,0,2,2,1,
3444,2003,1,8,Mary,Thatcher,1748,1,0,0,0,2,2,1,
3444,2003,1,NA,Scatter,,14,0,0,0,1,2,2,1,
3444,2004,1,9,Georger,Smeaton,991,1,1,1,0,3,3,1,
3444,2004,1,10,Irv,Peterson,425,1,0,0,0,3,3,1,
3444,2004,1,11,Kimberly,Edwards,176,0,0,0,0,3,3,1,
3444,2004,1,12,Albert,Brockelman,234,0,0,0,0,3,3,1,
3444,2004,1,13,Bud,Karis,423,1,0,0,0,3,3,1,
3444,2004,1,14,Greg,Lapean,341,0,1,1,0,3,3,1,
3444,2004,1,15,Gary,Peterson,393,0,0,0,0,3,3,1,
3444,2004,1,16,Kristin,Korpela,325,0,0,0,0,3,3,1,
3444,2004,1,NA,Scatter,,24,0,0,0,1,3,3,1,
3444,2005,2,17,Tammy,Schneider,183,1,0,0,0,4,4,1,
3444,2005,2,18,Nathan,McNaughton,177,0,0,0,0,4,4,1,
3444,2005,2,19,Michael,Cady,303,1,0,0,0,4,4,1,
3444,2005,2,2,Margaret,Breisch,370,1,1,1,0,4,4,1,
3444,2005,2,1,Chris,Smith,397,1,1,1,0,4,4,1,
3444,2005,2,3,Bill,Rieger,262,1,1,1,0,4,4,1,
3444,2005,2,20,Tom,Jorgensen,264,1,0,0,0,4,4,1,
3444,2005,2,21,Judith,Hayducsko,157,0,0,0,0,4,4,1,
3444,2005,2,NA,Scatter,,1,0,0,0,1,4,4,1,
3444,2005,1,17,Tammy,Schneider,1063,1,0,0,0,5,5,1,
