distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3500,2002,1,1,Curt,Eckes,3181,1,1,1,0,1,1,1,
3500,2002,1,2,Brenda,Mamer,2810,1,0,0,0,1,1,1,
3500,2002,1,3,Kari,Koehler,2625,1,0,0,0,1,1,1,
3500,2002,1,4,Renea,Frederick,2584,0,0,0,0,1,1,1,
3500,2002,1,NA,Scatter,,202,0,0,0,1,1,1,1,
3500,2003,1,5,Jeff,Peterson,1619,0,1,1,0,2,2,1,
3500,2003,1,6,Patricia,Burg,1623,1,1,1,0,2,2,1,
3500,2003,1,7,Collin,Niemeyer,1907,1,0,0,0,2,2,1,
3500,2003,1,8,Fred,Gruetzmacher,1018,0,0,0,0,2,2,1,
3500,2003,1,9,Jon,Krohn,2272,1,0,0,0,2,2,1,
3500,2003,1,10,Kent,Reinhardt,1514,0,0,0,0,2,2,1,
3500,2003,1,NA,Scatter,,15,0,0,0,1,2,2,1,
3500,2004,1,11,Thomas,Mueller,2705,1,1,1,0,3,3,1,
3500,2004,1,12,Ann,Verdoorn,2377,1,0,0,0,3,3,1,
3500,2004,1,13,Louise,Schotz,2823,1,1,1,0,3,3,1,
3500,2004,1,NA,Scatter,,61,0,0,0,1,3,3,1,
3500,2005,1,3,Kari,Koehler,1499,1,1,1,0,4,4,1,
3500,2005,1,14,Rose,Voigt,970,0,0,0,0,4,4,1,
3500,2005,1,1,Curt,Eckes,1573,1,1,1,0,4,4,1,
3500,2005,1,2,Brenda,Mamer,1436,1,1,1,0,4,4,1,
3500,2005,1,15,Timothy,Olstad,1130,0,0,0,0,4,4,1,
3500,2005,1,NA,Scatter,,15,0,0,0,1,4,4,1,
3500,2006,1,16,Andrew,Swanson,1703,0,0,0,0,5,5,1,
3500,2006,1,9,Jon,Krohn,1532,0,1,1,0,5,5,1,
3500,2006,1,17,Jerry,King,1244,0,0,0,0,5,5,1,
3500,2006,1,6,Patricia,Burg,1714,1,1,1,0,5,5,1,
3500,2006,1,4,Renea,Frederick,1745,1,0,1,0,5,5,1,
3500,2006,1,18,Angel,Catlin,1748,1,0,0,0,5,5,1,
3500,2006,1,NA,Scatter,,27,0,0,0,1,5,5,1,
3500,2007,1,11,Thomas,Mueller,1168,0,1,1,0,6,6,1,
3500,2007,1,19,Meredith,Prebeg,1554,1,0,0,0,6,6,1,
3500,2007,1,20,Peter,Schrandt,500,0,0,0,0,6,6,1,
3500,2007,1,13,Louise,Schotz,1233,0,1,1,0,6,6,1,
3500,2007,1,21,Chuck,Bolder,2287,1,0,0,0,6,6,1,
3500,2007,1,22,Teresa,Heinzen,1399,1,0,0,0,6,6,1,
3500,2007,1,NA,Scatter,,1,0,0,0,1,6,6,1,
3500,2008,1,23,Russell,Grefe,1696,0,0,0,0,7,7,1,
3500,2008,1,24,Keith,Schmelling,2638,1,0,0,0,7,7,1,
3500,2008,1,2,Brenda,Mamer,1301,0,1,1,0,7,7,1,
3500,2008,1,25,Kraig,Jaeger,2445,1,0,0,0,7,7,1,
3500,2008,1,26,Jeff,Verdoorn,2600,1,0,0,0,7,7,1,
