distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3549,2002,1,1,David,Houck,1180,1,0,0,0,1,1,0,
3549,2002,1,2,,Kane,873,1,1,1,0,2,2,0,
3549,2002,1,3,Cynthia,Morehouse,931,1,1,1,0,3,3,0,
3549,2002,1,NA,Scatter,,39,0,0,0,1,3,3,0,
3549,2003,1,4,Timothy,Statz,3100,1,1,1,0,4,4,0,
3549,2003,1,5,,Uselman,1575,0,0,0,0,4,4,0,
3549,2003,1,6,Laura,Crow,3754,1,1,1,0,5,5,0,
3549,2003,1,7,Felix,Richgels,2576,1,1,1,0,6,6,0,
3549,2003,1,8,,Schroeder,2334,0,0,0,0,6,6,0,
3549,2003,1,NA,Scatter,,68,0,0,0,1,6,6,0,
3549,2004,1,9,Ronald,Koci,1222,1,0,0,0,8,8,0,
3549,2004,1,10,,Neider,1083,0,0,0,0,8,8,0,
3549,2004,1,11,Bob,Green,1915,1,0,0,0,9,9,0,
3549,2004,1,12,,Jarosz,667,0,0,0,0,10,10,0,
3549,2004,1,13,Diane,Hornung,1728,1,1,1,0,10,10,0,
3549,2004,1,14,Ellen,Lindgren,1923,1,1,1,0,10,10,0,
3549,2004,1,NA,Scatter,,63,0,0,0,1,11,11,0,
3549,2005,1,11,Bob,Green,2812,1,1,1,0,12,12,0,
3549,2005,1,15,Thomas,Engle,1643,1,0,0,0,13,13,0,
3549,2005,1,16,Diane,Hesselbein,1623,0,0,0,0,13,13,0,
3549,2005,1,17,,Larson,1285,0,0,0,0,13,13,0,
3549,2005,1,NA,Scatter,,33,0,0,0,1,14,14,0,
3549,2006,1,4,Timothy,Statz,2173,1,1,1,0,15,15,0,
3549,2006,1,18,,Beeman,34,1,0,0,1,16,16,0,
3549,2006,1,19,Roger,Ervin,1993,1,0,0,0,17,17,0,
3549,2006,1,NA,Scatter,,167,0,0,0,1,17,17,0,
3549,2007,1,9,Ronald,Koci,3728,1,1,1,0,18,18,0,
3549,2007,1,13,Diane,Hornung,3746,1,1,1,0,19,19,0,
3549,2007,1,14,Ellen,Lindgren,3713,1,1,1,0,20,20,0,
3549,2007,1,NA,Scatter,,86,0,0,0,1,20,20,0,
3549,2008,1,11,Bob,Green,4241,1,1,1,0,21,21,0,
3549,2008,1,20,Grace,Okoli,3167,1,0,0,0,22,22,0,
3549,2008,1,15,Thomas,Engle,3466,1,1,1,0,22,22,0,
3549,2008,1,21,,Hurd,3276,1,0,0,0,22,22,0,
3549,2008,1,22,Stuart,Rossmiller,3864,1,0,0,0,23,23,0,
3549,2008,1,NA,Scatter,,71,0,0,0,1,23,23,0,
3549,2009,1,4,Timothy,Statz,7146,1,1,1,0,24,24,0,
3549,2009,1,23,Leanne,Hallquist,6758,1,0,0,0,25,25,0,
3549,2009,1,22,Stuart,Rossmiller,6703,1,1,1,0,26,26,0,
3549,2009,1,NA,Scatter,,114,0,0,0,1,26,26,0,
3549,2010,1,24,Jim,Greer,2767,1,0,0,0,27,27,0,
3549,2010,1,13,Diane,Hornung,2332,1,1,1,0,28,28,0,
3549,2010,1,25,,Zietz,1193,0,0,0,0,28,28,0,
3549,2010,1,14,Ellen,Lindgren,2819,1,1,1,0,29,29,0,
3549,2010,1,NA,Scatter,,64,0,0,0,1,29,29,0,
3549,2011,1,11,Bob,Green,8685,1,1,1,0,30,30,0,
3549,2011,1,26,Annette,Ashley,6064,1,0,0,0,30,30,0,
3549,2011,1,16,Diane,Hesselbein,5391,1,0,1,0,30,30,0,
3549,2011,1,NA,Scatter,,315,0,0,0,1,30,30,0,
3549,2012,1,27,,Metzger,4185,1,0,0,0,31,31,0,
3549,2012,1,23,Leanne,Hallquist,4151,1,1,1,0,31,31,0,
3549,2012,1,28,,Bauer,3271,1,0,0,0,32,32,0,
3549,2012,1,29,,Sinclair,1887,0,0,0,0,32,32,0,
3549,2012,1,NA,Scatter,,118,0,0,0,1,32,32,0,
