distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3633,2000,1,1,Dean,Keyes,376,1,1,1,0,1,1,1,
3633,2000,1,2,Nancy,Graber,399,1,1,1,0,1,1,1,
3633,2000,1,3,Eric,James,393,1,1,1,0,1,1,1,
3633,2000,1,NA,Scatter,,21,0,0,0,1,1,1,1,
3633,2001,1,4,Laurie,Kromm,286,1,1,1,0,2,2,1,
3633,2001,1,5,John,Esch,303,1,1,1,0,2,2,1,
3633,2001,1,NA,Scatter,,16,0,0,0,1,2,2,1,
3633,2002,1,6,Richard,Austin,475,1,1,1,0,3,3,1,
3633,2002,1,7,Yvonne,Danhauser,63,0,0,0,1,3,3,1,
3633,2002,1,8,Brett,Schmitz,267,1,0,0,0,3,3,1,
3633,2002,1,NA,Scatter,,32,0,0,0,1,3,3,1,
3633,2003,2,9,J,Bennett,171,1,0,0,0,4,4,1,
3633,2003,2,10,Marvin,Hanson,346,1,0,0,0,4,4,1,
3633,2003,2,7,Yvonne,Danhauser,88,0,0,1,1,4,4,1,
3633,2003,2,11,Danny,Clark,199,1,0,0,0,4,4,1,
3633,2003,2,12,Bob,Mitchell,213,1,0,0,0,4,4,1,
3633,2003,2,13,P,Bennett,119,1,0,0,0,4,4,1,
3633,2003,2,14,M,Keyes,119,0,0,0,0,4,4,1,
3633,2003,2,15,E,Carlough,130,1,0,0,0,4,4,1,
3633,2003,2,16,S,Brunett,60,0,0,0,1,4,4,1,
3633,2003,2,NA,Scatter,,1,0,0,0,1,4,4,1,
3633,2003,1,11,Danny,Clark,402,1,0,0,0,5,5,1,
3633,2003,1,9,J,Bennett,317,0,0,0,0,5,5,1,
3633,2003,1,15,E,Carlough,348,0,0,0,0,5,5,1,
3633,2003,1,10,Marvin,Hanson,541,1,0,0,0,5,5,1,
3633,2003,1,12,Bob,Mitchell,440,1,0,0,0,5,5,1,
3633,2003,1,17,P,Bennett,301,0,0,0,0,5,5,1,
3633,2003,1,NA,Scatter,,1,0,0,0,1,5,5,1,
3633,2004,1,4,Laurie,Kromm,222,1,1,1,0,6,6,1,
3633,2004,1,5,John,Esch,268,1,1,1,0,6,6,1,
3633,2004,1,NA,Scatter,,11,0,0,0,1,6,6,1,
3633,2005,1,6,Richard,Austin,274,0,1,1,0,7,7,1,
3633,2005,1,18,Jeff,Basting,288,1,0,0,0,7,7,1,
3633,2005,1,8,Bob,Schmitz,368,1,1,1,0,7,7,1,
3633,2005,1,NA,Scatter,,2,0,0,0,1,7,7,1,
3633,2006,1,10,Marvin,Hanson,506,1,1,1,0,8,8,1,
3633,2006,1,12,Bob,Mitchell,493,1,1,1,0,8,8,1,
3633,2006,1,19,Deb,Mester,312,0,0,0,0,8,8,1,
3633,2006,1,6,Richard,Austin,469,1,0,1,0,8,8,1,
3633,2006,1,11,Danny,Clark,462,0,1,1,0,8,8,1,
3633,2007,1,11,Danny,Clark,402,1,0,1,0,9,9,1,
3633,2007,1,4,Laurie,Kromm,338,1,1,1,0,9,9,1,
3633,2007,1,20,Amanda,Heisner,151,0,0,0,0,9,9,1,
3633,2007,1,2,Nancy,Graber,249,0,0,1,0,9,9,1,
3633,2008,1,21,Maureen,Grimm,460,1,0,0,0,10,10,1,
3633,2008,1,18,Jeff,Basting,414,1,1,1,0,10,10,1,
3633,2008,1,22,Kurt,Qualley,182,0,0,0,0,10,10,1,
3633,2008,1,23,Bob,Oberhauser,273,0,0,0,0,10,10,1,
3633,2008,1,NA,Scatter,,2,0,0,0,1,10,10,1,
3633,2009,1,12,Bob,Mitchell,854,1,1,1,0,11,11,1,
3633,2009,1,24,,Ollerich,707,0,0,0,0,11,11,1,
3633,2009,1,23,Bob,Oberhauser,812,1,1,1,0,11,11,1,
3633,2009,1,6,Richard,Austin,768,1,1,1,0,11,11,1,
3633,2009,1,10,Marvin,Hanson,418,0,1,1,0,11,11,1,
3633,2009,1,25,,Engelke,247,0,0,0,0,11,11,1,
3633,2009,1,NA,Scatter,,2,0,0,0,1,11,11,1,
3633,2011,1,21,Maureen,Grimm,877,1,1,1,0,12,12,1,
3633,2011,1,26,Lisa,Hay,793,1,0,0,0,12,12,1,
3633,2011,1,NA,Scatter,,15,0,0,0,1,12,12,1,
3633,2012,1,6,Richard,Austin,1050,1,1,1,0,13,13,1,
3633,2012,1,23,Bob,Oberhauser,1071,1,1,1,0,13,13,1,
3633,2012,1,27,Julie,Stephenson,1214,1,0,0,0,13,13,1,
3633,2012,1,NA,Scatter,,19,0,0,0,1,13,13,1,
