distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3640,2003,1,1,Billy,Fried,858,1,0,0,0,1,1,1,
3640,2003,1,2,Dennis,Bulinski,737,0,1,1,0,1,1,1,
3640,2004,1,3,Cynthia,Weborb,630,1,1,1,0,2,2,1,
3640,2004,1,4,Laura,Ahonen,568,1,0,0,0,2,2,1,
3640,2005,1,5,Mary,Whitman,908,1,1,1,0,3,3,1,
3640,2005,1,6,Kent,Peterson,1116,1,0,0,0,3,3,1,
3640,2006,1,1,Billy,Fried,720,1,1,1,0,4,4,1,
3640,2007,1,3,Cynthia,Weborb,997,1,1,1,0,5,5,1,
3640,2007,1,4,Laura,Ahonen,878,1,1,1,0,5,5,1,
3640,2008,1,6,Kent,Peterson,859,1,1,1,0,6,6,1,
3640,2008,1,5,Mary,Whitman,761,1,1,1,0,6,6,1,
3640,2009,1,1,Billy,Fried,1058,1,1,1,0,7,7,1,
3640,2010,1,7,Christine,Nemcek,395,1,0,0,0,8,8,1,
3640,2010,1,3,Cynthia,Weborb,285,1,1,1,0,8,8,1,
3640,2010,1,8,William,Hughes,246,0,0,0,0,8,8,1,
3640,2011,1,6,Kent,Peterson,1499,1,1,1,0,9,9,1,
3640,2011,1,5,Mary,Whitman,1314,1,1,1,0,9,9,1,
3640,2012,1,1,Billy,Fried,1381,1,1,1,0,10,10,1,
