distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3689,2003,2,1,Dave,Hunter,268,1,1,1,0,1,1,1,
3689,2003,2,2,Barbara,Weckwerth,157,0,0,0,0,1,1,1,
3689,2003,2,3,Don,Cacic,169,1,0,0,0,1,1,1,
3689,2003,2,4,Donna,Kupferschmidt,238,1,0,0,0,1,1,1,
3689,2003,2,5,Dennis,Schrimpf,251,1,1,1,0,1,1,1,
3689,2003,2,6,Scatter,Scatter,11,0,0,0,1,1,1,1,
3689,2003,1,4,Donna,Kupferschmidt,487,0,0,1,0,2,2,1,
3689,2003,1,1,Dave,Hunter,718,1,1,1,0,2,2,1,
3689,2003,1,5,Dennis,Schrimpf,507,1,1,1,0,2,2,1,
3689,2003,1,3,Don,Cacic,285,0,0,1,0,2,2,1,
3689,2003,1,NA,Scatter,Scatter,25,0,0,0,1,2,2,1,
3689,2004,1,7,Maureen,Krivanek,492,1,0,0,0,3,3,1,
3689,2004,1,8,Jon,Sheller,456,1,1,1,0,3,3,1,
3689,2004,1,9,Chase,Wright,125,0,0,0,0,3,3,1,
3689,2004,1,NA,Scatter,Scatter,63,0,0,0,1,3,3,1,
3689,2005,1,10,Debbie,Daniels,551,1,1,1,0,4,4,1,
3689,2005,1,11,Mike,Lardy,476,1,0,0,0,4,4,1,
3689,2005,1,12,Jack,Yates,515,1,1,1,0,4,4,1,
3689,2005,1,NA,Scatter,Scatter,22,0,0,0,1,4,4,1,
3689,2006,1,5,Dennis,Schrimpf,468,1,1,1,0,5,5,1,
3689,2006,1,13,Brent,Miller,368,0,0,0,0,5,5,1,
3689,2006,1,1,Dave,Hunter,505,1,1,1,0,5,5,1,
3689,2006,1,NA,Scatter,Scatter,14,0,0,0,1,5,5,1,
3689,2007,1,7,Maureen,Krivanek,499,1,1,1,0,6,6,1,
3689,2007,1,14,Andy,Zellmer,548,1,0,0,0,6,6,1,
3689,2007,1,8,Jon,Sheller,411,0,1,1,0,6,6,1,
3689,2007,1,NA,Scatter,Scatter,6,0,0,0,1,6,6,1,
3689,2008,1,10,Debbie,Daniels,1167,1,1,1,0,7,7,1,
3689,2008,1,12,Jack,Yates,1001,1,1,1,0,7,7,1,
3689,2008,1,8,Jon,Sheller,978,1,0,1,0,7,7,1,
3689,2008,1,15,Wayne,Pivotto,475,0,0,0,0,7,7,1,
3689,2008,1,NA,Scatter,Scatter,47,0,0,0,1,7,7,1,
3689,2009,2,16,Alvin,Chmielewski,210,1,0,0,0,8,8,1,
3689,2009,2,5,Dennis,Schrimpf,181,1,1,1,0,8,8,1,
3689,2009,2,17,Lisa,Smith,176,1,0,0,0,8,8,1,
3689,2009,2,18,Paul,Treeck,46,0,0,0,1,8,8,1,
3689,2009,2,15,Wayne,Pivotto,289,1,0,1,0,8,8,1,
3689,2009,2,NA,Scatter,Scatter,2,0,0,0,1,8,8,1,
3689,2009,1,5,Dennis,Schrimpf,404,0,1,1,0,9,9,1,
3689,2009,1,17,Lisa,Smith,489,1,0,1,0,9,9,1,
3689,2009,1,15,Wayne,Pivotto,586,1,1,1,0,9,9,1,
3689,2009,1,16,Alvin,Chmielewski,360,0,1,1,0,9,9,1,
3689,2009,1,NA,Scatter,Scatter,9,0,0,0,1,9,9,1,
3689,2010,2,7,Maureen,Krivanek,272,1,1,1,0,10,10,1,
3689,2010,2,19,Dick,Dufour,314,1,0,0,0,10,10,1,
3689,2010,2,14,Andy,Zellmer,238,1,1,1,0,10,10,1,
3689,2010,2,20,John,Spalding,277,1,0,0,0,10,10,1,
3689,2010,2,16,Alvin,Chmielewski,251,1,0,1,0,10,10,1,
3689,2010,2,21,Kyle,Hunter,279,1,0,0,0,10,10,1,
3689,2010,2,5,Dennis,Schrimpf,214,0,0,1,0,10,10,1,
3689,2010,2,NA,Scatter,Scatter,4,0,0,0,1,10,10,1,
3689,2010,1,21,Kyle,Hunter,765,1,1,1,0,11,11,1,
3689,2010,1,20,John,Spalding,372,0,0,1,0,11,11,1,
3689,2010,1,7,Maureen,Krivanek,717,1,0,1,0,11,11,1,
3689,2010,1,16,Alvin,Chmielewski,358,0,0,1,0,11,11,1,
3689,2010,1,19,Dick,Dufour,388,0,1,1,0,11,11,1,
3689,2010,1,14,Andy,Zellmer,670,1,0,1,0,11,11,1,
3689,2010,1,NA,Scatter,Scatter,12,0,0,0,1,11,11,1,
3689,2011,1,10,Debbie,Daniels,1170,1,1,1,0,12,12,1,
3689,2011,1,22,Jody,Gajdosik,952,1,0,0,0,12,12,1,
3689,2011,1,20,John,Spalding,11,0,0,1,1,12,12,1,
3689,2011,1,19,Dick,Dufour,10,0,1,1,1,12,12,1,
3689,2011,1,1,Dave,Hunter,2,0,1,1,1,12,12,1,
3689,2011,1,12,Jack,Yates,1,0,1,1,1,12,12,1,
3689,2011,1,NA,Scatter,Scatter,17,0,0,0,1,12,12,1,
3689,2012,1,2,Barbara,Weckwerth,517,0,0,1,0,13,13,1,
3689,2012,1,8,Jon,Sheller,582,1,1,1,0,13,13,1,
3689,2012,1,17,Lisa,Smith,693,1,1,1,0,13,13,1,
3689,2012,1,23,Duane,Moseley,521,1,0,0,0,13,13,1,
3689,2012,1,NA,Scatter,Scatter,15,0,0,0,1,13,13,1,
