distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3696,2004,1,1,Randall,Smith,177,1,1,1,0,1,1,1,
3696,2004,1,2,Travis,Zimmerman,192,1,0,0,0,1,1,1,
3696,2004,1,3,Steven,Scanlon,151,0,0,0,0,1,1,1,
3696,2004,1,4,,Kubly,95,0,0,0,1,1,1,1,
3696,2004,1,NA,Scatter,,1,0,0,0,1,1,1,1,
3696,2005,1,5,Tim,Bruns,258,1,1,1,0,2,2,1,
3696,2005,1,6,Ken,Christen,250,1,1,1,0,2,2,1,
3696,2005,1,NA,Scatter,,1,0,0,0,1,2,2,1,
3696,2006,1,7,,Korup,157,0,0,0,0,3,3,1,
3696,2006,1,8,Julianna,Kinstler,209,1,0,0,0,3,3,1,
3696,2006,1,9,Larry,McGowan,233,1,0,0,0,3,3,1,
3696,2006,1,3,Steven,Scanlon,176,1,0,1,0,3,3,1,
3696,2007,1,2,Travis,Zimmerman,NA,1,1,1,0,34,4,1,no votes
3696,2007,1,1,Randall,Smith,NA,1,1,1,0,4,4,1,no votes
3696,2010,1,11,Julie,Havens,166,1,1,1,0,5,5,1,
3696,2010,1,12,Ronald,Blumer,168,1,1,1,0,5,5,1,
3696,2010,1,3,Steven,Scanlon,109,0,1,1,0,5,5,1,
3696,2010,1,9,Larry,McGowan,146,1,1,1,0,5,5,1,
3696,2010,1,13,Robert,Goehring,44,0,0,0,0,5,5,1,
3696,2011,1,14,Trina,Zanow,218,1,0,0,0,6,6,1,
3696,2011,1,5,Tim,Bruns,250,1,1,1,0,6,6,1,
3696,2011,1,NA,Scatter,,5,0,0,0,1,6,6,1,
3696,2012,1,15,Robert,Harvey,212,1,0,0,0,7,7,1,
3696,2012,1,11,Julie,Havens,282,1,1,1,0,7,7,1,
3696,2012,1,NA,Scatter,,9,0,0,0,1,7,7,1,
3696,2012,1,12,Ronald,Blumer,303,1,1,1,0,8,8,1,
3696,2013,1,16,Joyce,Hummel,345,1,0,0,0,9,9,1,
3696,2013,1,17,Judson,Lounsbury,194,0,0,0,0,9,9,1,
3696,2013,1,1,Randall,Smith,229,1,1,1,0,9,9,1,
3696,2013,1,NA,Scatter,,6,0,0,0,1,9,9,1,
