distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3794,2002,1,1,Roger,Ringgenberg,1235,1,1,1,0,1,1,0,
3794,2002,1,2,Terry,Chappell,1206,1,1,1,0,1,2,0,
3794,2002,1,NA,Scatter,,89,0,0,0,1,1,2,0,
3794,2003,1,3,Scott,Winner,1335,1,0,0,0,2,3,1,
3794,2003,1,4,E. Rackley,Ivey,420,0,0,0,0,2,3,1,
3794,2003,1,5,Brian,Haroldson,254,0,0,0,0,2,3,1,
3794,2003,1,6,John,Widdicombe,661,0,0,0,0,2,4,1,
3794,2003,1,7,Dwight,Zweitel,1309,1,0,0,0,2,4,1,
3794,2003,1,NA,Scatter,,39,0,0,0,1,2,4,1,
3794,2004,1,8,Susan,Brice,1210,1,1,1,0,3,5,1,
3794,2004,1,9,Jeff,Hanna,849,1,1,1,0,3,6,1,
3794,2004,1,10,Aaron,Rittenhouse,590,0,0,0,0,3,6,1,
3794,2004,1,11,Kyle,Wahlgren,474,0,0,0,0,3,7,1,
3794,2004,1,5,Brian,Haroldson,931,1,0,1,0,3,7,1,
3794,2004,1,NA,Scatter,,22,0,0,0,1,3,7,1,
3794,2005,1,10,Aaron,Rittenhouse,1352,1,0,1,0,4,8,1,
3794,2005,1,12,Christopher,Rosborough,606,0,0,0,0,4,9,1,
3794,2005,1,6,John,Widdicombe,803,1,0,1,0,4,9,1,
3794,2005,1,NA,Scatter,,10,0,0,0,1,4,9,1,
3794,2006,1,3,Scott,Winner,1739,1,1,1,0,5,10,1,
3794,2006,1,7,Dwight,Zweitel,1206,1,1,1,0,5,11,1,
3794,2006,1,13,Ken,Erfourth,755,0,0,0,0,5,11,1,
3794,2006,1,NA,Scatter,,22,0,0,0,1,5,11,1,
3794,2007,1,8,Susan,Brice,1518,1,1,1,0,6,12,1,
3794,2007,1,9,Jeff,Hanna,1060,1,1,1,0,6,13,1,
3794,2007,1,13,Ken,Erfourth,673,0,0,1,0,6,13,1,
3794,2007,1,14,Ken,Cole,891,1,0,0,0,6,14,1,
3794,2007,1,15,Greg,Standal,686,0,0,0,0,6,14,1,
3794,2007,1,NA,Scatter,,17,0,0,0,1,6,14,1,
3794,2008,1,16,Jeff,Jenkins,1841,1,0,0,0,7,15,1,
3794,2008,1,17,Jim,Sauter,1826,1,0,0,0,7,16,1,
3794,2008,1,NA,Scatter,,33,0,0,0,1,7,16,1,
3794,2009,1,3,Scott,Winner,1152,0,1,1,0,8,17,1,
3794,2009,1,18,Keith,Bakken,1907,1,0,0,0,8,17,1,
3794,2009,1,19,John,Kuse,865,0,0,0,0,8,18,1,
3794,2009,1,20,Dan,Ketterer,1951,1,0,0,0,8,18,1,
3794,2009,1,NA,Scatter,,7,0,0,0,1,8,18,1,
3794,2011,1,17,Jim,Sauter,1568,0,1,1,0,9,19,1,
3794,2011,1,21,Peter,Strube,2006,1,0,0,0,9,19,1,
3794,2011,1,22,Mary,Anderson,2402,1,0,0,0,9,19,1,
3794,2011,1,23,Jack,Mlsna,1599,0,0,0,0,9,19,1,
3794,2011,1,NA,Scatter,,15,0,0,0,1,9,19,1,
3794,2012,1,18,Keith,Bakken,1696,1,1,1,0,10,20,1,
3794,2012,1,20,Dan,Ketterer,1720,1,1,1,0,10,20,1,
3794,2012,1,19,John,Kuse,1422,1,0,1,0,10,20,1,
3794,2012,1,24,Leah,Lipska,1344,0,0,0,0,10,20,1,
3794,2012,1,NA,Scatter,,19,0,0,0,1,10,20,1,
