distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3857,2002,2,1,Patricia,Gemoll,1296,1,1,1,0,1,1,1,
3857,2002,2,2,James,Schaefer,1656,1,0,0,0,1,1,1,
3857,2002,2,3,Kathleen,Anderson,1702,1,1,1,0,1,1,1,
3857,2002,2,4,,Brownell,1071,1,0,0,0,1,1,1,
3857,2002,2,5,,Belot,968,0,0,0,0,1,1,1,
3857,2002,2,NA,Scatter,,17,0,0,0,1,1,1,1,
3857,2002,1,4,,Brownell,2473,1,0,0,0,2,2,1,
3857,2002,1,3,Kathleen,Anderson,2712,1,1,1,0,2,2,1,
3857,2002,1,2,James,Schaefer,2862,1,0,0,0,2,2,1,
3857,2002,1,1,Patricia,Gemoll,2229,0,1,1,0,2,2,1,
3857,2002,1,NA,Scatter,,11,0,0,0,1,2,2,1,
3857,2003,1,6,Mark,Waltz,1784,1,1,1,0,3,3,1,
3857,2003,1,7,,Kinnick,2021,1,0,0,0,3,3,1,
3857,2003,1,8,,Foglia,1244,0,0,0,0,3,3,1,
3857,2003,1,9,Ray,Schrank,1861,1,1,1,0,3,3,1,
3857,2003,1,NA,Scatter,,33,0,0,0,1,3,3,1,
3857,2004,1,10,Paul,Oman,1202,0,1,1,0,4,4,1,
3857,2004,1,11,Richard,Petfaiski,1969,1,0,0,0,4,4,1,
3857,2004,1,12,Lisa,Voisin,1961,1,0,0,0,4,4,1,
3857,2004,1,13,Charles,Damaske,1186,0,1,1,0,4,4,1,
3857,2004,1,NA,Scatter,,17,0,0,0,1,4,4,1,
3857,2005,1,3,Kathleen,Anderson,2281,1,1,1,0,5,5,1,
3857,2005,1,10,Paul,Oman,2285,1,0,1,0,5,5,1,
3857,2005,1,2,James,Schaefer,2844,1,1,1,0,5,5,1,
3857,2005,1,NA,Scatter,,23,0,0,0,1,5,5,1,
3857,2006,1,6,Mark,Waltz,1527,1,1,1,0,6,6,1,
3857,2006,1,14,Lisa,Warwick,1894,1,0,0,0,6,6,1,
3857,2006,1,15,,Demien,1437,0,0,0,0,6,6,1,
3857,2006,1,16,Eric,Schroeder,1864,1,0,0,0,6,6,1,
3857,2006,1,NA,Scatter,,33,0,0,0,1,6,6,1,
3857,2007,1,17,Brett,Hyde,2223,1,0,0,0,7,7,1,
3857,2007,1,11,Richard,Petfaiski,2725,1,1,1,0,7,7,1,
3857,2007,1,NA,Scatter,,42,0,0,0,1,7,7,1,
3857,2008,1,2,James,Schaefer,4499,1,1,1,0,8,8,1,
3857,2008,1,18,Dean,Strom,3111,1,0,0,0,8,8,1,
3857,2008,1,NA,Scatter,,48,0,0,0,1,8,8,1,
3857,2009,1,19,,Schwager,1547,0,0,0,0,9,9,1,
3857,2009,1,14,Lisa,Warwick,1703,1,1,1,0,9,9,1,
3857,2009,1,20,Michael,Serdynski,1602,1,0,0,0,9,9,1,
3857,2009,1,16,Eric,Schroeder,2250,1,1,1,0,9,9,1,
3857,2009,1,21,,Robertson,1157,0,0,0,0,9,9,1,
3857,2009,1,NA,Scatter,,44,0,0,0,1,9,9,1,
3857,2010,1,11,Richard,Petfaiski,1931,1,1,1,0,10,10,1,
3857,2010,1,22,,Scholz,1156,0,0,0,0,10,10,1,
3857,2010,1,17,Brett,Hyde,1539,1,1,1,0,10,10,1,
3857,2010,1,NA,Scatter,,25,0,0,0,1,10,10,1,
3857,2011,1,23,,Kleist,2096,0,0,0,0,11,11,1,
3857,2011,1,18,Dean,Strom,3840,1,1,1,0,11,11,1,
3857,2011,1,2,James,Schaefer,5445,1,1,1,0,11,11,1,
3857,2011,1,NA,Scatter,,76,0,0,0,1,11,11,1,
3857,2012,1,20,Michael,Serdynski,3713,0,1,1,0,12,12,1,
3857,2012,1,14,Lisa,Warwick,3727,1,1,1,0,12,12,1,
3857,2012,1,16,Eric,Schroeder,4148,1,1,1,0,12,12,1,
3857,2012,1,NA,Scatter,,109,0,0,0,1,12,12,1,
