distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3871,2002,1,1,Gilbert,Saylor,253,1,1,1,0,1,1,1,
3871,2002,1,2,Daniel,Swinehart,243,1,1,1,0,1,1,1,
3871,2004,1,3,Kenneth,Hornburg,351,1,0,0,0,2,2,1,
3871,2004,1,4,William,Hatch,336,0,0,0,0,2,2,1,
3871,2004,1,5,Michael,Horak,378,1,1,1,0,2,2,1,
3871,2004,1,6,Don,Williams,228,0,0,0,0,2,2,1,
3871,2005,2,4,William,Hatch,177,1,0,1,0,3,3,1,
3871,2005,2,7,Andrea,Parrish,74,0,0,0,1,3,3,1,
3871,2005,2,8,James,Guilbault,158,1,1,1,0,3,3,1,
3871,2005,2,9,Kristopher,Bergh,135,1,0,0,0,3,3,1,
3871,2005,2,10,Daniel,Swinehart,92,0,1,1,1,3,3,1,
3871,2005,2,6,Don,Williams,34,0,0,1,1,3,3,1,
3871,2005,2,11,Daren,Plantz,111,1,0,0,0,3,3,1,
3871,2005,1,11,Daren,Plantz,409,0,0,0,0,4,4,1,
3871,2005,1,8,James,Guilbault,418,1,1,1,0,4,4,1,
3871,2005,1,9,Kristopher,Bergh,365,0,0,0,0,4,4,1,
3871,2005,1,4,William,Hatch,498,1,0,1,0,4,4,1,
3871,2006,1,12,Daniel,Dutscheck,500,1,0,0,0,5,5,1,No votes available
3871,2007,1,5,Michael,Horak,576,1,1,1,0,6,6,1,
3871,2007,1,3,Kenneth,Hornburg,537,1,1,1,0,6,6,1,
3871,2007,1,NA,Scatter,,7,0,0,0,1,6,6,1,
3871,2008,1,4,William,Hatch,521,1,1,1,0,7,7,1,
3871,2008,1,13,Paul,Tadda,361,1,0,0,0,7,7,1,
3871,2008,1,9,Kristopher,Bergh,35,0,1,1,1,7,7,1,
3871,2008,1,2,Daniel,Swinehart,84,0,0,1,1,7,7,1,
3871,2008,1,14,Wade,Parker,15,0,0,0,1,7,7,1,
3871,2008,1,NA,Scatter,,3,0,0,0,1,7,7,1,
3871,2009,1,12,Daniel,Dutscheck,720,1,1,1,0,8,8,1,
3871,2010,1,5,Michael,Horak,275,1,1,1,0,9,9,1,
3871,2010,1,3,Kenneth,Hornburg,172,0,1,1,0,9,9,1,
3871,2010,1,15,Steve,Gillespie,199,1,0,0,0,9,9,1,
3871,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
3871,2011,1,4,William,Hatch,688,1,1,1,0,10,10,1,
3871,2011,1,13,Paul,Tadda,315,0,1,1,0,10,10,1,
3871,2011,1,16,Jim,Collis,391,1,0,0,0,10,10,1,
3871,2011,1,17,Shane,Adler,378,0,0,0,0,10,10,1,
3871,2012,1,12,Daniel,Dutscheck,658,1,1,1,0,11,11,1,
3871,2012,1,NA,Scatter,,11,0,0,0,1,11,11,1,
