distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3899,2005,2,1,Stacie,Boe-Campbell,86,1,0,0,1,1,1,1,
3899,2005,2,2,Deanna,Heiman,371,1,1,1,0,1,1,1,
3899,2005,2,3,John,Stalsberg,75,0,0,0,1,1,1,1,
3899,2005,2,4,Jonathon,Harris,62,0,0,0,1,1,1,1,
3899,2005,2,5,Allan,Hoesly,81,0,0,0,1,1,1,1,
3899,2005,2,NA,Scatter,,2,0,0,0,1,1,1,1,
3899,2005,1,1,Stacie,Boe-Campbell,345,0,0,0,0,2,2,1,
3899,2005,1,2,Deanna,Heiman,1001,1,1,1,0,2,2,1,
3899,2005,1,NA,Scatter,,1,0,0,0,1,2,2,1,
3899,2006,1,6,Donald,Harris,568,0,0,0,0,3,3,1,
3899,2006,1,7,Dewey,Poeschel,686,1,0,0,0,3,3,1,
3899,2006,1,8,Carrie,Golomski,336,0,0,0,0,3,3,1,
3899,2006,1,9,Rick,Opelt,885,1,1,1,0,3,3,1,
3899,2007,2,10,Paul,Elmhorst,414,1,1,1,0,4,4,1,
3899,2007,2,11,Matt,Jorgensen,286,1,0,0,0,4,4,1,
3899,2007,2,12,Walter,Wetzel,229,1,1,1,0,4,4,1,
3899,2007,2,13,Peggy,Grap,429,1,0,0,0,4,4,1,
3899,2007,2,14,Connie,Opelt,333,1,1,1,0,4,4,1,
3899,2007,1,13,Peggy,Grap,812,1,0,0,0,5,5,1,
3899,2007,1,11,Matt,Jorgensen,364,0,0,0,0,5,5,1,
3899,2007,1,14,Connie,Opelt,712,1,1,1,0,5,5,1,
3899,2007,1,10,Paul,Elmhorst,798,1,1,1,0,5,5,1,
3899,2007,1,12,Walter,Wetzel,516,0,1,1,0,5,5,1,
3899,2008,1,2,Deanna,Heiman,NA,1,1,1,0,6,6,1,no votes
3899,2009,1,9,Rick,Opelt,1024,1,1,1,0,7,7,1,
3899,2009,1,15,Bill,Elmhorst,318,0,0,0,0,7,7,1,
3899,2009,1,7,Dewey,Poeschel,958,1,1,1,0,7,7,1,
3899,2010,1,16,Jeff,Gaier,347,0,0,0,0,8,8,1,
3899,2010,1,13,Peggy,Grap,841,1,1,1,0,8,8,1,
3899,2010,1,4,Jonathon,Harris,253,0,0,1,0,8,8,1,
3899,2010,1,17,Sue,Voigt,776,1,0,0,0,8,8,1,
3899,2011,1,2,Deanna,Heiman,1474,1,1,1,0,9,9,1,
3899,2011,1,NA,Scatter,,18,0,0,0,1,9,9,1,
3899,2012,1,9,Rick,Opelt,1040,1,1,1,0,10,10,1,
3899,2012,1,7,Dewey,Poeschel,869,1,1,1,0,10,10,1,
3899,2012,1,NA,Scatter,,8,0,0,0,1,10,10,1,
