distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3906,2007,1,1,Lameece,Tyne,714,0,0,0,0,1,1,1,
3906,2007,1,2,Cory,Gerzmehle,1224,1,0,0,0,1,1,1,
3906,2008,1,1,Lameece,Tyne,802,0,0,1,0,2,2,1,
3906,2008,1,3,Mike,Dillon,845,1,0,0,0,2,2,1,
3906,2008,1,4,Steve,Bechard,843,1,1,1,0,2,2,1,
3906,2008,1,5,Robert,Shear,773,0,0,0,0,2,2,1,
3906,2009,1,6,David,Schmidt,959,1,0,0,0,3,3,1,
3906,2009,1,5,Robert,Shear,1066,1,0,1,0,3,3,1,
3906,2009,1,7,Wayne,Freeman,833,0,0,0,0,3,3,1,
3906,2010,1,8,Doug,Hustedt,927,1,0,0,0,4,4,1,
3906,2011,1,9,Brian,Giese,1847,1,0,0,0,5,5,1,
3906,2011,1,7,Wayne,Freeman,1152,1,0,1,0,5,5,1,
3906,2011,1,10,James,Schwake,1151,0,0,0,0,5,5,1,
3906,2012,1,6,David,Schmidt,1105,1,1,1,0,6,6,1,
3906,2012,1,5,Robert,Shear,1086,1,1,1,0,6,6,1,
3906,2012,1,11,Heather,Sairs,981,0,0,0,0,6,6,1,
