distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3948,2002,1,1,Kenneth,Hall,501,1,1,1,0,1,1,1,
3948,2002,1,2,Tom,Hopper,442,1,1,1,0,1,1,1,
3948,2002,1,NA,Scatter,,23,0,0,0,1,1,1,1,
3948,2003,1,3,Ted,Haschke,701,1,1,1,0,2,2,1,
3948,2003,1,4,Terry,Rubash,97,1,0,0,1,2,3,1,
3948,2003,1,NA,Scatter,,41,0,0,0,1,2,3,1,
3948,2004,1,5,Harry,Schwab,514,0,0,0,0,3,4,1,
3948,2004,1,6,DeAnn,Gollmar,567,1,1,1,0,3,4,1,
3948,2004,1,7,J.C.,Johnson,534,0,0,0,0,3,4,1,
3948,2004,1,8,Pam,Lowe,648,1,1,1,0,3,4,1,
3948,2004,1,NA,Scatter,,13,0,0,0,1,3,4,1,
3948,2005,1,1,Kenneth,Hall,476,1,1,1,0,4,5,1,
3948,2005,1,2,Tom,Hopper,466,1,1,1,0,4,6,1,
3948,2005,1,NA,Scatter,,5,0,0,0,1,4,6,1,
3948,2006,2,3,Ted,Haschke,75,1,1,1,1,5,7,1,
3948,2006,2,9,Scott,Gollmar,31,1,0,0,1,5,7,1,
3948,2006,2,10,Mark,O'Mara,31,1,0,0,1,5,7,1,
3948,2006,1,3,Ted,Haschke,287,1,1,1,0,6,8,1,
3948,2006,1,10,Mark,O'Mara,189,0,0,0,0,6,8,1,
3948,2006,1,11,Lisa,Rittenhouse,326,1,0,0,0,6,9,1,
3948,2006,1,12,Brent,Granger,56,0,0,0,1,6,9,1,
3948,2006,1,NA,Scatter,,6,0,0,0,1,6,9,1,
3948,2007,1,13,Wendy,Murphy,903,1,0,0,0,7,10,1,
3948,2007,1,14,Jeff,Neitzel,871,1,0,0,0,7,11,1,
3948,2007,1,7,J.C.,Johnson,215,0,0,1,0,7,11,1,
3948,2007,1,6,DeAnn,Gollmar,267,0,1,1,0,7,11,1,
3948,2007,1,15,Jeremy,Haske,688,1,0,0,0,7,11,1,
3948,2007,1,NA,Scatter,,7,0,0,0,1,7,11,1,
3948,2008,1,2,Tom,Hopper,604,1,1,1,0,8,12,1,
3948,2008,1,16,Rosetta,Boyle,497,0,0,0,0,8,13,1,
3948,2008,1,17,Collen,Woggon,650,1,0,0,0,8,13,1,
3948,2008,1,18,Jerry,Hemerley,70,0,0,0,1,8,13,1,
3948,2009,1,18,Jerry,Hemerley,520,1,0,1,0,9,14,1,
3948,2009,1,9,Scott,Gollmar,280,0,1,1,0,9,15,1,
3948,2009,1,16,Rosetta,Boyle,324,1,0,1,0,9,15,1,
3948,2010,1,15,Jeremy,Haske,175,0,1,1,0,10,16,1,
3948,2010,1,14,Jeff,Neitzel,253,1,1,1,0,10,16,1,
3948,2010,1,13,Wendy,Murphy,263,1,1,1,0,10,17,1,
3948,2010,1,NA,Scatter,,16,0,0,0,1,10,17,1,
3948,2011,1,2,Tom,Hopper,746,1,1,1,0,11,18,1,
3948,2011,1,17,Collen,Woggon,791,1,1,1,0,11,19,1,
3948,2012,1,19,Mark,Kopplin,569,1,0,0,0,12,20,1,
3948,2012,1,16,Rosetta,Boyle,554,1,0,1,0,12,20,1,
3948,2012,1,20,Nancy,Cowan,388,0,0,0,0,12,21,1,
3948,2012,1,18,Jerry,Hemerley,295,0,1,1,0,12,21,1,
3948,2012,1,NA,Scatter,,6,0,0,0,1,12,21,1,
