distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3955,2001,1,1,David,Hammes,900,0,0,0,0,1,1,1,
3955,2001,1,2,Holly,Lawton,1496,1,0,0,0,1,1,1,
3955,2001,1,3,Janet,Frederick,1401,1,0,0,0,1,1,1,
3955,2002,1,4,James,Jernegan,830,1,1,1,0,2,2,1,
3955,2002,1,5,Marvin,Schneider,787,1,1,1,0,2,2,1,
3955,2003,1,6,Terry,Wegner,2626,1,1,1,0,3,3,1,
3955,2003,1,7,Ginny,Schlais,2718,1,1,1,0,3,3,1,
3955,2003,1,8,Carl,Gloede,2595,1,1,1,0,3,3,1,
3955,2005,1,9,Kim,Schroeder,1134,1,0,0,0,4,4,1,
3955,2005,1,5,Marvin,Schneider,1107,1,1,1,0,4,4,1,
3955,2005,1,3,Janet,Frederick,970,0,1,1,0,4,4,1,
3955,2005,1,10,Ed,Strite,358,0,0,0,0,4,4,1,
3955,2006,1,6,Terry,Wegner,1078,1,1,1,0,5,5,1,
3955,2006,1,7,Ginny,Schlais,1089,1,1,1,0,5,5,1,
3955,2006,1,11,John,Faucher,1181,1,0,0,0,5,5,1,
3955,2007,1,12,James,Auer,1288,1,1,1,0,6,6,1,
3955,2007,1,13,Jody,Coppersmith,1363,1,1,0,0,6,6,1,
3955,2008,1,14,Keith,Steckbauer,1307,1,0,0,0,7,7,1,
3955,2008,1,9,Kim,Schroeder,1571,1,1,1,0,7,7,1,
3955,2009,1,6,Terry,Wegner,1204,1,1,1,0,8,8,1,
3955,2009,1,15,Jeremy,Gorges,1196,1,0,0,0,8,8,1,
3955,2009,1,16,Connie,Neely,1177,1,0,0,0,8,8,1,
3955,2009,1,7,Ginny,Schlais,1150,0,0,0,0,8,8,1,
3955,2009,1,17,Theresa,Banick,547,0,0,0,0,8,8,1,
3955,2010,1,11,John,Faucher,675,1,1,1,0,9,9,1,
3955,2010,1,7,Virginia,Schlais,596,1,0,1,0,9,9,1,
3955,2010,1,18,Tamie,Neilson,367,0,0,0,0,9,9,1,
3955,2010,1,19,Donn,Allen,218,0,0,0,0,9,9,1,
3955,2011,1,9,Kim,Schroeder,2150,1,1,1,0,10,10,1,
3955,2011,1,20,Jason,Pues,1517,0,0,0,0,10,10,1,
3955,2011,1,14,Keith,Steckbauer,1630,1,1,1,0,10,10,1,
3955,2012,1,21,John,Michels,1347,0,0,0,0,11,11,1,
3955,2012,1,16,Connie,Neely,1686,1,1,1,0,11,11,1,
3955,2012,1,15,Jeremy,Gorges,1585,1,1,1,0,11,11,1,
3955,2012,1,12,James,Auer,1576,1,1,1,0,11,11,1,
