distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3969,2002,1,1,Debbie,Wodenka,210,1,0,0,0,1,0,1,
3969,2002,1,2,Gilbert,Engel,127,0,1,1,0,1,0,1,
3969,2002,1,3,Mark,Kilgus,197,1,0,0,0,1,0,1,
3969,2002,1,NA,Scatter,,18,0,0,0,1,1,0,1,
3969,2003,1,4,Robert,Butler,215,1,0,0,0,1,0,1,
3969,2003,1,5,Donald,Schroeder,200,1,0,0,0,1,0,1,
3969,2003,1,6,Ann,Dunlap,219,1,0,0,0,1,0,1,
3969,2003,1,7,Jeffrey,Klenke,185,1,0,0,0,1,0,1,
3969,2003,1,8,Fred,Harvath,205,1,0,0,0,1,0,1,
3969,2003,1,NA,Scatter,,17,0,0,0,1,1,0,1,
3969,2004,1,9,James,Dunnick,198,1,1,1,0,1,0,1,
3969,2004,1,10,Peter,Swanson,60,1,0,0,0,1,0,1,
3969,2004,1,7,Jeffrey,Klenke,153,1,1,1,0,1,0,1,
3969,2004,1,NA,Scatter,,10,0,0,0,0,1,0,1,
3969,2005,1,5,Donald,Schroeder,372,1,1,1,0,1,0,1,
3969,2005,1,10,Peter,Swanson,412,1,1,1,0,1,0,1,
3969,2005,1,1,Debbie,Wodenka,521,1,1,1,0,1,0,1,
3969,2005,1,NA,Scatter,,11,0,0,0,1,1,0,1,
3969,2006,1,6,Ann,Dunlap,344,1,1,1,0,1,0,1,
3969,2006,1,4,Robert,Butler,324,1,1,1,0,1,0,1,
3969,2006,1,8,Fred,Harvath,321,1,1,1,0,1,0,1,
3969,2006,1,NA,Scatter,,5,0,0,0,1,1,0,1,
3969,2007,1,9,James,Dunnick,459,1,1,1,0,1,0,1,
3969,2007,1,11,Karen,Rock,509,1,0,0,0,1,0,1,
3969,2007,1,NA,Scatter,,6,0,0,0,1,1,0,1,
3969,2008,1,5,Donald,Schroeder,211,1,1,1,0,1,0,1,
3969,2008,1,10,Peter,Swanson,236,1,1,1,0,1,0,1,
3969,2008,1,NA,Scatter,,2,0,0,0,1,1,0,1,
3969,2009,1,8,Fred,Harvath,327,1,1,1,0,1,0,1,
3969,2009,1,4,Robert,Butler,346,1,1,1,0,1,0,1,
3969,2009,1,12,Carrie,Geldmeyer,372,1,0,0,0,1,0,1,
3969,2009,1,NA,Scatter,,0,0,0,0,1,1,0,1,
3969,2010,1,11,Karen,Rock,204,1,1,1,0,1,0,1,
3969,2010,1,9,James,Dunnick,191,1,1,1,0,1,0,1,
3969,2010,1,NA,Scatter,,1,0,0,0,1,1,0,1,
3969,2011,1,13,Tracy,Coppens,395,1,0,0,0,1,0,1,
3969,2011,1,5,Donald,Schroeder,319,1,1,1,0,1,0,1,
3969,2011,1,NA,Scatter,,4,0,0,0,1,1,0,1,
3969,2012,1,8,Fred,Harvath,328,1,1,1,0,1,0,1,
3969,2012,1,14,Nicole,Anderson,300,1,0,0,0,1,0,1,
3969,2012,1,15,Mary,Lundquist,339,1,0,0,0,1,0,1,
3969,2012,1,NA,Scatter,,1,0,0,0,1,1,0,1,
