distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2016,2002,1,1,Michael,Dishnow,166,0,0,0,0,1,1,1,
2016,2002,1,2,Donald,Stoebner,137,0,0,0,0,1,1,1,
2016,2002,1,3,Mike,Bedessem,214,1,1,1,0,1,1,1,
2016,2002,1,4,Lynne,Teach,349,1,1,1,0,1,1,1,
2016,2003,1,5,Monica,George,509,0,0,0,0,2,2,1,
2016,2003,1,6,Ray,Lacina,724,1,1,1,0,2,2,1,
2016,2003,1,7,Miguel,Morga,658,1,0,0,0,2,2,1,
2016,2003,1,8,Brita,Bodenstein,570,1,1,1,0,2,2,1,
2016,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
2016,2004,1,9,Terry,O'Donnell,400,1,0,0,0,3,3,1,
2016,2004,1,10,Dianne,Haggerty,108,0,0,0,0,3,3,1,
2016,2004,1,11,Mary,Kuhn,322,1,1,1,0,3,3,1,
2016,2004,1,12,John,Johnson,198,0,1,1,0,3,3,1,
2016,2004,1,NA,Scatter,,2,0,0,0,1,3,3,1,
2016,2005,1,4,Lynne,Teach,565,1,1,1,0,4,4,1,
2016,2005,1,3,Mike,Bedessem,380,1,1,1,0,4,4,1,
2016,2005,1,13,Janie,Russell,328,0,0,0,0,4,4,1,
2016,2006,1,6,Ray,Lacina,271,0,1,1,0,5,5,1,
2016,2006,1,13,Janie,Russell,262,0,0,1,0,5,5,1,
2016,2006,1,14,Judy,Powell,278,1,0,0,0,5,5,1,
2016,2006,1,15,John,Gibbs,437,1,0,0,0,5,5,1,
2016,2006,1,7,Miguel,Morga,375,1,1,1,0,5,5,1,
2016,2007,1,9,Terry,O'Donnell,439,1,1,1,0,6,6,1,
2016,2007,1,11,Mary,Kuhn,402,1,1,1,0,6,6,1,
2016,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
2016,2008,1,3,Mike,Bedessem,380,1,1,1,0,7,7,1,
2016,2008,1,16,Aaron,Fortney,375,1,0,0,0,7,7,1,
2016,2008,1,NA,Scatter,,5,0,0,0,1,7,7,1,
2016,2009,1,14,Judy,Powell,475,1,1,1,0,8,8,1,
2016,2009,1,7,Miguel,Morga,466,1,1,1,0,8,8,1,
2016,2009,1,17,Tina,Volden,428,1,0,0,0,8,8,1,
2016,2009,1,NA,Scatter,,2,0,0,0,1,8,8,1,
2016,2010,1,11,Mary,Kuhn,255,1,1,1,0,9,9,1,
2016,2010,1,9,Terry,O'Donnell,265,1,1,1,0,9,9,1,
2016,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
2016,2011,1,3,Mike,Bedessem,732,1,1,1,0,10,10,1,
2016,2011,1,16,Aaron,Fortney,748,1,1,1,0,10,10,1,
2016,2011,1,NA,Scatter,,9,0,0,0,1,10,10,1,
2016,2012,1,17,Tina,Volden,310,1,1,1,0,11,11,1,
2016,2012,1,14,Judy,Powell,346,1,1,1,0,11,11,1,
2016,2012,1,7,Michael,Morga,307,1,1,1,0,11,11,1,
2016,2012,1,NA,Scatter,,8,0,0,0,1,11,11,1,
