distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3983,2002,1,1,Jackie,Jurkowski,325,0,1,1,0,1,1,1,
3983,2002,1,2,Nancy,Zupke,428,1,0,0,0,1,1,1,
3983,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
3983,2003,1,3,Becky,Kissinger,601,1,1,1,0,2,2,1,
3983,2003,1,4,Steve,Hock,635,1,1,1,0,2,2,1,
3983,2003,1,5,Larry,Witkowski,357,0,0,0,0,2,2,1,
3983,2004,1,6,Kevin,Murphy,402,1,1,1,0,3,3,1,
3983,2004,1,7,Kim,Schommer,318,0,1,1,0,3,3,1,
3983,2004,1,8,Paul,Haase,414,1,0,0,0,3,3,1,
3983,2004,1,9,Mike,Roberts,282,0,0,0,0,3,3,1,
3983,2005,1,2,Nancy,Zupke,342,0,1,1,0,4,4,1,
3983,2005,1,10,John,Goldapske,634,1,0,0,0,4,4,1,
3983,2005,1,NA,Scatter,,1,0,0,0,1,4,4,1,
3983,2006,1,11,John,Duffy,556,1,0,0,0,5,5,1,
3983,2006,1,4,Steve,Hock,420,1,1,1,0,5,5,1,
3983,2006,1,3,Becky,Kissinger,322,0,1,1,0,5,5,1,
3983,2006,1,12,Vickie,Goldapske,344,0,0,0,0,5,5,1,
3983,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
3983,2007,1,8,Paul,Haase,591,1,1,1,0,6,6,1,
3983,2007,1,2,Becky,Kissinger,522,1,0,1,0,6,6,1,
3983,2007,1,NA,Scatter,,7,0,0,0,1,6,6,1,
3983,2008,1,10,John,Goldapske,711,1,1,1,0,7,7,1,
3983,2008,1,NA,Scatter,,2,0,0,0,1,7,7,1,
3983,2009,1,4,Steve,Hock,590,1,1,1,0,8,8,1,
3983,2009,1,11,John,Duffy,637,1,1,1,0,8,8,1,
3983,2009,1,NA,Scatter,,4,0,0,0,1,8,8,1,
3983,2010,1,8,Paul,Haase,486,1,1,1,0,9,9,1,
3983,2010,1,13,Ryan,Pelot,389,1,0,0,0,9,9,1,
3983,2010,1,NA,Scatter,,5,0,0,0,1,9,9,1,
3983,2011,1,10,John,Goldapske,1462,1,1,1,0,10,10,1,
3983,2012,1,11,John,Duffy,783,1,1,1,0,11,11,1,
3983,2012,1,4,Steve,Hock,743,1,1,1,0,11,11,1,
