distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3514,2007,1,1,Dean,Byczynski,215,1,0,0,0,1,1,1,
3514,2007,1,2,Marty,Iverson,222,1,1,1,0,1,1,1,
3514,2008,1,3,Susan,Schultz,287,1,1,1,0,2,2,1,
3514,2009,1,4,Bob,Gatchel,308,1,1,1,0,3,3,1,
3514,2009,1,5,Debra,Schaber,270,1,1,1,0,3,3,1,
3514,2010,1,2,Marty,Iverson,139,1,1,1,0,4,4,1,
3514,2010,1,6,John,Marchek,153,1,0,0,0,4,4,1,
3514,2011,1,3,Susan,Schultz,722,1,1,1,0,5,5,1,
3514,2012,1,4,Bob,Gatchel,376,1,1,1,0,6,6,1,
3514,2012,1,5,Debra,Schaber,315,1,1,1,0,6,6,1,
3514,2013,1,6,John,Marchek,271,1,1,1,0,7,7,1,
3514,2013,1,2,Marty,Iverson,283,1,1,1,0,7,7,1,
