distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
1945,2006,1,1,Connie,Conine,724,1,1,1,0,1,1,0,
1945,2006,1,2,Paul,Moore,467,1,0,0,0,2,2,1,
1945,2006,1,3,Christine,Koss,462,0,0,0,0,2,2,1,
1945,2006,1,4,Troy,Bretl,16,1,0,0,1,3,3,0,
1945,2007,1,5,Kendall,Thistle,532,1,1,1,0,4,4,0,
1945,2007,1,6,Walter,Clarke,545,1,1,1,0,5,5,0,
1945,2007,1,7,Francis,Kleckner,523,1,1,1,0,6,6,0,
1945,2007,1,NA,Scatter,,16,0,0,0,1,6,6,0,
1945,2008,1,8,Stacie,Stark,21,1,0,0,1,7,7,0,
1945,2008,1,9,Tom,Hoffmann,599,1,1,1,0,8,8,0,
1945,2008,1,10,Rick,Hamm,8,1,0,0,1,8,8,0,
1945,2008,1,11,Paul,Krause,531,1,1,1,0,9,9,0,
1945,2008,1,12,Gerald,Orten Jr,377,1,0,0,1,9,9,0,
1945,2008,1,NA,Scatter,,53,0,0,0,1,9,9,0,
1945,2009,1,13,Timothy,Burmesch,655,1,0,0,0,10,10,0,
1945,2009,1,14,Steve,Baumeister,37,1,0,0,1,11,11,0,
1945,2009,1,15,Frank,Parsons,29,1,0,0,1,12,12,1,
1945,2009,1,16,Dan,Paulus,28,0,0,0,1,12,12,1,
1945,2009,1,NA,Scatter,,73,0,0,0,1,12,12,1,
1945,2010,1,10,Rick,Hamm,385,1,1,1,0,13,13,0,
1945,2010,1,7,Francis,Kleckner,337,1,1,1,0,14,14,0,
1945,2010,1,5,Kendall,Thistle,342,1,1,1,0,15,15,0,
1945,2010,1,17,Steven,Paulus,215,0,0,0,0,16,16,1,
1945,2010,1,18,Steve,Burmesch,263,1,0,0,0,16,16,1,
1945,2010,1,NA,Scatter,,7,0,0,0,1,16,16,1,
1945,2011,1,8,Stacie,Stark,717,1,1,1,0,17,17,0,
1945,2011,1,19,John,Blasczyk,667,0,0,0,0,17,17,0,
1945,2011,1,9,Tom,Hoffmann,1204,1,1,1,0,18,18,0,
1945,2011,1,11,Paul,Krause,893,1,1,1,0,19,19,0,
1945,2011,1,20,Joe,Short,538,0,0,0,0,19,19,0,
1945,2011,1,NA,Scatter,,2,0,0,0,1,19,19,0,
1945,2012,1,14,Steve,Baumeister,1051,1,1,1,0,20,20,0,
1945,2012,1,13,Timothy,Burmesch,1011,1,1,1,0,21,21,0,
1945,2012,1,18,Steve,Burmesch,618,1,1,1,0,22,22,1,
1945,2012,1,NA,Scatter,,35,0,0,0,1,22,22,1,
