distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
1526,2002,1,1,Charles,Gilman,1504,1,1,1,0,1,1,0,
1526,2002,1,2,Craig,Moore,1374,0,0,0,0,1,1,0,
1526,2002,1,3,David,Allman,148,1,0,0,0,2,2,0,
1526,2002,1,4,Mike,Sealander,1744,1,0,0,0,3,3,0,
1526,2003,1,5,Jerry,Sparks,2121,1,1,1,0,4,4,0,
1526,2003,1,6,Tom,Christensen,2105,1,1,1,0,5,5,0,
1526,2003,1,7,Carolyn,Ritter,2310,1,1,1,0,6,6,1,
1526,2003,1,NA,Scatter,,1,0,0,0,1,6,6,1,
1526,2004,1,8,Brad,Lila,3170,1,0,0,0,7,7,0,
1526,2004,1,9,Mike,Sealander,2961,1,1,1,0,8,8,0,
1526,2004,1,10,Amy,Decker,3381,1,1,1,0,9,9,1,
1526,2005,1,11,Tim,Gaffney,1459,1,0,0,0,10,10,0,
1526,2005,1,12,Ronald,Ritzer,786,0,0,0,0,10,10,0,
1526,2005,1,12,Mike,Jovanovic,1646,1,0,0,0,11,11,0,
1526,2006,1,5,Jerry,Sparks,2538,1,1,1,0,12,12,0,
1526,2006,1,6,Tom,Christensen,2388,1,1,1,0,13,13,0,
1526,2006,1,7,Carolyn,Ritter,2500,1,1,1,0,14,14,1,
1526,2007,1,9,Mike,Sealander,1442,1,1,1,0,15,15,0,
1526,2007,1,13,Jim,Mulleady,1571,1,0,0,0,16,16,1,
1526,2008,1,11,Tim,Gaffney,1187,1,1,1,0,17,17,0,
1526,2008,1,9,Mike,Jovanovic,959,1,1,1,0,18,18,0,
1526,2009,1,14,Holly,McCormack,2580,1,0,0,0,19,19,0,
1526,2009,1,15,Eric,Neff,1733,1,0,0,0,20,20,0,
1526,2009,1,6,Tom,Christensen,1335,0,1,1,0,20,20,0,
1526,2009,1,16,John,Sarama,1760,1,0,0,0,21,21,1,
1526,2009,1,7,Carolyn,Ritter,1569,0,1,1,0,21,21,1,
1526,2010,1,9,Mike,Sealander,571,1,1,1,0,22,22,0,
1526,2010,1,13,Jim,Mulleady,609,1,1,1,0,23,23,1,
1526,2011,1,17,Mark,Vander Bloomen,1583,1,0,0,0,24,24,0,
1526,2011,1,18,Todd,Achterberg,1461,0,0,0,0,24,24,0,
1526,2011,1,9,Mike,Jovanovic,2339,1,1,1,0,25,25,0,
1526,2012,1,14,Holly,McCormack,1865,1,1,1,0,26,26,0,
1526,2012,1,15,Eric,Neff,1886,1,1,1,0,27,27,0,
1526,2012,1,16,John,Sarama,1996,1,1,1,0,28,28,1,
