distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4018,2003,2,1,Rosemarie,Annonson,698,1,0,0,0,1,1,1,
4018,2003,2,2,Kathleen,Borchardt,1266,1,0,0,0,1,1,1,
4018,2003,2,3,Richard,Leclercq,478,0,0,0,0,1,1,1,
4018,2003,2,4,Craig,Luther,587,1,0,0,0,1,1,1,
4018,2003,2,5,Paul,Mason,776,1,0,0,0,1,1,1,
4018,2003,2,6,Thomas,Robe,1215,1,1,1,0,1,1,1,
4018,2003,2,7,Vallimae,Sternig,588,1,0,0,0,1,1,1,
4018,2003,2,NA,Scatter,,21,0,0,0,1,1,1,1,
4018,2004,1,8,Doug,Rottel,1506,0,0,0,0,2,2,1,
4018,2004,1,9,Brian,Kaminski,3327,1,1,1,0,2,2,1,
4018,2004,1,5,Paul,Mason,2726,1,0,0,0,2,2,1,
4018,2004,1,7,Vallimae,Sternig,2191,0,0,1,0,2,2,1,
4018,2006,1,6,Thomas,Robe,2179,1,0,1,0,3,3,1,
4018,2006,1,2,Kathleen,Borchardt,3007,1,1,1,0,3,3,1,
4018,2008,1,10,Sheryl,Cerniglia,4231,1,0,0,0,4,4,1,
4018,2009,1,2,Kathleen,Borchardt,3107,1,1,1,0,5,5,1,
4018,2009,1,6,Thomas,Robe,2121,0,1,1,0,5,5,1,
4018,2009,1,11,Jim,Gilmesiter,2468,1,0,0,0,5,5,1,
4018,2010,1,5,Paul,Mason,604,1,1,1,0,6,6,1,
4018,2010,1,12,Frank,Carini,817,1,1,0,0,6,6,1,
4018,2010,1,1,Rosemarie,Annonson,400,0,0,1,0,6,6,1,
4018,2010,1,13,Robert,Pelzek,482,0,0,0,0,6,6,1,
4018,2011,2,14,Mary,Becker,862,0,0,0,0,7,7,1,
4018,2011,2,15,Mark,Verhalen,1885,1,0,0,0,7,7,1,
4018,2011,2,10,Sheryl,Cerniglia,1070,1,1,1,0,7,7,1,
4018,2011,1,10,Sheryl,Cerniglia,4351,1,1,1,0,7,7,1,
4018,2011,1,15,Mark,Verhalen,4381,1,1,1,0,7,7,1,
4018,2012,1,2,Kathleen,Borchardt,3565,1,1,1,0,8,8,1,
4018,2012,1,9,Brian,Kaminski,2856,0,0,1,0,8,8,1,
4018,2012,1,10,Sheryl,Cerniglia,3040,1,1,1,0,8,8,1,
