distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4060,2002,1,1,Mark,Herro,1932,1,1,1,0,1,1,1,
4060,2002,1,2,Sandy,Schick,1767,1,1,1,0,1,1,1,
4060,2002,1,3,David,Guckenberger,1307,0,0,0,0,1,1,1,
4060,2002,1,4,Betsy,Freeman,1400,0,0,0,0,1,1,1,
4060,2002,1,NA,Scatter,,9,0,0,0,1,1,1,1,
4060,2003,1,5,Kim,Schultz,2744,1,0,0,0,2,2,1,
4060,2003,1,6,Donald,Wiemer,2432,1,0,0,0,2,2,1,
4060,2003,1,7,Karen,Appel,1731,0,0,0,0,2,2,1,
4060,2003,1,8,Tracey,Gunderson,2081,0,0,0,0,2,2,1,
4060,2003,1,9,John,Griswold,2924,1,0,0,0,2,2,1,
4060,2003,1,10,Tom,DeZell,2356,0,1,1,0,2,2,1,
4060,2003,1,NA,Scatter,,32,0,0,0,1,2,2,1,
4060,2004,1,11,Susan,Kay,2415,1,1,1,0,3,3,1,
4060,2004,1,12,Donna,Scholl,2287,1,0,0,0,3,3,1,
4060,2004,1,NA,Scatter,,72,0,0,0,1,3,3,1,
4060,2005,1,13,Robert,Denman,1254,0,0,0,0,4,4,1,
4060,2005,1,14,Michael,Bickler,1790,1,0,0,0,4,4,1,
4060,2005,1,2,Sandy,Schick,2077,1,1,1,0,4,4,1,
4060,2005,1,15,Tom,Strey,1584,0,0,0,0,4,4,1,
4060,2005,1,NA,Scatter,,54,0,0,0,1,4,4,1,
4060,2006,1,16,Gayla,Weber,1365,0,0,0,0,5,5,1,
4060,2006,1,5,Kim,Schultz,2390,1,1,1,0,5,5,1,
4060,2006,1,6,Donald,Wiemer,2507,1,1,1,0,5,5,1,
4060,2006,1,9,John,Griswold,2581,1,1,1,0,5,5,1,
4060,2006,1,NA,Scatter,,38,0,0,0,1,5,5,1,
4060,2007,1,12,Donna,Scholl,2723,1,1,1,0,6,6,1,
4060,2007,1,11,Susan,Kay,2931,1,1,1,0,6,6,1,
4060,2007,1,NA,Scatter,,63,0,0,0,1,6,6,1,
4060,2008,1,2,Sandy,Schick,2959,1,1,1,0,7,7,1,
4060,2008,1,14,Michael,Bickler,2959,1,1,1,0,7,7,1,
4060,2008,1,NA,Scatter,,56,0,0,0,1,7,7,1,
4060,2009,1,17,Tom,Martin,1948,0,0,0,0,8,8,1,
4060,2009,1,9,John,Griswold,2967,1,1,1,0,8,8,1,
4060,2009,1,6,Donald,Wiemer,2952,1,1,1,0,8,8,1,
4060,2009,1,3,David,Guckenberger,2076,1,0,1,0,8,8,1,
4060,2009,1,NA,Scatter,,38,0,0,0,1,8,8,1,
4060,2010,1,18,Elizabeth,Thelen,2318,1,0,0,0,9,9,1,
4060,2010,1,19,Lisa,Arenas,1252,0,0,0,0,9,9,1,
4060,2010,1,11,Susan,Kay,1988,1,1,1,0,9,9,1,
4060,2010,1,20,Patrick,Clifford,1222,0,0,0,0,9,9,1,
4060,2010,1,NA,Scatter,,30,0,0,0,1,9,9,1,
4060,2011,1,19,Lisa,Arenas,3894,0,0,1,0,10,10,1,
4060,2011,1,2,Sandy,Schick,4561,1,1,1,0,10,10,1,
4060,2011,1,14,Michael,Bickler,4932,1,1,1,0,10,10,1,
4060,2011,1,NA,Scatter,,18,0,0,0,1,10,10,1,
4060,2012,1,6,Donald,Wiemer,4432,1,1,1,0,11,11,1,
4060,2012,1,9,John,Griswold,4526,1,1,1,0,11,11,1,
4060,2012,1,3,David,Guckenberger,3064,0,1,1,0,11,11,1,
4060,2012,1,19,Lisa,Arenas,3089,1,0,1,0,11,11,1,
4060,2012,1,NA,Scatter,,56,0,0,0,1,11,11,1,
