distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,raceid,areaid,districtwide,notes
4074,2006,1,1,Ken,Harter,635,1,1,1,0,1,1,1,
4074,2006,1,2,Tracey,Krumrei,583,1,1,1,0,1,1,1,
4074,2006,1,3,James,Moynihan,554,1,1,1,0,1,1,1,
4074,2007,1,4,April,Konitzer,1670,1,1,1,0,2,2,1,
4074,2007,1,5,Ronald,Leja,1478,1,1,1,0,2,2,1,
4074,2008,1,6,Jan,Stranz,795,1,1,1,0,3,3,1,
4074,2008,1,7,Don,Osborne,599,1,1,1,0,3,3,1,
4074,2008,1,NA,Scatter,,15,0,0,0,1,3,3,1,
4074,2009,1,8,Rebecca,Kane,605,1,0,0,0,4,4,1,
4074,2009,1,2,Tracey,Krumrei,558,0,1,1,0,4,4,1,
4074,2009,1,1,Ken,Harter,650,1,1,1,0,4,4,1,
4074,2009,1,9,Doug,Cassel,303,0,0,0,0,4,4,1,
4074,2009,1,10,Charles,O'Harrow,561,1,0,0,0,4,4,1,
4074,2009,1,11,Austin,Retzlaff,288,0,0,0,0,4,4,1,
4074,2009,1,NA,Scatter,,5,0,0,0,1,4,4,1,
4074,2010,1,2,Tracey,Krumrei,865,1,0,1,0,5,5,1,
4074,2010,1,12,James,Spang,473,0,0,0,0,5,5,1,
4074,2010,1,5,Ronald,Leja,856,1,1,1,0,5,5,1,
4074,2011,1,12,James,Spang,1481,1,0,1,0,6,6,1,
4074,2011,1,6,Jan,Stranz,1738,1,1,1,0,6,6,1,
4074,2012,1,8,Rebecca,Kane,1168,1,1,1,0,7,7,1,
4074,2012,1,10,Charles,O'Harrow,1216,1,1,1,0,7,7,1,
4074,2012,1,1,Ken,Harter,61,1,1,1,1,7,7,1,
4074,2012,1,NA,Scatter,,25,0,0,0,1,7,7,1,
