distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4137,2003,1,5,Mark,Brill,776,1,1,1,0,2,2,1,
4137,2003,1,6,James,Sarafin,756,1,1,1,0,2,2,1,
4137,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
4137,2004,1,7,Terry,Lemkuil,526,1,0,0,0,3,3,1,
4137,2004,1,8,Stanley,Lammers,516,1,0,0,0,3,3,1,
4137,2004,1,9,,Tally-Brill,363,0,0,0,0,3,3,1,
4137,2004,1,10,Darlene,TeStroete,397,1,1,1,0,3,3,1,
4137,2004,1,NA,Scatter,,3,0,0,0,1,3,3,1,
4137,2005,1,1,Jim,Swart,584,1,1,1,0,4,4,1,
4137,2005,1,2,Mark,Dulmes,567,1,1,1,0,4,4,1,
4137,2005,1,3,Harris,Draayers,544,1,1,1,0,4,4,1,
4137,2005,1,NA,Scatter,,4,0,0,0,1,4,4,1,
4137,2007,1,11,Terry,Hendrikse,761,1,0,0,0,5,5,1,
4137,2007,1,8,Stanley,Lammers,612,0,1,1,0,5,5,1,
4137,2007,1,12,Eric,Hartman,846,1,0,0,0,5,5,1,
4137,2008,1,1,Jim,Swart,985,1,1,1,0,6,6,1,
4137,2008,1,7,Terry,Lemkuil,805,1,1,1,0,6,6,1,
4137,2008,1,3,Harris,Draayers,785,1,1,1,0,6,6,1,
4137,2008,1,13,William,Rood,612,0,0,0,0,6,6,1,
4137,2009,1,14,Wendy,Den Boer,1032,1,1,0,0,7,7,1,
4137,2009,1,13,William,Rood,933,1,0,1,0,7,7,1,
4137,2010,1,12,Eric,Hartman,412,1,1,1,0,8,8,1,
4137,2010,1,11,Terry,Hendrikse,378,1,1,1,0,8,8,1,
4137,2010,1,15,,Flipse,143,0,0,0,0,8,8,1,
4137,2011,1,1,Jim,Swart,1865,1,1,1,0,9,9,1,
4137,2011,1,7,Terry,Lemkuil,1725,1,1,1,0,9,9,1,
4137,2011,1,16,Nate,Voskuil,1572,1,0,0,0,9,9,1,
4137,2011,1,NA,Scatter,,65,0,0,0,1,9,9,1,
4137,2012,1,14,Wendy,Den Boer,1190,1,1,1,0,10,10,1,
4137,2012,1,13,William,Rood,1031,0,1,1,0,10,10,1,
4137,2012,1,17,Greg,Dirkse,1114,1,0,0,0,10,10,1,
4137,2012,1,18,Debbie,Harmeling,1051,0,0,0,0,10,10,1,
4137,2012,1,NA,Scatter,,25,0,0,0,1,10,10,1,
