distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4144,2002,1,1,Nancy,Halford,1117,1,0,0,0,1,1,0,
4144,2002,1,2,Doug,Kornetzke,1108,1,1,1,0,2,2,0,
4144,2002,1,3,Cynthia,DiCamelli,1071,1,1,1,0,3,3,0,
4144,2003,1,4,Steve,Zach,2168,1,1,1,0,4,4,0,
4144,2003,1,5,Deedra,Atkinson,1956,1,1,1,0,5,5,0,
4144,2003,1,NA,Scatter,,28,0,0,0,1,5,5,0,
4144,2004,1,6,Scott,Flanagan,1431,1,0,0,0,6,6,0,
4144,2004,1,7,Jacy,Boldebuck,1042,1,0,0,0,6,6,0,
4144,2004,1,8,Guy,Trgo,17,0,0,0,1,6,6,0,
4144,2004,1,NA,Scatter,,25,0,0,0,1,6,6,0,
4144,2005,1,9,Russ,Bessemer,1568,1,0,0,0,7,7,0,
4144,2005,1,2,Doug,Kornetzke,1573,1,1,1,0,8,8,0,
4144,2005,1,3,Cynthia,DiCamelli,1577,1,1,1,0,9,9,0,
4144,2005,1,NA,Scatter,,16,0,0,0,1,9,9,0,
4144,2006,1,4,Steve,Zach,2208,1,1,1,0,10,10,0,
4144,2006,1,10,Courtney,Odorico,2063,1,0,0,0,11,11,0,
4144,2006,1,5,Deedra,Atkinson,2087,1,1,1,0,12,12,0,
4144,2006,1,NA,Scatter,,17,0,0,0,1,12,12,0,
4144,2007,1,11,Lynda,Farrar,1402,1,0,0,0,13,13,0,
4144,2007,1,8,Guy,Trgo,789,1,0,0,0,13,13,0,
4144,2008,1,10,Courtney,Odorico,1686,1,1,1,0,14,14,0,
4144,2008,1,2,Doug,Kornetzke,1693,1,1,1,0,15,15,0,
4144,2008,1,12,Rick,Andersen,1768,1,0,0,0,16,16,0,
4144,2008,1,NA,Scatter,,35,0,0,0,1,16,16,0,
4144,2009,1,4,Steve,Zach,2252,1,1,1,0,17,17,0,
4144,2009,1,13,Daniel,Biersdorf,982,0,0,0,0,17,17,0,
4144,2009,1,5,Deedra,Atkinson,2669,1,1,1,0,18,18,0,
4144,2009,1,NA,Scatter,,21,0,0,0,1,18,18,0,
4144,2010,1,11,Lynda,Farrar,1150,1,1,1,0,19,19,0,
4144,2010,1,8,Guy,Trgo,706,0,1,1,0,19,19,0,
4144,2010,1,14,Pam,Hughes,1045,1,0,0,0,19,19,0,
4144,2010,1,NA,Scatter,,20,0,0,0,1,19,19,0,
4144,2011,1,10,Courtney,Odorico,4832,1,1,1,0,20,20,0,
4144,2011,1,15,Lee,Christensen,4909,1,0,0,0,21,21,0,
4144,2011,1,16,Wayne,Mixdorf,4663,1,0,0,0,22,22,0,
4144,2011,1,NA,Scatter,,217,0,0,0,1,22,22,0,
4144,2012,1,4,Steve,Zach,2545,1,1,1,0,23,23,0,
4144,2012,1,17,Dan,Krause,1071,0,0,0,0,23,23,0,
4144,2012,1,18,Jeff,Ramin,2210,1,0,0,0,24,24,0,
4144,2012,1,5,Deedra,Atkinson,1690,0,1,1,0,24,24,0,
4144,2012,1,NA,Scatter,,66,0,0,0,1,24,24,0,
