distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,raceid,areaid,districtwide,notes
4165,2002,2,1,Neil,Johnson,303,1,1,1,0,1,1,1,
4165,2002,2,2,Terry,Neumann,158,0,0,0,0,1,1,1,
4165,2002,2,3,Eric,Westlake,245,1,0,0,0,1,1,1,
4165,2002,2,4,Mary,Flood,128,0,0,0,0,1,1,1,
4165,2002,2,5,Sue,Gross,361,1,1,1,0,1,1,1,
4165,2002,2,6,Craig,Brunclik,324,1,0,0,0,1,1,1,
4165,2002,1,5,Sue,Gross,583,1,1,1,0,1,1,1,
4165,2002,1,1,Neil,Johnson,484,1,1,1,0,1,1,1,
4165,2002,1,3,Eric,Westlake,453,0,0,0,0,1,1,1,
4165,2002,1,6,Craig,Brunclik,546,1,0,0,0,1,1,1,
4165,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
4165,2003,1,7,Gary,Beckmann,603,0,0,0,0,1,3,1,
4165,2003,1,8,Rosanne,Anderson,634,1,1,1,0,1,3,1,
4165,2004,1,9,Cathy,Olson,407,1,1,1,0,1,1,1,
4165,2004,1,10,Timm,Johnson,493,1,1,1,0,1,1,1,
4165,2004,1,11,Al,Hogen,366,0,0,0,0,1,1,1,
4165,2004,1,12,Mike,Miller,393,0,0,0,0,1,1,1,
4165,2006,1,8,Rosanne,Anderson,639,1,1,1,0,1,3,1,
4165,2006,1,13,Allan,Johnson,432,0,0,0,0,1,3,1,
4165,2007,1,13,Allan,Johnson,370,0,0,1,0,1,1,1,
4165,2007,1,9,Cathy,Olson,490,1,1,1,0,1,1,1,
4165,2007,1,10,Timm,Johnson,498,1,1,1,0,1,1,1,
4165,2008,2,14,John,Gearin,378,1,0,0,0,1,1,1,
4165,2008,2,6,Craig,Brunclik,823,1,1,1,0,1,1,1,
4165,2008,2,15,Margo,Johnson,789,1,0,0,0,1,1,1,
4165,2008,2,13,Allan,Johnson,363,0,0,1,0,1,1,1,
4165,2008,2,16,Rick,Lowney,417,1,0,0,0,1,1,1,
4165,2008,1,16,Rick,Lowney,238,0,0,0,0,1,1,1,
4165,2008,1,6,Craig,Brunclik,591,1,1,1,0,1,1,1,
4165,2008,1,14,John,Gearin,483,1,1,1,0,1,1,1,
4165,2008,1,15,Margo,Johnson,463,1,0,0,0,1,1,1,
4165,2009,2,16,Scott,Sirek,55,0,0,0,1,1,1,1,
4165,2009,2,17,Mary,Cotch,105,1,0,0,0,1,1,1,
4165,2009,2,8,Rosanne,Anderson,135,1,1,1,0,1,1,1,
4165,2009,2,16,Rick,Lowney,18,0,1,1,1,1,1,1,
4165,2009,1,17,Mary,Cotch,566,1,1,1,0,1,1,1,
4165,2009,1,8,Rosanne,Anderson,483,1,1,1,0,1,1,1,
4165,2009,1,6,Craig,Brunclik,535,1,1,1,0,1,1,1,
4165,2009,1,5,Sue,Gross,445,0,0,1,0,1,1,1,
4165,2009,1,18,Doug,Wynveen,375,0,0,0,0,1,1,1,
4165,2010,1,9,Cathy,Olson,700,1,1,1,0,1,1,1,
4165,2010,1,19,Karen,Heyer,223,0,0,0,0,1,1,1,
4165,2010,1,20,Maren,Mayo,187,0,0,0,0,1,1,1,
4165,2010,1,10,Timm,Johnson,760,1,1,1,0,1,1,1,
4165,2011,1,6,Craig,Brunclik,1330,1,1,1,0,1,1,1,
4165,2011,1,14,John,Gearin,707,0,1,1,0,1,1,1,
4165,2011,1,8,Rosanne,Anderson,1095,1,1,1,0,1,1,1,
4165,2012,1,21,Lou,Garriga,624,1,0,0,0,1,3,1,
4165,2012,1,22,Jeff,Pfannes,562,1,0,0,0,1,3,1,
