distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4235,2007,1,1,Lisa,Ashmus,243,1,0,0,0,1,1,1,
4235,2007,1,2,Jerry,Ling,227,0,0,0,0,1,1,1,
4235,2007,1,3,Connie,Bevry,260,1,1,1,0,1,1,1,
4235,2008,1,4,Leslie,Holloway,243,1,1,1,0,2,2,1,
4235,2008,1,NA,Scatter,,1,0,0,0,1,2,2,1,
4235,2009,1,5,Glen,Bennett,335,1,1,1,0,3,3,1,
4235,2009,1,6,Steve,Hrupka,418,1,1,1,0,3,3,1,
4235,2010,1,7,Deanna,Krumm,95,1,0,0,1,4,4,1,
4235,2010,1,1,Lisa,Ashmus,56,1,1,1,1,4,4,1,
4235,2010,1,NA,Scatter,,6,0,0,0,1,4,4,1,
4235,2011,1,8,Doug,Boss,106,0,0,0,0,5,5,1,
4235,2011,1,9,Mike,Cavalenes,318,1,0,0,0,5,5,1,
4235,2012,1,10,Colleen,Belmont,349,1,0,0,0,6,6,1,
4235,2012,1,11,Joan,Hancock,329,1,0,0,0,6,6,1,
4235,2012,1,12,Dennis,Hrupka,319,0,0,0,0,6,6,1,
4235,2012,1,13,Joan,Logan,309,0,0,0,0,6,6,1,
4235,2013,1,7,Deanna,Krumm,155,1,1,1,0,7,7,1,
4235,2013,1,12,Dennis,Hrupka,190,1,0,1,0,7,7,1,
