distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4151,2002,1,1,Mark,Heffel,308,1,1,1,0,1,1,1,
4151,2002,1,2,Charles,Hallmark,24,0,0,0,1,1,1,1,
4151,2002,1,3,Sandy,Paulsen,46,1,0,0,1,1,1,1,
4151,2002,1,NA,Scatter,,52,0,0,0,1,1,1,1,
4151,2003,1,4,Karl,Stuvengen,702,1,1,1,0,2,2,1,
4151,2003,1,5,Terry,Morris,10,0,0,0,1,2,2,1,
4151,2003,1,6,Craig,Jones,92,1,0,0,1,2,2,1,
4151,2003,1,7,Bill,Dietsch,64,1,0,0,1,2,2,1,
4151,2003,1,8,Rex,Markee,12,0,0,0,1,2,2,1,
4151,2003,1,9,Ken,Bell,21,0,1,1,1,2,2,1,
4151,2003,1,10,C.J.,Wischer,14,0,0,0,1,2,2,1,
4151,2003,1,NA,Scatter,,132,0,0,0,1,2,2,1,
4151,2004,1,11,Steve,Hazeltine,1259,1,1,1,0,3,3,1,
4151,2004,1,12,John,King,958,1,0,0,0,3,3,1,
4151,2004,1,13,John,Hanson,88,0,0,0,1,3,3,1,
4151,2004,1,14,Scott,Marquis,118,0,0,0,0,3,3,1,
4151,2004,1,15,Deb,Hoverson,132,0,0,0,0,3,3,1,
4151,2004,1,16,Bill,Whisler,11,0,0,0,1,3,3,1,
4151,2005,1,3,Sandy,Paulsen,508,1,1,1,0,4,4,1,
4151,2005,1,1,Mark,Heffel,405,1,1,1,0,4,4,1,
4151,2005,1,NA,Scatter,,23,0,0,0,1,4,4,1,
4151,2006,1,6,Craig,Jones,410,1,1,1,0,5,5,1,
4151,2006,1,17,Thomas,Dodge,407,1,0,0,0,5,5,1,
4151,2006,1,4,Karl,Stuvengen,404,1,1,1,0,5,5,1,
4151,2006,1,NA,Scatter,,54,0,0,0,1,5,5,1,
4151,2007,2,18,Terry,Gerber,210,1,0,0,0,6,6,1,
4151,2007,2,19,Bill,Wingerson,116,1,0,0,0,6,6,1,
4151,2007,2,12,John,King,111,0,1,1,0,6,6,1,
4151,2007,2,20,Devon,Gookin,188,1,0,0,0,6,6,1,
4151,2007,2,11,Steve,Hazeltine,149,1,1,1,0,6,6,1,
4151,2007,2,NA,Scatter,,5,0,0,0,1,6,6,1,
4151,2007,1,20,Devon,Gookin,520,1,0,0,0,7,7,1,
4151,2007,1,11,Steve,Hazeltine,408,0,1,1,0,7,7,1,
4151,2007,1,18,Terry,Gerber,432,1,0,0,0,7,7,1,
4151,2007,1,19,Bill,Wingerson,319,0,1,1,0,7,7,1,
4151,2007,1,12,John,King,185,0,0,0,0,7,7,1,
4151,2007,1,NA,Scatter,,5,0,0,0,1,7,7,1,
4151,2008,1,12,John,King,508,1,1,1,0,8,8,1,
4151,2008,1,3,Sandy,Paulsen,27,1,1,1,0,8,8,1,
4151,2008,1,19,Bill,Wingerson,20,0,0,1,0,8,8,1,
4151,2008,1,21,Mike,Eggloden,10,0,0,0,1,8,8,1,
4151,2008,1,NA,Scatter,,58,0,0,0,1,8,8,1,
4151,2009,1,22,Eric,Stelter,601,1,0,0,0,9,9,1,
4151,2009,1,6,Craig,Jones,604,1,1,1,0,9,9,1,
4151,2009,1,23,Ed,Bell,95,1,0,0,1,9,9,1,
4151,2009,1,24,Rom,Pimm,17,0,0,0,1,9,9,1,
4151,2009,1,19,Bill,Wingerson,10,0,0,1,1,9,9,1,
4151,2009,1,NA,Scatter,,73,0,0,0,1,9,9,1,
4151,2010,1,25,Troy,Knudson,1145,1,0,0,0,10,10,1,
4151,2010,1,18,Terry,Gerber,993,1,1,1,0,10,10,1,
4151,2010,1,20,Devon,Gookin,871,1,1,1,0,10,10,1,1 year term
4151,2011,1,20,Devon,Gookin,426,0,1,1,0,11,11,1,
4151,2011,1,26,Clay,Hammes,749,1,0,0,0,11,11,1,
4151,2011,1,12,John,King,591,0,1,1,0,11,11,1,
4151,2011,1,27,Elizabeth,Brockwell,752,1,0,0,0,11,11,1,
4151,2011,1,28,Bob,Carlson,32,0,0,0,1,11,11,1,
4151,2011,1,NA,Scatter,,26,0,0,0,1,11,11,1,
4151,2012,1,6,Craig,Jones,620,0,1,1,0,12,12,1,
4151,2012,1,23,Ed,Bell,597,0,1,1,0,12,12,1,
4151,2012,1,19,Bill,Wingerson,1314,1,0,1,0,12,12,1,
4151,2012,1,29,Charles,Hagmann,1419,1,0,0,0,12,12,1,
4151,2012,1,30,Steven,Haberman,1501,1,1,1,0,12,12,1,
4151,2012,1,22,Eric,Stelter,598,0,1,1,0,12,12,1,
4151,2012,1,NA,Scatter,,15,0,0,0,1,12,12,1,
