distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
490,2002,1,1,Stephen,Thompson,248,1,1,1,0,1,1,1,
490,2002,1,2,Peter,Rathbun,223,1,1,1,0,1,1,1,
490,2002,1,NA,Scatter,,12,0,0,0,1,1,1,1,
490,2003,1,3,Tim,Scott,477,1,0,0,0,2,2,1,
490,2003,1,4,Roy,Ruegsegger,492,1,1,1,0,2,2,1,
490,2003,1,NA,Scatter,,8,0,0,0,1,2,2,1,
490,2004,1,5,Kristen,Leonard,622,1,1,1,0,3,3,1,
490,2004,1,6,Jodie,Chandler,572,1,0,0,0,3,3,1,
490,2004,1,7,Barb,Cassidy,609,1,0,0,0,3,3,1,
490,2004,1,NA,Scatter,,13,0,0,0,1,3,3,1,
490,2005,1,8,Ron,Linder,479,1,0,0,0,4,4,1,
490,2005,1,9,Richard,Rolfsmeyer,369,1,1,1,0,4,4,1,
490,2005,1,10,Donald,Mueller,246,0,0,0,0,4,4,1,
490,2005,1,NA,Scatter,,7,0,0,0,1,4,4,1,
490,2006,1,4,Roy,Ruegsegger,268,1,1,1,0,5,5,1,
490,2006,1,11,Steve,Demler,222,1,0,0,0,5,5,1,
490,2006,1,NA,Scatter,,4,0,0,0,1,5,5,1,
490,2007,1,6,Jodie,Chandler,471,1,1,1,0,6,6,1,
490,2007,1,7,Barb,Cassidy,510,1,1,1,0,6,6,1,
490,2007,1,12,Amy,Carr,52,1,0,0,1,6,6,1,
490,2007,1,NA,Scatter,,35,0,0,0,1,6,6,1,
490,2008,1,9,Richard,Rolfsmeyer,524,1,1,1,0,7,7,1,
490,2008,1,12,Amy,Carr,580,1,0,1,0,7,7,1,
490,2008,1,8,Ron,Linder,554,1,1,1,0,7,7,1,
490,2008,1,NA,Scatter,,20,0,0,0,1,7,7,1,
490,2009,1,11,Steve,Demler,423,1,1,1,0,8,8,1,
490,2009,1,4,Roy,Ruegsegger,487,1,1,1,0,8,8,1,
490,2009,1,NA,Scatter,,8,0,0,0,1,8,8,1,
490,2010,1,13,Mary,Messey,412,1,0,0,0,9,9,1,
490,2010,1,9,Richard,Rolfsmeyer,369,1,1,1,0,9,9,1,
490,2010,1,NA,Scatter,,37,0,0,0,1,9,9,1,
490,2011,1,14,Patty,McGowan,727,1,0,0,0,10,10,1,
490,2011,1,8,Ron,Linder,644,1,1,1,0,10,10,1,
490,2011,1,NA,Scatter,,6,0,0,0,1,10,10,1,
490,2012,1,11,Steve,Demler,392,1,1,1,0,11,11,1,
490,2012,1,4,Roy,Ruegsegger,419,1,1,1,0,11,11,1,
490,2012,1,NA,Scatter,,12,0,0,0,1,11,11,1,
