distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4368,2002,1,1,Russell,Copeland,360,1,1,1,0,1,1,1,
4368,2002,1,2,Pete,Petersen,421,1,1,1,0,1,1,1,
4368,2003,1,3,Paul,Sturgis,823,1,0,0,0,2,2,1,
4368,2004,1,4,Mark,Florence,610,1,1,1,0,3,3,1,
4368,2004,1,5,Jane,Wesely,578,1,1,1,0,3,3,1,
4368,2004,1,NA,Scatter,,2,0,0,0,1,3,3,1,
4368,2005,1,6,Lisa,Schulz,533,1,0,0,0,4,4,1,
4368,2005,1,1,Russell,Copeland,464,0,1,1,0,4,4,1,
4368,2005,1,7,William,Rosandick,592,1,0,0,0,4,4,1,
4368,2006,1,3,Paul,Sturgis,273,0,1,1,0,5,5,1,
4368,2006,1,1,Russell,Copeland,360,1,0,1,0,5,5,1,
4368,2007,1,8,MaryAnn,Lippert,615,1,0,0,0,6,6,1,
4368,2007,1,5,Jane,Wesely,597,1,1,1,0,6,6,1,
4368,2007,1,9,Connie,Potter,416,0,0,0,0,6,6,1,
4368,2007,1,NA,Scatter,,2,0,0,0,1,6,6,1,
4368,2008,1,9,Connie,Potter,457,1,0,1,0,7,7,1,
4368,2008,1,6,Lisa,Schulz,489,1,1,1,0,7,7,1,
4368,2008,1,NA,Scatter,,23,0,0,0,1,7,7,1,
4368,2009,1,10,Julie,Strenn,436,1,0,0,0,8,8,1,
4368,2009,1,11,Tina,Ellis Coyle,373,0,0,0,0,8,8,1,
4368,2009,1,NA,Scatter,,1,0,0,0,1,8,8,1,
4368,2010,1,5,Jane,Wesely,323,1,1,1,0,9,9,1,
4368,2010,1,8,MaryAnn,Lippert,297,1,1,1,0,9,9,1,
4368,2010,1,12,Brian,Kissner,242,0,0,0,0,9,9,1,
4368,2010,1,13,Nancy,Potter,37,0,0,0,1,9,9,1,
4368,2011,1,9,Connie,Potter,762,1,1,1,0,10,10,1,
4368,2011,1,13,Nancy,Potter,408,0,0,1,0,10,10,1,
4368,2011,1,6,Lisa,Schulz,825,1,1,1,0,10,10,1,
4368,2012,1,10,Julie,Strenn,643,1,1,1,0,11,11,1,
4368,2012,1,NA,Scatter,,37,0,0,0,1,11,11,1,
