distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4473,2007,1,1,,Tauscheck,2660,1,1,1,0,1,1,0,The first names are missing. I got some of them from the master.csv
4473,2007,1,2,,Crosser,1140,0,1,1,0,2,2,0,
4473,2007,1,3,,Isely,2118,1,0,0,0,2,2,0,"I did not find Isely in the master.csv, so I am not sure if he/she is a winner"
4473,2007,1,4,Tim,St.Clair,1832,1,0,0,0,3,3,0,
4473,2007,1,5,,Nelson,1498,0,0,0,0,3,3,0,
4473,2008,1,6,,Curtiss,1032,0,0,0,0,4,4,0,
4473,2008,1,7,,Rhyan,2745,1,0,0,0,4,4,0,
4473,2008,1,8,Gerald,Prahl,2742,1,0,0,0,5,5,0,
4473,2008,1,9,,Neargarth,1050,0,0,0,0,5,5,0,
4473,2009,1,10,,Suchocki,1503,0,0,0,0,6,6,0,
4473,2009,1,11,,Feick,2050,1,0,0,0,6,6,0,
4473,2009,1,12,,Holzhaeuser,1979,1,0,0,0,7,7,0,
4473,2009,1,13,,Eichenseer,1585,0,0,0,0,7,7,0,
4473,2010,1,14,,Klemme,861,1,0,0,0,8,8,0,
4473,2010,1,3,,Isely,850,1,1,1,0,9,9,0,
4473,2010,1,4,Tim,St.Clair,840,1,1,1,0,10,10,0,
4473,2011,1,7,,Rhyan,3566,1,1,1,0,11,11,0,
4473,2011,1,15,Jamie,Gambrell,3561,1,0,0,0,12,12,0,
4473,2012,1,16,,York,2524,1,0,0,0,13,13,0,
4473,2012,1,12,,Holzhaeuser,2474,1,1,1,0,14,14,0,
