distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4515,2006,1,1,Myron,Praeger,591,1,1,1,0,1,1,0,
4515,2006,1,2,Patty,Ruth,655,1,1,1,0,1,1,0,
4515,2006,1,3,Carey,Gremminger,598,1,1,1,0,2,2,0,
4515,2006,1,NA,Scatter,,13,0,0,0,1,2,2,0,
4515,2007,1,4,Kelly,O'Connell-Perket,1220,1,1,1,0,3,3,0,
4515,2007,1,5,Jim,Olson,1376,1,0,0,0,3,3,0,
4515,2007,1,6,James,Eden,1335,1,1,1,0,4,4,0,
4515,2007,1,NA,Scatter,,16,0,0,0,1,4,4,0,
4515,2008,1,7,Brian,McCutcheon,1614,1,1,1,0,5,5,0,
4515,2008,1,8,Sara,McCutcheon,1159,1,1,1,0,6,6,0,
4515,2008,1,9,Jim,Cryns,660,0,0,0,0,6,6,0,
4515,2008,1,10,Kimberly,Wood,1494,1,0,0,0,7,7,0,
4515,2008,1,NA,Scatter,,35,0,0,0,1,7,7,0,
4515,2009,1,2,Patty,Ruth,1779,1,1,1,0,8,8,0,
4515,2009,1,1,Myron,Praeger,1509,1,1,1,0,8,8,0,
4515,2009,1,11,Doug,Cvetkovich,818,0,0,0,0,8,8,0,
4515,2009,1,3,Carey,Gremminger,1871,1,1,1,0,9,9,0,
4515,2009,1,NA,Scatter,,17,0,0,0,1,9,9,0,
4515,2010,1,5,Jim,Olson,498,1,1,1,0,10,10,0,
4515,2010,1,4,Kelly,O'Connell-Perket,458,1,1,1,0,10,10,0,
4515,2010,1,6,James,Eden,494,1,1,1,0,11,11,0,
4515,2010,1,NA,Scatter,,7,0,0,0,1,11,11,0,
4515,2011,1,8,Sara,McCutcheon,3017,1,1,1,0,12,12,0,
4515,2011,1,7,Brian,McCutcheon,3019,1,1,1,0,13,13,0,
4515,2011,1,10,Kimberly,Wood,2858,1,1,1,0,14,14,0,
4515,2011,1,NA,Scatter,,32,0,0,0,1,14,14,0,
4515,2012,1,12,Brenda,Fritsch,1704,1,0,0,0,15,15,0,
4515,2012,1,13,Ross,Larsson,1636,0,0,0,0,15,15,0,
4515,2012,1,14,Michelle,Mueller,2033,1,0,0,0,15,15,0,
4515,2012,1,15,Earl,Kelley,1591,0,0,0,0,15,15,0,
4515,2012,1,3,Carey,Gremminger,2132,1,1,1,0,16,16,0,
4515,2012,1,16,John,Soper,1469,0,0,0,0,16,16,0,
4515,2012,1,NA,Scatter,,26,0,0,0,1,16,16,0,
