distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4529,2002,1,1,Dennis,Zlabek,155,1,1,1,0,1,1,1,
4529,2002,1,2,Becky,O'Connell,48,1,0,0,1,1,1,1,
4529,2002,1,NA,Scatter,,54,0,0,0,1,1,1,1,
4529,2003,1,3,John,Erickson,222,0,0,0,0,2,2,1,
4529,2003,1,4,Tina,Schroeder,287,1,0,0,0,2,2,1,
4529,2003,1,5,Mike,Bolton,161,0,0,0,0,2,2,1,
4529,2003,1,6,James,Smercina,237,1,1,1,0,2,2,1,
4529,2004,1,7,Richard,Keene,147,1,1,1,0,3,3,1,
4529,2004,1,8,Joseph,Stohlmeyer,122,1,1,1,0,3,3,1,
4529,2004,1,9,John,Erickson,107,0,0,1,0,3,3,1,
4529,2004,1,10,Karen,Pitzen,52,0,0,0,1,3,3,1,
4529,2004,1,11,Ginny,Koeller,116,0,0,0,0,3,3,1,
4529,2004,1,12,Peggy,Udelhoven,133,1,1,1,0,3,3,1,
4529,2005,1,1,Dennis,Zlabek,339,1,1,1,0,4,4,1,
4529,2005,1,11,Ginny,Koeller,300,1,0,1,0,4,4,1,
4529,2005,1,20,Karen,Pitzen,166,0,0,1,0,4,4,1,
4529,2005,1,3,John,Erickson,23,0,0,1,1,4,4,1,
4529,2005,1,NA,Scatter,,6,0,0,0,1,4,4,1,
4529,2006,1,20,Karen,Pitzen,292,0,0,1,0,5,5,1,
4529,2006,1,4,Tina,Schroeder,593,1,1,1,0,5,5,1,
4529,2006,1,21,Curt,McMahon,629,1,0,0,0,5,5,1,
4529,2006,1,NA,Scatter,,34,0,0,0,1,5,5,1,
4529,2007,1,12,Peggy,Udelhoven,298,1,1,1,0,6,6,1,
4529,2007,1,7,Richard,Keene,288,1,1,1,0,6,6,1,
4529,2007,1,8,Joseph,Stohlmeyer,244,1,1,1,0,6,6,1,
4529,2007,1,20,Karen,Pitzen,163,0,0,1,0,6,6,1,
4529,2007,1,NA,Scatter,,2,0,0,0,1,6,6,1,
4529,2008,1,1,Dennis,Zlabek,292,1,1,1,0,7,7,1,
4529,2008,1,20,Karen,Pitzen,98,0,0,1,1,7,7,1,
4529,2008,1,22,Cindy,Leibfried,376,1,0,0,0,7,7,1,
4529,2008,1,NA,Scatter,,1,0,0,0,1,7,7,1,
4529,2009,1,21,Curt,McMahon,472,1,1,1,0,8,8,1,
4529,2009,1,4,Tina,Schroeder,473,1,1,1,0,8,8,1,
4529,2009,1,NA,Scatter,,5,0,0,0,1,8,8,1,
4529,2010,1,23,Craig,Bierman,193,1,0,0,0,9,9,1,
4529,2010,1,20,Karen,Pitzen,41,0,0,1,1,9,9,1,
4529,2010,1,24,Patty,Post,233,1,0,0,0,9,9,1,
4529,2010,1,25,Jeffrey,Traver,154,0,0,0,0,9,9,1,
4529,2010,1,12,Peggy,Udelhoven,217,1,1,1,0,9,9,1,
4529,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
4529,2011,1,20,Karen,Pitzen,135,0,0,1,0,10,10,1,
4529,2011,1,22,Cindy,Leibfried,486,1,1,1,0,10,10,1,
4529,2011,1,25,Jeffrey,Traver,203,0,0,1,0,10,10,1,
4529,2011,1,26,Rick,Kruser,249,1,0,0,0,10,10,1,
4529,2011,1,NA,Scatter,,19,0,0,0,1,10,10,1,
4529,2012,1,21,Curt,McMahon,346,1,1,1,0,11,11,1,
4529,2012,1,4,Tina,Schroeder,328,1,1,1,0,11,11,1,
4529,2012,1,27,Carol,Kaiser,206,0,0,0,0,11,11,1,
4529,2012,1,28,Kim,Udelhoven,186,0,0,0,0,11,11,1,
4529,2012,1,NA,Scatter,,2,0,0,0,1,11,11,1,
