distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4536,2002,1,1,Lou,Brady,488,1,1,1,0,1,1,1,
4536,2002,1,2,William,Bender,562,1,1,1,0,1,1,1,
4536,2002,1,NA,Scatter,,17,0,0,0,1,1,1,1,
4536,2003,1,3,Mike,Read,888,1,1,1,0,2,2,1,
4536,2003,1,4,Richard,Wilkinson,919,1,1,1,0,2,2,1,
4536,2003,1,5,Sandy,Howard,921,1,0,0,0,2,2,1,
4536,2004,1,6,Nancy,Bliefernicht,462,1,1,1,0,3,3,1,
4536,2004,1,7,Vern,Karman,330,0,1,1,0,3,3,1,
4536,2004,1,8,Brenda,Horn,290,0,0,0,0,3,3,1,
4536,2004,1,9,Joe,Mcllrath,432,1,0,0,0,3,3,1,
4536,2005,1,1,Lou,Brady,442,1,1,1,0,4,4,1,
4536,2005,1,2,William,Bender,534,1,1,1,0,4,4,1,
4536,2006,1,10,R.J.,Lurquin,360,0,0,0,0,5,5,1,
4536,2006,1,4,Richard,Wilkinson,433,1,1,1,0,5,5,1,
4536,2006,1,5,Sandy,Howard,443,1,1,1,0,5,5,1,
4536,2006,1,11,Jerry,Burke,345,0,0,0,0,5,5,1,
4536,2007,1,9,Joe,Mcllrath,883,1,1,1,0,6,6,1,
4536,2007,1,6,Nancy,Bliefernicht,911,1,1,1,0,6,6,1,
4536,2007,1,11,Jerry,Burke,742,0,0,1,0,6,6,1,
4536,2007,1,NA,Scatter,,200,0,0,0,1,6,6,1,
4536,2008,1,12,Deb,Boor,797,0,0,0,0,7,7,1,
4536,2008,1,2,William,Bender,1125,1,1,1,0,7,7,1,
4536,2008,1,11,Jerry,Burke,816,1,0,1,0,7,7,1,
4536,2008,1,NA,Scatter,,12,0,0,0,1,7,7,1,
4536,2009,1,10,R.J.,Lurquin,565,0,0,1,0,8,8,1,
4536,2009,1,4,Richard,Wilkinson,568,1,1,1,0,8,8,1,
4536,2009,1,13,Kathleen,Lucey,641,1,0,0,0,8,8,1,
4536,2009,1,14,Gregg,Schernecker,610,1,0,0,0,8,8,1,
4536,2009,1,15,Chris,David,539,0,0,0,0,8,8,1,
4536,2009,1,NA,Scatter,,15,0,0,0,1,8,8,1,
4536,2010,1,9,Joe,Mcllrath,461,1,1,1,0,9,9,1,
4536,2010,1,16,Randy,Hoffman,431,1,0,0,0,9,9,1,
4536,2010,1,10,R.J.,Lurquin,396,0,0,0,0,9,9,1,
4536,2010,1,17,Bob,Latour,367,0,0,0,0,9,9,1,
4536,2010,1,NA,Scatter,,8,0,0,0,1,9,9,1,
4536,2011,1,18,Dennis,Bravick,678,0,0,0,0,10,10,1,
4536,2011,1,19,Amber,Hahn,1242,1,0,0,0,10,10,1,
4536,2011,1,15,Chris,David,788,0,0,1,0,10,10,1,
4536,2011,1,20,Randy,Tomlinson,1091,1,0,0,0,10,10,1,
4536,2012,1,14,Gregg,Schernecker,666,1,1,1,0,11,11,1,
4536,2012,1,13,Kathleen,Lucey,620,1,1,1,0,11,11,1,
4536,2012,1,21,Jeffrey,Noble,661,1,0,0,0,11,11,1,
4536,2012,1,4,Richard,Wilkinson,68,0,1,1,1,11,11,1,
