distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4557,2002,1,1,Dale,Buck,193,1,0,0,0,1,1,1,
4557,2002,1,2,Mike,Racette,178,1,0,0,0,1,1,1,
4557,2002,1,3,Lorna,Larson,190,1,1,1,0,1,1,1,
4557,2002,1,4,Roger,Klefstad,168,0,0,0,0,1,1,1,
4557,2002,1,NA,Scatter,,17,0,0,0,1,1,1,1,
4557,2003,1,5,Vickie,Bown,225,1,1,1,0,2,2,1,
4557,2003,1,6,Patrick,Miller,214,1,0,0,0,2,2,1,
4557,2003,1,NA,Scatter,,9,0,0,0,1,2,2,1,
4557,2004,1,7,JerriLynn,LaBlanc,56,1,1,1,1,3,3,1,
4557,2004,1,8,David,Nedland,56,1,1,1,1,3,3,1,
4557,2004,1,NA,Scatter,,3,0,0,0,1,3,3,1,
4557,2005,1,9,Scot,Singerhouse,161,1,0,0,0,4,4,1,
4557,2005,1,1,Dale,Buck,162,1,1,1,0,4,4,1,
4557,2005,1,2,Mike,Racette,164,1,1,1,0,4,4,1,
4557,2005,1,NA,Scatter,,8,0,0,0,1,4,4,1,
4557,2006,1,5,Vickie,Bown,104,1,1,1,0,5,5,1,
4557,2006,1,6,Patrick,Miller,107,1,1,1,0,5,5,1,
4557,2007,1,7,JerriLynn,LaBlanc,340,1,1,1,0,6,6,1,
4557,2007,1,10,Tyler,Siebert,92,1,0,0,1,6,6,1,
4557,2007,1,11,Lori,Bates,30,0,0,0,1,6,6,1,
4557,2007,1,8,David,Nedland,11,0,1,1,0,6,6,1,
4557,2007,1,NA,Scatter,,31,0,0,0,1,6,6,1,
4557,2008,1,11,Lori,Bates,165,1,0,1,0,7,7,1,
4557,2008,1,9,Scot,Singerhouse,181,1,1,1,0,7,7,1,
4557,2008,1,12,Carolyn,Husmann,161,1,0,0,0,7,7,1,
4557,2008,1,NA,Scatter,,6,0,0,0,1,7,7,1,
4557,2009,1,6,Patrick,Miller,185,1,1,1,0,8,8,1,
4557,2009,1,5,Vickie,Bown,182,1,1,1,0,8,8,1,
4557,2009,1,NA,Scatter,,3,0,0,0,1,8,8,1,
4557,2010,1,13,Nathan,Alsbury,164,1,0,0,0,9,9,1,
4557,2010,1,14,Jerrud,Rossing,140,1,0,0,0,9,9,1,
4557,2010,1,10,Tyler,Siebert,66,0,1,1,1,9,9,1,
4557,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
4557,2011,1,15,Terri,Moen,308,1,0,0,0,10,10,1,
4557,2011,1,11,Lori,Bates,293,1,1,1,0,10,10,1,
4557,2011,1,12,Carolyn,Husmann,284,1,1,1,0,10,10,1,
4557,2011,1,16,Josn,Lovelady,279,1,0,0,0,10,10,1,2 year term
4557,2011,1,NA,Scatter,,6,0,0,0,1,10,10,1,
4557,2012,1,6,Patrick,Miller,268,1,1,1,0,11,11,1,
4557,2012,1,17,Brandon,Olson,31,1,0,0,1,11,11,1,
4557,2012,1,5,Vickie,Bown,12,0,1,1,1,11,11,1,
4557,2012,1,2,Mike,Racette,11,0,0,1,1,11,11,1,
4557,2012,1,NA,Scatter,,26,0,0,0,1,11,11,1,
