distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4543,2001,1,1,Russ,Gillitzer,763,1,0,0,0,1,1,1,
4543,2001,1,2,Merle,Frommelt,848,1,0,0,0,1,1,1,
4543,2001,1,3,Allen,O'Brien,450,0,0,0,0,1,1,1,
4543,2001,1,4,Joseph,Atkins,686,0,0,0,0,1,1,1,
4543,2001,1,5,Richard,Stovey,322,0,0,0,0,1,1,1,
4543,2001,1,6,Peggy,Lenzendorf,740,1,0,0,0,1,1,1,
4543,2001,1,7,Sharon,Martin,123,0,0,0,0,1,1,1,
4543,2001,1,8,Lucy,Yeomans,705,1,0,0,0,1,1,1,
4543,2001,1,NA,Scatter,,2,0,0,0,1,1,1,1,
4543,2002,1,9,Mary,Jorgensen,527,1,1,1,0,2,2,1,
4543,2002,1,4,Joseph,Atkins,580,1,0,1,0,2,2,1,
4543,2002,1,NA,Scatter,,7,0,0,0,1,2,2,1,
4543,2003,1,10,Barb,Matejka,1073,1,0,0,0,3,3,1,
4543,2003,1,11,Mark,Forsythe,1521,1,0,0,0,3,3,1,
4543,2003,1,12,Brian,Edwards,1342,1,1,1,0,3,3,1,
4543,2003,1,6,Peggy,Lenzendorf,1070,0,1,1,0,3,3,1,
4543,2004,1,1,Russ,Gillitzer,1248,1,1,1,0,4,4,1,
4543,2004,1,13,Ronald,Goodman,1089,1,0,0,0,4,4,1,
4543,2004,1,14,Lonnie,Achenbach,846,0,0,0,0,4,4,1,
4543,2004,1,NA,Scatter,,3,0,0,0,1,4,4,1,
4543,2005,1,4,Joseph,Atkins,609,1,1,1,0,5,5,1,
4543,2005,1,14,Lonnie,Achenbach,618,1,0,1,0,5,5,1,
4543,2005,1,15,Todd,Peth,41,0,0,0,1,5,5,1,
4543,2005,1,NA,Scatter,,7,0,0,0,1,5,5,1,
4543,2006,1,11,Mark,Forsythe,526,1,1,1,0,6,6,1,
4543,2006,1,12,Brian,Edwards,530,1,1,1,0,6,6,1,
4543,2006,1,16,Ron,Quamme,487,1,0,0,0,6,6,1,
4543,2006,1,NA,Scatter,,12,0,0,0,1,6,6,1,
4543,2007,1,17,Tina,Ruskey,509,1,0,0,0,7,7,1,
4543,2007,1,18,Jamie,Wagar,489,1,0,0,0,7,7,1,
4543,2007,1,NA,Scatter,,4,0,0,0,1,7,7,1,
4543,2009,1,11,Mark,Forsythe,1082,1,1,1,0,8,8,1,
4543,2009,1,12,Brian,Edwards,930,1,1,1,0,8,8,1,
4543,2009,1,16,Ron,Quamme,949,1,1,1,0,8,8,1,
4543,2009,1,19,Maureen,McCarty,299,0,0,0,0,8,8,1,
4543,2009,1,NA,Scatter,,9,0,0,0,1,8,8,1,
4543,2010,1,20,Kristine,Rutherford,1108,1,0,0,0,9,9,1,
4543,2010,1,17,Tina,Ruskey,1080,1,1,1,0,9,9,1,
4543,2010,1,NA,Scatter,,17,0,0,0,1,9,9,1,
4543,2011,2,4,Joseph,Atkins,246,1,1,1,0,10,10,1,
4543,2011,2,14,Lonnie,Achenbach,282,1,1,1,0,10,10,1,
4543,2011,2,18,Jamie,Wagar,258,1,0,1,0,10,10,1,
4543,2011,2,21,Kent,Mathews,68,0,0,0,1,10,10,1,
4543,2011,2,22,Gene,Carlson,211,1,0,0,0,10,10,1,
4543,2011,2,NA,Scatter,,2,0,0,0,1,10,10,1,
4543,2011,1,22,Gene,Carlson,535,0,0,0,0,11,11,1,
4543,2011,1,18,Jamie,Wagar,701,0,0,1,0,11,11,1,
4543,2011,1,14,Lonnie,Achenbach,1056,1,1,1,0,11,11,1,
4543,2011,1,4,Joseph,Atkins,907,1,1,1,0,11,11,1,
4543,2011,1,NA,Scatter,,1,0,0,0,1,11,11,1,
4543,2012,2,23,Alex,Osterkamp,78,0,0,0,1,12,12,1,
4543,2012,2,24,Robert,Saddler,159,0,0,0,0,12,12,1,
4543,2012,2,25,Christine,Panka,310,1,0,0,0,12,12,1,
4543,2012,2,12,Brian,Edwards,277,1,1,1,0,12,12,1,
4543,2012,2,16,Ron,Quamme,260,1,1,1,0,12,12,1,
4543,2012,2,11,Mark,Forsythe,380,1,1,1,0,12,12,1,
4543,2012,2,26,Lynn,O'Kane,239,1,0,0,0,12,12,1,
4543,2012,2,18,Jamie,Wagar,274,1,0,1,0,12,12,1,
4543,2012,2,27,Wendy,Garrity,535,1,0,0,0,12,12,1,
4543,2012,2,NA,Scatter,,4,0,0,0,1,12,12,1,
