distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4571,2002,1,1,Darrell,Pierson,502,1,1,1,0,1,1,1,
4571,2002,1,2,Randy,Erickson,539,1,1,1,0,1,1,1,
4571,2002,1,3,Helen,Palmquist,526,1,1,1,0,1,1,1,
4571,2003,1,4,Dianne,Gierman,760,1,1,1,0,2,2,1,
4571,2003,1,5,Rick,Holm,658,1,1,1,0,2,2,1,
4571,2003,1,6,Peggy,Swan,740,1,0,0,0,2,2,1,
4571,2003,1,7,Jan,Kardas,180,0,0,0,0,2,2,1,
4571,2004,1,8,Dennis,Hartmann,491,1,1,1,0,3,3,1,
4571,2004,1,9,Kathleen,Lundborg,276,0,0,0,0,3,3,1,
4571,2004,1,10,Dee,Vader,480,1,1,1,0,3,3,1,
4571,2004,1,11,Heather,Marhem,283,0,0,0,0,3,3,1,
4571,2004,1,12,Rhonda,Cummings,282,0,0,0,0,3,3,1,
4571,2004,1,13,Lonnie,Carlson,487,1,1,1,0,3,3,1,
4571,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
4571,2005,1,2,Randy,Erickson,607,1,1,1,0,4,4,1,
4571,2005,1,1,Darrell,Pierson,589,1,1,1,0,4,4,1,
4571,2005,1,3,Helen,Palmquist,594,1,1,1,0,4,4,1,
4571,2006,1,5,Rick,Holm,406,1,1,1,0,5,5,1,
4571,2006,1,6,Peggy,Swan,358,1,1,1,0,5,5,1,
4571,2006,1,4,Dianne,Gierman,403,1,1,1,0,5,5,1,
4571,2007,1,13,Lonnie,Carlson,526,1,1,1,0,6,6,1,
4571,2007,1,10,Dee,Vader,482,1,1,1,0,6,6,1,
4571,2007,1,8,Dennis,Hartmann,485,1,1,1,0,6,6,1,
4571,2008,1,2,Randy,Erickson,410,1,1,1,0,7,7,1,
4571,2008,1,3,Helen,Palmquist,395,1,1,1,0,7,7,1,
4571,2008,1,1,Darrell,Pierson,395,1,1,1,0,7,7,1,
4571,2009,1,5,Rick,Holm,443,1,1,1,0,8,8,1,
4571,2009,1,6,Peggy,Swan,395,1,1,1,0,8,8,1,
4571,2009,1,4,Dianne,Gierman,444,1,1,1,0,8,8,1,
4571,2010,1,10,Dee,Vader,129,1,1,1,0,9,9,1,
4571,2010,1,8,Dennis,Hartmann,139,1,1,1,0,9,9,1,
4571,2010,1,13,Lonnie,Carlson,143,1,1,1,0,9,9,1,
4571,2011,1,2,Randy,Erickson,623,1,1,1,0,10,10,1,
4571,2011,1,3,Helen,Palmquist,599,1,1,1,0,10,10,1,
4571,2011,1,1,Darrell,Pierson,606,1,1,1,0,10,10,1,
4571,2012,1,14,Scott,Raab,373,0,0,0,0,11,11,1,
4571,2012,1,6,Peggy,Swan,389,1,1,1,0,11,11,1,
4571,2012,1,4,Dianne,Gierman,426,1,1,1,0,11,11,1,
