distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4578,2002,1,1,Tom,Magnan,1003,1,1,1,0,1,1,0,
4578,2003,1,2,Linda,Johnson,587,1,1,1,0,2,2,0,
4578,2003,1,3,Mark,Helmer,579,1,1,1,0,3,3,0,
4578,2003,1,4,Maury,LeBreck,555,1,0,0,0,4,4,0,
4578,2003,1,NA,Scatter,,75,0,0,0,1,4,4,0,
4578,2004,2,5,Lisa,Johnson,137,0,0,0,0,5,5,0,
4578,2004,2,6,Nancy,Paulson,505,1,0,0,0,5,5,0,
4578,2004,2,7,Michael,Matzek,352,1,0,0,0,5,5,0,
4578,2004,1,6,Nancy,Paulson,842,1,0,0,0,6,6,0,
4578,2004,1,7,Michael,Matzek,779,0,0,0,0,6,6,0,
4578,2004,1,4,Maury,LeBreck,846,1,0,1,0,7,7,0,
4578,2004,1,8,John,Nahorniak,746,0,0,0,0,7,7,0,
4578,2005,1,1,Tom,Magnan,599,1,1,1,0,8,8,0,
4578,2006,1,5,Lisa,Johnson,544,1,0,1,0,9,9,0,
4578,2006,1,3,Mark,Helmer,514,1,1,1,0,10,10,0,
4578,2007,1,9,Michael,Malcheski,134,0,0,0,0,11,11,0,
4578,2007,1,6,Nancy,Paulson,263,1,1,1,0,11,11,0,
4578,2007,1,4,Maury,LeBreck,356,1,1,1,0,12,12,0,
4578,2008,1,1,Tom,Magnan,396,1,1,1,0,12,12,0,
4578,2008,1,NA,Scatter,,1,0,0,0,1,12,12,0,
4578,2009,1,3,Mark,Helmer,369,1,1,1,0,13,13,0,
4578,2009,1,5,Lisa,Johnson,372,1,1,1,0,14,14,0,
4578,2010,1,6,Nancy,Paulson,516,0,1,1,0,15,15,0,
4578,2010,1,7,Michael,Matzek,1207,1,0,1,0,15,15,0,
4578,2010,1,4,Maury,LeBreck,542,0,1,1,0,16,16,0,
4578,2010,1,10,Dan,Smaida,1181,1,0,0,0,16,16,0,
4578,2011,1,1,Tom,Magnan,483,1,1,1,0,17,17,0,
4578,2011,1,NA,Scatter,,8,0,0,0,1,17,17,0,
4578,2012,1,3,Mark,Helmer,768,1,1,1,0,18,18,0,
4578,2012,1,11,April,Schmitz,795,1,0,0,0,18,18,0,
