distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4634,2002,1,1,Jon,Patzlsberger,275,1,1,1,0,1,1,1,
4634,2002,1,2,Debbie,Derr,80,0,0,0,1,1,1,1,
4634,2002,1,3,Barb,Braker,256,1,1,1,0,1,1,1,
4634,2002,1,4,Diane,Moldenhauer,217,1,0,0,0,1,1,1,
4634,2002,1,5,Bobbie,Mathweg,88,0,0,0,1,1,1,1,
4634,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
4634,2003,1,6,Richard,Hiley,472,1,1,1,0,2,2,1,
4634,2003,1,7,David,Retzlaff,392,1,0,0,0,2,2,1,
4634,2003,1,8,Peter,Woreck,388,0,0,0,0,2,2,1,
4634,2003,1,NA,Scatter,,7,0,0,0,1,2,2,1,
4634,2004,1,8,Peter,Woreck,238,1,0,1,0,3,3,1,2 year term
4634,2004,1,9,Jana,Roberts,274,1,0,0,0,3,3,1,
4634,2004,1,10,Gary,DeVries,260,1,1,1,0,3,3,1,
4634,2004,1,NA,Scatter,,5,0,0,0,1,3,3,1,
4634,2005,1,4,Diane,Moldenhauer,180,1,1,1,0,4,4,1,
4634,2005,1,1,Jon,Patzlsberger,183,1,1,1,0,4,4,1,
4634,2005,1,3,Barb,Braker,183,1,1,1,0,4,4,1,
4634,2005,1,NA,Scatter,,4,0,0,0,1,4,4,1,
4634,2006,1,8,Peter,Woreck,240,1,1,1,0,5,5,1,
4634,2006,1,7,David,Retzlaff,245,1,1,1,0,5,5,1,
4634,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
4634,2007,1,10,Gary,DeVries,342,1,1,1,0,6,6,1,
4634,2007,1,9,Jana,Roberts,337,1,1,1,0,6,6,1,
4634,2007,1,NA,Scatter,,3,0,0,0,1,6,6,1,
4634,2008,1,1,Jon,Patzlsberger,347,1,1,1,0,7,7,1,
4634,2008,1,11,Keith,Medema,377,1,0,0,0,7,7,1,
4634,2008,1,4,Diane,Moldenhauer,314,0,1,1,0,7,7,1,
4634,2008,1,3,Barb,Braker,358,1,1,1,0,7,7,1,
4634,2008,1,NA,Scatter,,1,0,0,0,1,7,7,1,
4634,2009,1,12,Jim,Holwerda,298,1,0,0,0,8,8,1,
4634,2009,1,13,Laurie,Boomsma,316,1,0,0,0,8,8,1,
4634,2009,1,NA,Scatter,,1,0,0,0,1,8,8,1,
4634,2010,1,9,Jana,Roberts,245,1,1,1,0,9,9,1,
4634,2010,1,14,Craig,Freitag,166,0,0,0,0,9,9,1,
4634,2010,1,10,Gary,DeVries,251,1,1,1,0,9,9,1,
4634,2010,1,15,Dave,Tietz,187,1,0,0,0,9,9,1,1 year term
4634,2010,1,NA,Scatter,,8,0,0,0,1,9,9,1,
4634,2011,1,3,Barb,Braker,587,1,1,1,0,10,10,1,
4634,2011,1,16,Jonathan,DeVries,402,0,0,0,0,10,10,1,
4634,2011,1,11,Keith,Medema,633,1,1,1,0,10,10,1,
4634,2011,1,15,Dave,Tietz,521,1,1,1,0,10,10,1,
4634,2011,1,NA,Scatter,,10,0,0,0,1,10,10,1,
4634,2012,1,17,Laurie,Boomsma,436,1,0,0,0,11,11,1,
4634,2012,1,12,Jim,Holwerda,419,1,1,1,0,11,11,1,
4634,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
