distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4753,2002,1,1,Judy,Stoeckmann,1370,1,0,0,0,1,1,0,
4753,2002,1,2,Robert,Lightner,857,0,0,0,0,1,1,0,
4753,2002,1,3,Heather,Scully,1819,1,1,1,0,1,1,0,
4753,2002,1,NA,Scatter,,14,0,0,0,1,1,1,0,
4753,2003,1,4,Barbara,Mortimore,1123,1,1,1,0,2,2,0,
4753,2003,1,5,William,Hentges,1011,0,0,0,0,2,2,0,
4753,2003,1,6,J.R.,Colvin,881,0,0,0,0,3,3,0,
4753,2003,1,7,Lori,Tillema,916,1,0,0,0,3,3,0,
4753,2003,1,NA,Scatter,,5,0,0,0,1,3,3,0,
4753,2004,1,8,John,Pearson,1282,1,0,0,0,4,4,0,
4753,2004,1,9,Andrea,Frank,556,0,0,0,0,4,4,0,
4753,2004,1,10,Steve,Balda,1601,1,0,0,0,5,5,0,
4753,2004,1,11,Mark,Pelton,1534,1,1,1,0,6,6,1,
4753,2004,1,NA,Scatter,,100,0,0,0,1,6,6,1,
4753,2005,1,3,Heather,Scully,1329,1,1,1,0,7,7,0,
4753,2005,1,12,Ray,Perez,153,0,0,0,0,8,8,0,
4753,2005,1,13,Melissa,Turner,43,0,0,0,1,8,8,0,
4753,2005,1,14,Gary,Woolever,626,1,0,0,0,8,8,0,
4753,2005,1,NA,Scatter,,57,0,0,0,1,8,8,0,
4753,2006,1,7,Lori,Tillema,838,0,1,1,0,9,9,0,
4753,2006,1,15,Michael,Hartje,1440,1,0,0,0,9,9,0,
4753,2006,1,16,James,Wieczorek,1457,1,0,0,0,10,10,0,
4753,2006,1,4,Barbara,Mortimore,851,0,1,1,0,10,10,0,
4753,2006,1,NA,Scatter,,3,0,0,0,1,10,10,0,
4753,2007,1,8,John,Pearson,1745,1,1,1,0,11,11,0,
4753,2007,1,10,Steve,Balda,1267,1,1,1,0,12,12,0,
4753,2007,1,17,James,Schernecker,884,0,0,0,0,12,12,0,
4753,2007,1,18,Luann,Brey,1349,1,0,0,0,13,13,1,
4753,2007,1,19,Jim,Schuenke,724,0,0,0,0,13,13,1,
4753,2007,1,NA,Scatter,,8,0,0,0,1,13,13,1,
4753,2008,1,3,Heather,Scully,2034,1,1,1,0,14,14,0,
4753,2008,1,14,Gary,Woolever,2136,1,1,1,0,15,15,0,
4753,2009,1,15,Michael,Hartje,2985,1,1,1,0,16,16,0,
4753,2009,1,16,James,Wieczorek,3060,1,1,1,0,17,17,0,
4753,2009,1,NA,Scatter,,47,0,0,0,1,17,17,0,
4753,2010,1,8,John,Pearson,3919,1,1,1,0,18,18,0,
4753,2010,1,10,Steve,Balda,3746,1,1,1,0,19,19,0,
4753,2010,1,18,Luann,Brey,2770,1,1,1,0,20,20,1,
4753,2010,1,20,,Larson,1671,0,0,0,0,20,20,1,
4753,2010,1,NA,Scatter,,218,0,0,0,1,20,20,1,
4753,2011,1,21,Shaun,Luther,2868,1,0,0,0,21,21,0,
4753,2011,1,14,Gary,Woolever,3061,1,1,1,0,22,22,0,
4753,2011,1,NA,Scatter,,25,0,0,0,1,22,22,0,
4753,2012,2,22,Bruce,Houtler,316,1,0,0,0,23,23,0,
4753,2012,2,23,Todd,McKey,224,1,0,0,0,23,23,0,
4753,2012,2,24,David,Ernis,219,0,0,0,0,23,23,0,
4753,2012,2,NA,Scatter,,6,0,0,0,1,23,23,0,
4753,2012,1,25,Paul,Rasmussen,1000,0,0,0,0,24,24,0,
4753,2012,1,26,Neal,Pulvermacher,1379,1,0,0,0,24,24,0,
4753,2012,1,23,Todd,McKey,1097,0,0,0,0,25,25,0,
4753,2012,1,22,Bruce,Houtler,1421,1,0,0,0,25,25,0,
4753,2012,1,NA,Scatter,,5,0,0,0,1,25,25,0,
